Date,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
2010-03-02,2757.493,401.7428,269.6811,1849.17,0.00788,0.00359,0.01069,0.00233
2010-03-03,2777.116,403.5456,272.6295,1850.24,0.00712,0.00449,0.01093,0.00058
2010-03-04,2773.289,402.6804,268.7988,1857.2,-0.00138,-0.00214,-0.01405,0.00376
2010-03-05,2809.013,401.132,270.2736,1883.28,0.01288,-0.00385,0.00549,0.01404
2010-03-06,2809.013,401.132,270.2736,1883.28,0.00000,0.00000,0.00000,0.00000
2010-03-07,2809.013,401.132,270.2736,1883.28,0.00000,0.00000,0.00000,0.00000
2010-03-08,2819.394,401.6241,269.9635,1883.29,0.00370,0.00123,-0.00115,0.00001
2010-03-09,2818.062,401.8592,268.7757,1886.6,-0.00047,0.00059,-0.00440,0.00176
2010-03-10,2833.564,401.8021,268.1335,1895.38,0.00550,-0.00014,-0.00239,0.00465
2010-03-11,2839.623,401.805,266.281,1903.68,0.00214,0.00001,-0.00691,0.00438
2010-03-12,2850.928,402.8629,265.7961,1903.29,0.00398,0.00263,-0.00182,-0.00020
2010-03-13,2850.928,402.8629,265.7961,1903.29,0.00000,0.00000,0.00000,0.00000
2010-03-14,2850.928,402.8629,265.7961,1903.29,0.00000,0.00000,0.00000,0.00000
2010-03-15,2838.062,402.1589,263.6191,1904.19,-0.00451,-0.00175,-0.00819,0.00047
2010-03-16,2866.259,404.0191,266.7171,1919.02,0.00994,0.00463,0.01175,0.00779
2010-03-17,2887.679,404.3751,269.3307,1930.22,0.00747,0.00088,0.00980,0.00584
2010-03-18,2873.789,402.6657,268.0377,1929.63,-0.00481,-0.00423,-0.00480,-0.00031
2010-03-19,2859.552,401.5571,265.6796,1919.8,-0.00495,-0.00275,-0.00880,-0.00509
