,index,Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan),Return
0,378,2015-06-12,SZA-2013,50.0,50.0,50.0,50.0,50.0,2.0,100,
1,362,2015-06-15,SZA-2013,45.0,45.0,45.0,45.0,45.0,3001.0,135045,-0.09999999999999998
2,360,2015-06-16,SZA-2013,40.5,40.5,40.5,40.5,40.5,680.0,27540,-0.09999999999999998
3,358,2015-06-17,SZA-2013,36.45,44.55,36.45,44.55,44.55,2213.0,80680.05,0.09999999999999987
4,356,2015-06-18,SZA-2013,46.0,46.0,46.0,46.0,46.0,5.0,230,0.032547699214365844
5,323,2015-06-19,SZA-2013,41.4,46.0,41.4,46.0,46.0,3642.0,156439.5,0.0
6,321,2015-06-23,SZA-2013,41.4,44.0,41.4,44.0,44.0,303.0,12552,-0.04347826086956519
7,319,2015-06-24,SZA-2013,39.6,48.4,39.6,48.4,48.4,1464.0,57983.2,0.09999999999999987
8,281,2015-06-25,SZA-2013,43.56,43.56,43.56,43.56,43.56,436.0,18992.16,-0.09999999999999998
9,279,2015-06-26,SZA-2013,43.56,0.0,0.0,43.56,43.56,0.0,0,0.0
10,238,2015-06-27,SZA-2013,43.56,0.0,0.0,43.56,43.56,0.0,0,0.0
11,236,2015-06-28,SZA-2013,39.2,39.2,39.2,39.2,39.2,200.0,7840,-0.10009182736455458
12,234,2015-06-29,SZA-2013,35.28,43.12,35.28,43.12,43.12,11412.0,402623.2,0.09999999999999987
13,232,2015-06-30,SZA-2013,38.81,38.81,38.81,38.81,38.81,3903.0,151475.43,-0.09995361781076051
14,230,2015-07-01,SZA-2013,34.93,40.0,34.93,40.0,40.0,301.0,10519,0.030662200463797973
15,228,2015-07-02,SZA-2013,40.0,,,40.0,40.0,0.0,0,0.0
16,226,2015-07-03,SZA-2013,40.0,,,40.0,40.0,0.0,0,0.0
17,224,2015-07-06,SZA-2013,40.0,,,40.0,40.0,0.0,0,0.0
18,222,2015-07-07,SZA-2013,40.0,,,40.0,40.0,0.0,0,0.0
19,220,2015-07-08,SZA-2013,40.0,,,40.0,40.0,0.0,0,0.0
20,418,2015-07-09,SZA-2013,40.0,,,40.0,40.0,0.0,0,0.0
21,416,2015-07-10,SZA-2013,40.0,,,40.0,40.0,0.0,0,0.0
22,414,2015-07-13,SZA-2013,40.0,,,40.0,40.0,0.0,0,0.0
23,412,2015-07-14,SZA-2013,36.0,36.0,36.0,36.0,36.0,1.0,36,-0.09999999999999998
24,409,2015-07-15,SZA-2013,36.0,,,36.0,36.0,0.0,0,0.0
25,406,2015-07-16,SZA-2013,36.0,,,36.0,36.0,0.0,0,0.0
26,403,2015-07-17,SZA-2013,39.6,39.6,39.6,39.6,39.6,140.0,5544,0.10000000000000009
27,400,2015-07-20,SZA-2013,35.64,35.64,35.64,35.64,35.64,34.0,1211.76,-0.09999999999999998
28,437,2015-07-21,SZA-2013,32.08,32.08,32.08,32.08,32.08,1.0,32.08,-0.09988776655443332
29,434,2015-07-22,SZA-2013,32.08,,,32.08,32.08,0.0,0,0.0
30,431,2015-07-23,SZA-2013,32.08,,,32.08,32.08,0.0,0,0.0
31,428,2015-07-24,SZA-2013,35.29,35.29,35.29,35.29,35.29,1.0,35.29,0.10006234413965087
32,425,2015-07-27,SZA-2013,35.29,,,35.29,35.29,0.0,0,0.0
33,422,2015-07-28,SZA-2013,35.29,,,35.29,35.29,0.0,0,0.0
34,399,2015-07-29,SZA-2013,35.29,,,35.29,35.29,0.0,0,0.0
35,396,2015-07-30,SZA-2013,33.0,33.0,33.0,33.0,33.0,100.0,3300,-0.06489090393879282
36,393,2015-07-31,SZA-2013,29.7,33.33,29.7,33.33,33.33,101.0,3003.33,0.010000000000000009
37,390,2015-08-03,SZA-2013,34.0,34.44,30.0,34.44,34.44,401.0,12834.44,0.03330333033303323
38,387,2015-08-04,SZA-2013,33.8,33.8,33.33,33.33,33.33,200.0,6759.53,-0.03222996515679444
39,384,2015-08-05,SZA-2013,30.0,36.66,30.0,36.66,36.66,301.0,9036.66,0.09990999099909992
40,381,2015-08-06,SZA-2013,35.0,35.0,35.0,35.0,35.0,300.0,10500,-0.045280960174577056
41,458,2015-08-07,SZA-2013,35.0,,,35.0,35.0,0.0,0,0.0
42,455,2015-08-10,SZA-2013,35.0,,,35.0,35.0,0.0,0,0.0
43,452,2015-08-11,SZA-2013,35.0,,,35.0,35.0,0.0,0,0.0
44,449,2015-08-12,SZA-2013,35.0,,,35.0,35.0,0.0,0,0.0
45,446,2015-08-13,SZA-2013,35.0,,,35.0,35.0,0.0,0,0.0
46,443,2015-08-14,SZA-2013,35.0,,,35.0,35.0,0.0,0,0.0
47,440,2015-08-17,SZA-2013,35.0,,,35.0,35.0,0.0,0,0.0
48,537,2015-08-18,SZA-2013,35.0,,,35.0,35.0,0.0,0,0.0
49,534,2015-08-19,SZA-2013,31.5,31.5,31.5,31.5,31.5,202.0,6363,-0.09999999999999998
50,531,2015-08-20,SZA-2013,33.33,34.65,28.35,34.65,34.65,403.0,12437.31,0.09999999999999987
51,528,2015-08-21,SZA-2013,35.0,35.0,35.0,35.0,35.0,199.0,6965,0.010101010101010166
52,525,2015-08-24,SZA-2013,35.0,,,35.0,35.0,0.0,0,0.0
53,522,2015-08-25,SZA-2013,35.0,,,35.0,35.0,0.0,0,0.0
54,519,2015-08-26,SZA-2013,35.0,,,35.0,35.0,0.0,0,0.0
55,516,2015-08-27,SZA-2013,35.0,,,35.0,35.0,0.0,0,0.0
56,506,2015-08-28,SZA-2013,35.0,,,35.0,35.0,0.0,0,0.0
57,503,2015-08-31,SZA-2013,31.5,31.5,31.5,31.5,31.5,1.0,31.5,-0.09999999999999998
58,500,2015-09-01,SZA-2013,34.65,34.65,34.65,34.65,34.65,1.0,34.65,0.09999999999999987
59,491,2015-09-02,SZA-2013,31.19,34.0,31.19,34.0,34.0,651.0,20307.5,-0.018759018759018753
60,488,2015-09-07,SZA-2013,36.0,36.0,30.6,30.6,30.6,650.0,23394.6,-0.09999999999999998
