,index,Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan),Return
0,1156,2016-07-20,SZA-2016,41.0,41.0,41.0,41.0,41.0,3000.0,123000,
1,1152,2016-07-21,SZA-2016,41.0,,,41.0,41.0,0.0,0,0.0
2,1148,2016-07-22,SZA-2016,41.0,,,41.0,41.0,0.0,0,0.0
3,1144,2016-07-25,SZA-2016,41.0,,,41.0,41.0,0.0,0,0.0
4,1091,2016-07-26,SZA-2016,41.0,,,41.0,41.0,0.0,0,0.0
5,1123,2016-07-27,SZA-2016,41.0,,,41.0,41.0,0.0,0,0.0
6,1119,2016-07-28,SZA-2016,41.0,,,41.0,41.0,0.0,0,0.0
7,1115,2016-07-29,SZA-2016,41.0,,,41.0,41.0,0.0,0,0.0
8,1076,2016-08-01,SZA-2016,41.0,,,41.0,41.0,0.0,0,0.0
9,1072,2016-08-02,SZA-2016,41.0,,,41.0,41.0,0.0,0,0.0
10,1196,2016-08-03,SZA-2016,41.0,,,41.0,41.0,0.0,0,0.0
11,1192,2016-08-04,SZA-2016,41.0,,,41.0,41.0,0.0,0,0.0
12,1188,2016-08-05,SZA-2016,41.0,,,41.0,41.0,0.0,0,0.0
13,1184,2016-08-08,SZA-2016,36.9,36.9,36.9,36.9,36.9,177.0,6531.3,-0.10000000000000009
14,1180,2016-08-09,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
15,1216,2016-08-10,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
16,1212,2016-08-11,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
17,1208,2016-08-12,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
18,1204,2016-08-15,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
19,1200,2016-08-16,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
20,1304,2016-08-17,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
21,1262,2016-08-18,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
22,1258,2016-08-19,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
23,1254,2016-08-22,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
24,1226,2016-08-23,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
25,1298,2016-08-25,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
26,1252,2016-08-25,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
27,1248,2016-08-26,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
28,1224,2016-08-29,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
29,1220,2016-08-30,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
30,1320,2016-08-31,SZA-2016,36.9,,,36.9,36.9,0.0,0,0.0
31,1278,2016-09-01,SZA-2016,33.21,33.21,33.21,33.21,33.21,10.0,332.1,-0.09999999999999998
32,1274,2016-09-02,SZA-2016,33.21,,,33.21,33.21,0.0,0,0.0
33,1237,2016-09-05,SZA-2016,29.89,29.89,29.89,29.89,29.89,18.0,538.02,-0.09996988858777478
34,1233,2016-09-06,SZA-2016,29.89,,,29.89,29.89,0.0,0,0.0
35,1313,2016-09-07,SZA-2016,29.89,,,29.89,29.89,0.0,0,0.0
36,1309,2016-09-08,SZA-2016,29.89,,,29.89,29.89,0.0,0,0.0
37,1269,2016-09-09,SZA-2016,29.89,,,29.89,29.89,0.0,0,0.0
38,1265,2016-09-12,SZA-2016,29.89,,,29.89,29.89,0.0,0,0.0
39,1230,2016-09-13,SZA-2016,29.89,,,29.89,29.89,0.0,0,0.0
40,1328,2016-09-14,SZA-2016,26.9,26.9,26.9,26.9,26.9,380.0,10222.00,-0.10003345600535307
41,1324,2016-09-19,SZA-2016,26.9,,,26.9,26.9,0.0,0,0.0
42,1284,2016-09-20,SZA-2016,24.21,24.21,24.21,24.21,24.21,3.0,72.63,-0.09999999999999987
43,1280,2016-09-21,SZA-2016,22.0,22.0,22.0,22.0,22.0,5000.0,110000.00,-0.09128459314332926
44,1239,2016-09-22,SZA-2016,19.8,19.8,19.8,19.8,19.8,10466.0,207226.80,-0.09999999999999998
45,1336,2016-09-23,SZA-2016,17.82,21.78,17.82,21.78,21.78,10037.0,178867.26,0.10000000000000009
46,1292,2016-09-27,SZA-2016,21.56,26.36,21.56,26.36,26.36,10003.0,215679.08,0.21028466483011932
47,1288,2016-09-28,SZA-2016,23.72,29.0,23.72,29.0,29.0,10011.0,237476.76,0.10015174506828539
48,1242,2016-09-29,SZA-2016,26.1,31.9,26.1,26.1,26.1,10383.0,271002.10,-0.09999999999999998
49,1356,2016-09-30,SZA-2016,23.49,28.71,23.49,28.71,28.71,10001.0,234928.71,0.09999999999999987
50,1352,2016-10-10,SZA-2016,25.84,25.84,25.84,25.84,25.84,10000.0,258400.00,-0.09996516893068619
51,1348,2016-10-11,SZA-2016,23.26,28.42,23.26,23.26,23.26,10404.0,242007.34,-0.09984520123839002
52,1344,2016-10-12,SZA-2016,20.93,25.59,20.93,25.59,25.59,10002.0,209351.18,0.1001719690455718
53,1340,2016-10-13,SZA-2016,23.03,28.15,20.93,28.15,28.15,13005.0,299515.39,0.10003907776475174
54,1502,2016-10-14,SZA-2016,25.34,25.34,25.34,25.34,25.34,10001.0,253425.34,-0.09982238010657185
55,1498,2016-10-17,SZA-2016,22.81,27.87,22.81,27.87,27.87,10002.0,228155.74,0.09984214680347292
56,1494,2016-10-18,SZA-2016,25.08,25.08,25.08,25.08,25.08,10002.0,250850.16,-0.1001076426264802
57,1484,2016-10-19,SZA-2016,22.57,27.59,22.57,27.59,27.59,10003.0,225777.75,0.1000797448165871
58,1480,2016-10-20,SZA-2016,24.83,30.35,24.83,24.83,24.83,10009.0,248534.51,-0.10003624501631037
59,1376,2016-10-24,SZA-2016,22.35,27.31,22.35,22.35,22.35,10034.0,224269.82,-0.0998791784132097
60,1372,2016-10-25,SZA-2016,20.12,24.59,20.12,24.59,24.59,10003.0,201271.18,0.10022371364653226
61,1368,2016-10-26,SZA-2016,22.13,27.05,22.13,27.05,27.05,10004.0,221398.36,0.10004066693777958
62,1360,2016-10-28,SZA-2016,26.78,32.74,26.78,26.78,26.78,15003.0,401786.30,-0.009981515711645073
63,1415,2016-10-31,SZA-2016,24.1,29.46,24.1,24.1,24.1,15003.0,361583.02,-0.10007468259895447
64,1411,2016-11-01,SZA-2016,21.69,26.51,21.69,21.69,21.69,15004.0,325446.41,-0.09999999999999998
65,1407,2016-11-02,SZA-2016,19.52,23.86,19.52,23.86,23.86,16102.0,314319.72,0.10004610419548166
66,1384,2016-11-03,SZA-2016,21.47,26.25,21.47,26.25,26.25,15003.0,322123.97,0.10016764459346184
67,1380,2016-11-04,SZA-2016,23.63,28.88,23.63,28.88,28.88,15004.0,354555.02,0.10019047619047616
68,1465,2016-11-07,SZA-2016,25.99,31.77,25.99,31.77,31.77,15003.0,389939.53,0.10006925207756234
69,1461,2016-11-08,SZA-2016,28.59,34.95,28.59,34.95,34.95,15003.0,428948.49,0.10009442870632679
70,1457,2016-11-09,SZA-2016,31.46,38.45,31.46,38.45,38.45,15004.0,472039.82,0.10014306151645203
71,1422,2016-11-10,SZA-2016,34.61,34.62,34.61,34.62,34.62,15002.0,519219.23,-0.0996098829648896
72,1418,2016-11-11,SZA-2016,31.16,31.16,31.16,31.16,31.16,15003.0,467493.48,-0.09994222992489887
73,1429,2016-11-14,SZA-2016,28.04,34.28,28.04,28.04,28.04,15003.0,420690.36,-0.1001283697047497
74,1425,2016-11-15,SZA-2016,25.24,30.84,25.24,30.84,30.84,15006.0,378762.64,0.09985734664764623
75,1395,2016-11-16,SZA-2016,27.76,33.92,27.76,27.76,27.76,15004.0,416517.21,-0.09987029831387806
76,1387,2016-11-18,SZA-2016,25.65,30.0,25.65,25.65,25.65,15007.0,384938.26,-0.07600864553314135
77,1470,2016-11-21,SZA-2016,23.09,28.22,23.09,23.1,23.1,15013.0,346686.09,-0.09941520467836251
78,1440,2016-11-22,SZA-2016,20.79,25.41,20.79,25.41,25.41,17009.0,353643.73,0.09999999999999987
79,1436,2016-11-23,SZA-2016,22.87,27.95,22.87,27.95,27.95,15002.0,343105.90,0.0999606454151909
80,1432,2016-11-24,SZA-2016,25.16,30.75,25.16,25.16,25.16,15003.0,377486.66,-0.09982110912343467
81,1397,2016-11-25,SZA-2016,22.64,22.64,22.64,22.64,22.64,19000.0,430160.00,-0.10015898251192368
82,1452,2016-11-28,SZA-2016,20.38,23.8,20.38,20.38,20.38,17943.0,367183.14,-0.09982332155477036
83,1448,2016-11-29,SZA-2016,18.34,22.42,18.34,22.42,22.42,14053.0,301660.18,0.10009813542688928
84,1444,2016-11-30,SZA-2016,20.18,24.66,20.18,24.66,24.66,13003.0,262413.98,0.09991079393398739
85,1405,2016-12-01,SZA-2016,22.19,27.13,22.19,27.13,27.13,13001.0,288497.13,0.10016220600162207
86,1401,2016-12-02,SZA-2016,24.42,24.42,24.42,24.42,24.42,13001.0,317489.84,-0.09988942130482847
87,1515,2016-12-05,SZA-2016,26.86,32.82,26.86,32.82,32.82,13001.0,349212.82,0.34398034398034394
88,1511,2016-12-06,SZA-2016,29.54,29.54,29.54,29.54,29.54,13000.0,384020.00,-0.09993906154783672
89,1507,2016-12-07,SZA-2016,26.59,32.0,26.59,32.0,32.0,13202.0,351046.59,0.08327691266079884
90,1490,2016-12-08,SZA-2016,28.8,28.8,28.8,28.8,28.8,13000.0,374400.00,-0.09999999999999998
91,1486,2016-12-09,SZA-2016,25.92,31.68,25.92,31.68,31.68,13001.0,336991.68,0.09999999999999987
92,1536,2016-12-12,SZA-2016,28.51,34.85,28.51,34.85,34.85,13002.0,370699.70,0.10006313131313127
93,1532,2016-12-13,SZA-2016,31.37,31.37,31.37,31.37,31.37,13000.0,407810.00,-0.09985652797704447
94,1528,2016-12-14,SZA-2016,28.23,34.51,28.23,34.51,34.51,13001.0,367024.51,0.10009563277016253
95,1524,2016-12-15,SZA-2016,31.06,31.06,31.06,31.06,31.06,13000.0,403780.00,-0.0999710228919154
96,1520,2016-12-16,SZA-2016,27.95,27.95,27.95,27.95,27.95,13000.0,363350.00,-0.10012878300064387
97,1594,2016-12-19,SZA-2016,25.16,30.75,25.16,30.75,30.75,13002.0,327141.50,0.10017889087656529
98,1590,2016-12-20,SZA-2016,27.68,27.68,27.68,27.68,27.68,13000.0,359840.00,-0.09983739837398375
99,1586,2016-12-21,SZA-2016,24.91,30.45,24.91,30.45,30.45,13002.0,323890.90,0.10007225433526012
100,1552,2016-12-22,SZA-2016,27.41,27.41,27.41,27.41,27.41,13000.0,356330.00,-0.09983579638752049
101,1548,2016-12-23,SZA-2016,24.67,30.15,24.67,30.15,30.15,13001.0,320740.15,0.09996351696461137
102,1580,2016-12-26,SZA-2016,27.14,33.17,27.14,33.16,33.16,14102.0,382740.33,0.09983416252072952
103,1576,2016-12-27,SZA-2016,29.84,36.47,29.84,36.47,36.47,13001.0,378956.47,0.09981905910735844
104,1572,2016-12-28,SZA-2016,32.82,32.82,32.82,32.82,32.82,13000.0,426660.00,-0.10008225939128046
105,1544,2016-12-29,SZA-2016,31.73,36.1,31.73,36.09,36.09,13.0,419.03,0.0996343692870203
106,1540,2016-12-30,SZA-2016,32.48,39.7,32.48,32.48,32.48,3003.0,97544.66,-0.10002770850651166
107,1631,2017-01-03,SZA-2016,35.73,35.73,29.23,35.72,35.72,3.0,100.68,0.09975369458128092
108,1601,2017-01-04,SZA-2016,32.15,39.29,32.15,32.15,32.15,7.0,239.32,-0.09994400895856659
109,1597,2017-01-05,SZA-2016,28.94,35.37,28.94,35.37,35.37,6503.0,188216.10,0.10015552099533442
110,1557,2017-01-06,SZA-2016,31.83,38.9,31.83,31.83,31.83,4.0,134.39,-0.10008481764206956
111,1623,2017-01-10,SZA-2016,38.5,38.51,31.51,31.51,31.51,4.0,140.03,-0.010053408733898705
112,1619,2017-01-11,SZA-2016,34.66,34.66,28.36,34.66,34.66,6.0,195.36,0.09996826404316073
113,1615,2017-01-12,SZA-2016,38.12,38.13,38.12,38.13,38.13,2.0,76.26,0.100115406809002
114,1569,2017-01-13,SZA-2016,41.9,41.9,41.9,41.9,41.9,1.0,1,0.09887227904537088
115,1565,2017-01-16,SZA-2016,37.71,37.71,37.71,37.71,37.71,1.0,37.71,-0.09999999999999998
116,1636,2017-01-17,SZA-2016,37.71,,,37.71,37.71,0.0,0,0.0
117,1611,2017-01-18,SZA-2016,41.48,41.48,41.47,41.47,41.47,2.0,82.95,0.09970830018562715
118,1607,2017-01-19,SZA-2016,41.47,,,41.47,41.47,0.0,0,0.0
119,1564,2017-01-20,SZA-2016,37.32,42.0,37.32,42.0,42.0,2.0,79.32,0.01278032312515065
120,1560,2017-01-23,SZA-2016,42.0,,,42.0,42.0,0.0,0,0.0
121,1664,2017-01-24,SZA-2016,42.0,,,42.0,42.0,0.0,0,0.0
122,1660,2017-01-25,SZA-2016,37.8,37.8,37.8,37.8,37.8,1.0,37.80,-0.10000000000000009
123,1648,2017-01-26,SZA-2016,34.02,34.02,34.02,34.02,34.02,1.0,34.02,-0.09999999999999987
124,1644,2017-02-03,SZA-2016,37.42,37.42,37.42,37.42,37.42,1.0,37.42,0.09994121105232212
125,1640,2017-02-06,SZA-2016,41.16,41.16,33.68,33.68,33.68,5.0,190.84,-0.09994655264564412
126,1676,2017-02-07,SZA-2016,30.31,37.05,30.31,37.05,37.05,2.0,67.36,0.10005938242280288
127,1672,2017-02-08,SZA-2016,37.05,,,37.05,37.05,0.0,0,0.0
128,1668,2017-02-09,SZA-2016,33.35,33.35,33.35,33.35,33.35,1.0,33.35,-0.09986504723346823
129,1653,2017-02-10,SZA-2016,33.35,33.35,30.02,30.02,30.02,2.0,63.37,-0.09985007496251874
130,1649,2017-02-13,SZA-2016,27.02,33.02,27.02,33.02,33.02,4.0,126.08,0.0999333777481679
131,1827,2017-02-14,SZA-2016,36.32,36.32,29.72,29.72,29.72,4.0,132.08,-0.09993943064809219
132,1823,2017-02-15,SZA-2016,32.69,32.69,32.69,32.69,32.69,1.0,32.69,0.09993270524899045
133,1799,2017-02-16,SZA-2016,35.96,35.96,29.42,35.96,35.96,3.0,101.34,0.10003059039461615
134,1795,2017-02-17,SZA-2016,39.55,39.55,32.36,32.36,32.36,2.0,71.91,-0.10011123470522809
135,1791,2017-02-20,SZA-2016,35.6,35.6,35.6,35.6,35.6,1.0,35.60,0.10012360939431408
136,1742,2017-02-21,SZA-2016,39.16,39.16,39.16,39.16,39.16,1.0,39.16,0.09999999999999987
137,1738,2017-02-22,SZA-2016,35.24,35.24,35.24,35.24,35.24,1.0,35.24,-0.10010214504596515
138,1706,2017-02-23,SZA-2016,31.72,38.76,31.72,38.76,38.76,2.0,70.48,0.0998864926220202
139,1702,2017-02-24,SZA-2016,42.0,42.0,34.88,34.88,34.88,2.0,76.88,-0.10010319917440647
140,1698,2017-02-27,SZA-2016,31.39,31.39,31.39,31.39,31.39,1.0,31.39,-0.10005733944954132
141,1696,2017-02-28,SZA-2016,34.53,34.53,28.25,28.25,28.25,4.0,125.55,-0.10003185727938835
142,1692,2017-03-01,SZA-2016,31.07,31.08,31.07,31.08,31.08,5.0,155.36,0.10017699115044243
143,1688,2017-03-02,SZA-2016,34.15,34.19,27.97,34.19,34.19,4.0,130.46,0.1000643500643501
144,1684,2017-03-03,SZA-2016,37.6,37.6,30.77,30.77,30.77,2.0,68.37,-0.10002924831822169
145,1680,2017-03-06,SZA-2016,33.84,3.85,27.69,27.69,27.69,5.0,156.91,-0.10009749756256092
146,1759,2017-03-07,SZA-2016,30.45,30.46,30.45,30.46,30.46,3.0,91.37,0.10003611412062119
147,1755,2017-03-08,SZA-2016,27.41,27.41,27.41,27.41,27.41,1.0,27.41,-0.10013131976362444
148,1726,2017-03-09,SZA-2016,30.15,30.15,24.67,30.15,30.15,5.0,139.79,0.09996351696461137
149,1722,2017-03-10,SZA-2016,27.14,33.17,27.14,33.17,33.17,5.0,153.79,0.10016583747927044
150,1718,2017-03-13,SZA-2016,36.48,36.48,29.85,29.85,29.85,4.0,139.26,-0.10009044317154059
151,1750,2017-03-14,SZA-2016,26.87,26.87,26.87,26.87,26.87,4.0,107.48,-0.09983249581239528
152,1746,2017-03-15,SZA-2016,29.56,29.56,24.18,29.56,29.56,6.0,166.58,0.10011164867882383
153,1716,2017-03-16,SZA-2016,32.52,32.52,32.52,32.52,32.52,1.0,32.52,0.1001353179972937
154,1712,2017-03-17,SZA-2016,35.76,35.77,29.27,29.27,29.27,4.0,136.57,-0.099938499384994
155,1708,2017-03-20,SZA-2016,32.2,32.2,26.34,32.2,32.2,4.0,117.08,0.10010249402118232
156,1776,2017-03-21,SZA-2016,35.42,35.42,35.42,35.42,35.42,2.0,70.84,0.09999999999999987
157,1770,2017-03-22,SZA-2016,38.96,38.96,31.88,31.88,31.88,2.0,70.84,-0.09994353472614348
158,1766,2017-03-23,SZA-2016,35.06,35.06,35.06,35.06,35.06,1.0,35.06,0.09974905897114184
159,1735,2017-03-24,SZA-2016,35.0,35.0,31.55,31.55,31.55,2.0,66.55,-0.10011409013120365
160,1731,2017-03-27,SZA-2016,28.4,28.4,28.4,28.4,28.4,2.0,56.80,-0.09984152139461178
161,1818,2017-03-28,SZA-2016,25.56,31.24,25.56,31.24,31.24,2.0,56.80,0.10000000000000009
162,1814,2017-03-29,SZA-2016,34.36,34.36,34.36,34.36,34.36,2.0,68.72,0.09987195902688861
163,1788,2017-03-30,SZA-2016,37.0,37.8,37.0,37.8,37.8,2.0,74.80,0.10011641443538988
164,1784,2017-03-31,SZA-2016,34.02,35.0,34.02,35.0,35.0,2.0,69.02,-0.07407407407407396
165,1780,2017-04-05,SZA-2016,35.0,,,35.0,35.0,0.0,0,0.0
166,1836,2017-04-06,SZA-2016,31.5,31.5,31.5,31.5,31.5,2.0,63.00,-0.09999999999999998
167,1832,2017-04-07,SZA-2016,34.6,34.65,31.5,31.5,31.5,3.0,100.75,0.0
168,1810,2017-04-10,SZA-2016,28.35,34.65,28.35,34.5,34.5,5.0,163.60,0.09523809523809534
169,1802,2017-04-12,SZA-2016,27.95,27.95,27.95,27.95,27.95,3500.0,97825.00,-0.1898550724637681
170,1915,2017-04-13,SZA-2016,25.16,30.75,25.16,25.16,25.16,14552.0,392326.19,-0.09982110912343467
171,1891,2017-04-14,SZA-2016,27.68,27.68,22.64,22.64,22.64,5.0,133.36,-0.10015898251192368
