Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan)
2020-11-13,SZA-2018,30.10,36.78,30.10,36.78,36.78,16,535.04
2020-11-13,SZA-2017,4.85,,,4.85,4.85,0,0
2020-11-13,SZA-2016,4.82,,,4.82,4.82,0,0
2020-11-13,SZA-2015,4.82,,,4.82,4.82,0,0
2020-11-13,SZA-2014,27.87,27.87,27.87,27.87,27.87,1,27.87
2020-11-13,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-12,SZA-2019,47.89,47.89,39.19,39.19,39.19,4,174.16
2020-11-12,SZA-2018,40.88,40.88,33.44,33.44,33.44,29,1126.00
2020-11-12,SZA-2017,4.85,4.85,4.85,4.85,4.85,1,4.85
2020-11-12,SZA-2016,4.82,,,4.82,4.82,0,0
2020-11-12,SZA-2015,4.82,4.82,4.82,4.82,4.82,1,4.82
2020-11-12,SZA-2014,30.97,30.97,30.97,30.97,30.97,1,30.97
2020-11-12,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-11,SZA-2019,53.22,53.22,43.54,43.54,43.54,3,149.98
2020-11-11,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-10,SZA-2019,48.38,48.38,48.38,48.38,48.38,2,96.76
2020-11-10,SZA-2018,41.29,41.29,33.79,41.29,41.29,10,382.90
2020-11-11,SZA-2018,37.16,45.42,37.16,37.16,37.16,13,516.12
2020-11-11,SZA-2017,6.59,6.59,5.39,5.39,5.39,11,71.29
2020-11-11,SZA-2016,4.82,,,4.82,4.82,0,0
2020-11-11,SZA-2015,5.35,5.35,5.35,5.35,5.35,10,53.50
2020-11-11,SZA-2014,34.41,34.41,34.41,34.41,34.41,1,34.41
2020-11-10,SZA-2017,7.32,7.32,5.99,5.99,5.99,2,13.31
2020-11-10,SZA-2016,4.82,,,4.82,4.82,0,0
2020-11-10,SZA-2015,4.86,,,4.86,4.86,0,0
2020-11-10,SZA-2014,38.23,38.23,38.23,38.23,38.23,1,38.23
2020-11-10,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-09,SZA-2019,53.75,,,53.75,53.75,0,0
2020-11-26,SZA-2016,5.20,6.36,5.20,5.20,5.20,3,16.76
2020-11-06,SZA-2014,42.48,,,42.48,42.48,0,0
2020-11-06,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-23,SZA-2017,3.89,3.89,3.89,3.89,3.89,1,3.89
2020-11-23,SZA-2016,4.77,4.77,4.77,4.77,4.77,1,4.77
2020-11-23,SZA-2015,4.34,,,4.34,4.34,0,0
2020-11-18,SZA-2018,40.06,48.96,40.06,40.06,40.06,383,15351.88
2020-11-18,SZA-2017,3.54,3.54,3.54,3.54,3.54,1018,3603.72
2020-11-18,SZA-2016,4.34,4.34,4.34,4.34,4.34,379,1644.86
2020-11-09,SZA-2018,30.72,37.54,30.72,37.54,37.54,11,365.20
2020-11-09,SZA-2017,6.65,6.65,6.65,6.65,6.65,1,6.65
2020-11-09,SZA-2016,4.82,,,4.82,4.82,0,0
2020-11-09,SZA-2015,4.86,,,4.86,4.86,0,0
2020-11-09,SZA-2014,42.48,,,42.48,42.48,0,0
2020-11-26,SZA-2015,4.30,4.30,4.30,4.30,4.30,3,12.9
2020-11-26,SZA-2014,33.73,,,33.73,33.73,0,0
2020-11-26,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-25,SZA-2019,50.62,50.62,50.62,50.62,50.62,2,101.24
2020-11-25,SZA-2018,43.19,52.79,43.19,43.19,43.19,4,191.96
2020-11-25,SZA-2017,4.71,4.71,3.85,3.85,3.85,2,8.56
2020-11-25,SZA-2016,5.78,5.78,5.78,5.78,5.78,1,5.78
2020-11-25,SZA-2015,3.91,,,3.91,3.91,0,0
2020-11-05,SZA-2019,48.86,48.86,39.98,48.86,48.86,4,186.56
2020-11-05,SZA-2018,31.02,37.92,31.02,37.92,37.92,5,168.90
2020-11-05,SZA-2017,8.21,8.21,8.21,8.21,8.21,2,16.42
2020-11-05,SZA-2016,4.82,,,4.82,4.82,0,0
2020-11-05,SZA-2015,4.86,,,4.86,4.86,0,0
2020-11-05,SZA-2014,42.48,,,42.48,42.48,0,0
2020-11-05,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-04,SZA-2019,51.00,54.30,44.42,44.42,44.42,1243,63383.14
2020-11-23,SZA-2014,33.73,,,33.73,33.73,0,0
2020-11-23,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-20,SZA-2019,38.03,46.48,38.03,46.48,46.48,3,122.54
2020-11-20,SZA-2018,39.66,48.48,39.66,39.66,39.66,4,167.46
2020-11-20,SZA-2017,3.54,,,3.54,3.54,0,0
2020-11-18,SZA-2015,4.34,,,4.34,4.34,0,0
2020-11-18,SZA-2014,33.73,,,33.73,33.73,0,0
2020-11-18,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-17,SZA-2019,42.68,52.16,42.68,42.68,42.68,4,189.68
2020-11-17,SZA-2018,36.41,44.51,36.41,44.51,44.51,6,242.76
2020-11-17,SZA-2017,3.93,3.93,3.93,3.93,3.93,1603,6299.79
2020-11-17,SZA-2016,4.82,,,4.82,4.82,0,0
2020-11-17,SZA-2015,4.34,,,4.34,4.34,0,0
2020-11-09,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-06,SZA-2019,53.75,53.75,53.75,53.75,53.75,1,53.75
2020-11-06,SZA-2018,41.71,41.71,34.13,34.13,34.13,8,295.78
2020-11-06,SZA-2017,7.39,7.39,7.39,7.39,7.39,1,7.39
