,index,Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan),Return
0,7632,2021-06-09,SZA-2020,20.63,20.63,20.63,20.63,20.63,10.0,206.30,
1,7618,2021-06-10,SZA-2020,18.57,18.57,18.57,18.57,18.57,16.0,297.12,-0.09985458070770714
2,16,2021-06-11,SZA-2020,16.71,20.43,16.71,20.43,20.43,6009.0,100420.56,0.10016155088852985
3,8,2021-06-15,SZA-2020,18.39,22.47,18.39,18.39,18.39,14599.0,216217.67,-0.09985315712187959
4,0,2021-06-16,SZA-2020,18.0,20.23,16.55,16.55,16.55,54541.0,725772.21,-0.10005437737901035
