,index,Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan),Return
0,5204,2019-10-24,SZA-2019,14.05,14.05,14.05,14.05,14.05,30.0,421.50,
1,5253,2019-10-25,SZA-2019,14.05,,,14.05,14.05,0.0,0,0.0
2,5246,2019-10-28,SZA-2019,14.05,,,14.05,14.05,0.0,0,0.0
3,5223,2019-10-29,SZA-2019,12.65,12.65,12.65,12.65,12.65,30.0,379.50,-0.09964412811387902
4,5294,2019-10-30,SZA-2019,12.65,,,12.65,12.65,0.0,0,0.0
5,5261,2019-10-31,SZA-2019,11.39,11.39,11.39,11.39,11.39,30.0,341.70,-0.09960474308300393
6,5232,2019-11-01,SZA-2019,11.39,,,11.39,11.39,0.0,0,0.0
7,5277,2019-11-04,SZA-2019,10.25,10.25,10.25,10.25,10.25,1.0,10.25,-0.10008779631255493
8,5270,2019-11-05,SZA-2019,10.25,,,10.25,10.25,0.0,0,0.0
9,5235,2019-11-06,SZA-2019,9.23,9.23,9.23,9.23,9.23,4913.0,45346.99,-0.0995121951219512
10,5288,2019-11-07,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
11,5281,2019-11-08,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
12,5240,2019-11-11,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
13,5333,2019-11-12,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
14,5306,2019-11-13,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
15,5349,2019-11-14,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
16,5342,2019-11-15,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
17,5312,2019-11-18,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
18,5358,2019-11-19,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
19,5351,2019-11-20,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
20,5321,2019-11-21,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
21,5377,2019-11-22,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
22,5370,2019-11-25,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
23,5363,2019-11-26,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
24,5417,2019-11-27,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
25,5410,2019-11-28,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
26,5382,2019-11-29,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
27,5423,2019-12-02,SZA-2019,9.23,,,9.23,9.23,0.0,0,0.0
