,index,Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan),Return
0,410,2015-07-14,SZA-2015,35.64,35.64,35.64,35.64,35.64,1.0,35.64,
1,407,2015-07-15,SZA-2015,35.64,,,35.64,35.64,0.0,0,0.0
2,404,2015-07-16,SZA-2015,32.08,32.08,32.08,32.08,32.08,1.0,32.08,-0.09988776655443332
3,401,2015-07-17,SZA-2015,32.08,,,32.08,32.08,0.0,0,0.0
4,438,2015-07-20,SZA-2015,32.08,,,32.08,32.08,0.0,0,0.0
5,435,2015-07-21,SZA-2015,32.08,,,32.08,32.08,0.0,0,0.0
6,432,2015-07-22,SZA-2015,32.08,,,32.08,32.08,0.0,0,0.0
7,429,2015-07-23,SZA-2015,32.08,,,32.08,32.08,0.0,0,0.0
8,426,2015-07-24,SZA-2015,32.08,,,32.08,32.08,0.0,0,0.0
9,423,2015-07-27,SZA-2015,32.08,,,32.08,32.08,0.0,0,0.0
10,420,2015-07-28,SZA-2015,32.08,,,32.08,32.08,0.0,0,0.0
11,397,2015-07-29,SZA-2015,32.08,,,32.08,32.08,0.0,0,0.0
12,394,2015-07-30,SZA-2015,32.08,,,32.08,32.08,0.0,0,0.0
13,391,2015-07-31,SZA-2015,32.08,,,32.08,32.08,0.0,0,0.0
14,388,2015-08-03,SZA-2015,28.87,35.0,28.87,35.0,35.0,1005.0,29032.74,0.09102244389027447
15,385,2015-08-04,SZA-2015,36.1,36.19,32.0,36.19,36.19,3898.0,137027.89,0.03400000000000003
16,382,2015-08-05,SZA-2015,32.57,35.0,32.57,35.0,35.0,203.0,6614.14,-0.03288201160541582
17,459,2015-08-06,SZA-2015,35.0,,,35.0,35.0,0.0,0,0.0
18,456,2015-08-07,SZA-2015,33.5,35.0,33.5,35.0,35.0,1802.0,60820,0.0
19,453,2015-08-10,SZA-2015,35.0,,,35.0,35.0,0.0,0,0.0
20,450,2015-08-11,SZA-2015,35.0,,,35.0,35.0,0.0,0,0.0
21,447,2015-08-12,SZA-2015,31.5,35.5,31.5,35.5,35.5,301.0,9485.5,0.014285714285714235
22,444,2015-08-13,SZA-2015,34.5,34.5,34.5,34.5,34.5,300.0,10350,-0.028169014084507005
23,441,2015-08-14,SZA-2015,34.5,,,34.5,34.5,0.0,0,0.0
24,538,2015-08-17,SZA-2015,34.5,,,34.5,34.5,0.0,0,0.0
25,535,2015-08-18,SZA-2015,34.5,,,34.5,34.5,0.0,0,0.0
26,532,2015-08-19,SZA-2015,34.5,,,34.5,34.5,0.0,0,0.0
27,529,2015-08-20,SZA-2015,31.05,31.05,31.05,31.05,31.05,203.0,6303.15,-0.09999999999999998
28,526,2015-08-21,SZA-2015,27.95,33.0,27.95,33.0,33.0,238.0,7667.15,0.06280193236714982
29,523,2015-08-24,SZA-2015,34.5,34.5,34.5,34.5,34.5,2.0,69,0.045454545454545414
30,520,2015-08-25,SZA-2015,34.5,,,34.5,34.5,0.0,0,0.0
31,517,2015-08-26,SZA-2015,35.5,35.5,35.5,35.5,35.5,3.0,106.5,0.02898550724637672
32,507,2015-08-27,SZA-2015,35.5,36.0,31.95,36.0,36.0,236.0,7687.25,0.014084507042253502
33,504,2015-08-28,SZA-2015,36.0,36.5,32.4,36.5,36.5,399.0,13645.5,0.01388888888888884
34,501,2015-08-31,SZA-2015,34.5,36.5,34.5,36.5,36.5,200.0,6902,0.0
35,492,2015-09-01,SZA-2015,32.85,36.5,32.85,36.5,36.5,602.0,19783,0.0
36,489,2015-09-02,SZA-2015,35.0,37.5,35.0,37.5,37.5,604.0,21150,0.027397260273972712
37,486,2015-09-07,SZA-2015,37.5,37.5,37.5,37.5,37.5,2.0,75,0.0
38,483,2015-09-08,SZA-2015,37.5,,,37.5,37.5,0.0,0,0.0
39,480,2015-09-09,SZA-2015,37.5,,,37.5,37.5,0.0,0,0.0
40,477,2015-09-10,SZA-2015,33.75,38.0,33.75,38.0,38.0,602.0,20326,0.01333333333333342
41,474,2015-09-11,SZA-2015,38.0,38.0,38.0,38.0,38.0,2.0,76,0.0
42,464,2015-09-14,SZA-2015,37.0,38.5,37.0,38.5,38.5,602.0,22277,0.013157894736842035
43,461,2015-09-15,SZA-2015,38.5,38.5,38.5,38.5,38.5,2.0,77,0.0
44,514,2015-09-16,SZA-2015,38.0,38.0,38.0,38.0,38.0,4.0,152,-0.012987012987012991
45,511,2015-09-17,SZA-2015,41.8,41.8,34.2,38.0,38.0,7.0,266,0.0
46,498,2015-09-18,SZA-2015,37.0,37.0,37.0,37.0,37.0,3.0,111,-0.02631578947368418
47,495,2015-09-21,SZA-2015,35.0,35.0,35.0,35.0,35.0,1.0,35,-0.05405405405405406
48,472,2015-09-22,SZA-2015,31.5,38.5,31.5,38.0,38.0,205.0,6472.5,0.08571428571428563
49,469,2015-09-23,SZA-2015,39.0,39.0,39.0,39.0,39.0,2.0,78,0.026315789473684292
50,466,2015-09-24,SZA-2015,35.1,39.5,35.1,39.0,39.0,203.0,7137.5,0.0
51,557,2015-09-25,SZA-2015,42.9,42.9,35.1,41.5,41.5,4005.0,156207.5,0.0641025641025641
52,554,2015-09-28,SZA-2015,41.5,,,41.5,41.5,0.0,0,0.0
53,551,2015-09-29,SZA-2015,42.5,42.5,42.5,42.5,42.5,2.0,85,0.024096385542168752
54,548,2015-09-30,SZA-2015,45.5,45.5,45.5,45.5,45.5,2.0,91,0.07058823529411762
55,545,2015-10-08,SZA-2015,45.5,,,45.5,45.5,0.0,0,0.0
56,542,2015-10-09,SZA-2015,45.5,,,45.5,45.5,0.0,0,0.0
57,599,2015-10-12,SZA-2015,40.95,40.95,40.95,40.95,40.95,2.0,81.9,-0.09999999999999998
58,596,2015-10-13,SZA-2015,40.95,,,40.95,40.95,0.0,0,0.0
59,591,2015-10-14,SZA-2015,36.86,45.0,36.86,41.0,41.0,5602.0,206510.14,0.0012210012210012167
