,index,Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan),Return
0,379,2015-06-11,SZA-2014,38.88,47.5,38.88,44.0,44.0,94703.0,3647519.02,
1,377,2015-06-12,SZA-2014,39.6,48.4,39.6,39.6,39.6,20772.0,805471.3,-0.09999999999999998
2,361,2015-06-15,SZA-2014,35.64,43.56,35.64,43.56,43.56,24709.0,827860.44,0.10000000000000009
3,359,2015-06-16,SZA-2014,39.2,47.92,39.2,47.92,47.92,19174.0,764728.24,0.10009182736455458
4,357,2015-06-17,SZA-2014,43.13,52.71,43.13,47.0,47.0,4470.0,196262.99,-0.019198664440734592
5,324,2015-06-18,SZA-2014,43.5,45.0,42.3,45.0,45.0,35924.0,1314371.87,-0.04255319148936165
6,322,2015-06-19,SZA-2014,40.5,44.0,40.5,44.0,44.0,85374.0,2895996.05,-0.022222222222222254
7,320,2015-06-23,SZA-2014,39.6,48.4,39.6,44.0,44.0,17771.0,624627.2,0.0
8,318,2015-06-24,SZA-2014,39.6,40.0,39.6,39.6,39.6,50512.0,1765157.4,-0.09999999999999998
9,280,2015-06-25,SZA-2014,36.0,43.56,35.64,43.56,43.56,46733.0,1518478.28,0.10000000000000009
10,239,2015-06-26,SZA-2014,44.98,47.92,39.2,47.92,47.92,69699.0,2463173.9,0.10009182736455458
11,237,2015-06-27,SZA-2014,52.71,52.71,43.13,52.71,52.71,36676.0,1542428.29,0.0999582637729548
12,235,2015-06-28,SZA-2014,52.71,57.98,47.44,47.44,47.44,14180.0,711106.96,-0.09998102826788091
13,233,2015-06-29,SZA-2014,42.7,44.0,42.7,44.0,44.0,34697.0,1201327.01,-0.07251264755480602
14,231,2015-06-30,SZA-2014,43.2,43.2,39.6,39.6,39.6,16054.0,595136.80,-0.09999999999999998
15,229,2015-07-01,SZA-2014,39.6,,,39.6,39.6,0.0,0,0.0
16,227,2015-07-02,SZA-2014,35.64,35.64,35.64,35.64,35.64,100.0,3564.00,-0.09999999999999998
17,225,2015-07-03,SZA-2014,32.08,32.08,32.08,32.08,32.08,180.0,5774.4,-0.09988776655443332
18,223,2015-07-06,SZA-2014,29.0,29.0,28.87,28.87,28.87,3117.0,90377.79,-0.10006234413965076
19,221,2015-07-07,SZA-2014,25.98,25.98,25.98,25.98,25.98,60.0,1558.8,-0.10010391409767927
20,419,2015-07-08,SZA-2014,23.38,23.38,23.38,23.38,23.38,1050.0,24549,-0.10007698229407247
21,417,2015-07-09,SZA-2014,21.04,25.72,21.04,25.72,25.72,110.0,2361.2,0.10008554319931573
22,415,2015-07-10,SZA-2014,23.15,28.29,23.15,28.29,28.29,6850.0,158628.9,0.09992223950233292
23,413,2015-07-13,SZA-2014,25.46,30.0,25.46,30.0,30.0,510.0,13011.84,0.0604453870625663
24,411,2015-07-14,SZA-2014,27.0,27.0,27.0,27.0,27.0,1.0,27,-0.09999999999999998
25,408,2015-07-15,SZA-2014,24.3,24.3,24.3,24.3,24.3,1.0,24.3,-0.09999999999999998
26,405,2015-07-16,SZA-2014,21.87,26.73,21.87,26.73,26.73,2234.0,48867.3,0.10000000000000009
27,402,2015-07-17,SZA-2014,24.06,29.4,24.06,24.06,24.06,5.0,136.32,-0.09988776655443332
28,439,2015-07-20,SZA-2014,21.65,26.47,21.65,26.47,26.47,5.0,122.71,0.10016625103906907
29,436,2015-07-21,SZA-2014,23.82,29.12,23.82,29.12,29.12,6.0,164.12,0.10011333585190796
30,433,2015-07-22,SZA-2014,26.21,32.03,26.21,29.12,29.12,2003.0,52513.18,0.0
31,430,2015-07-23,SZA-2014,29.12,,,29.12,29.12,0.0,0,0.0
32,427,2015-07-24,SZA-2014,32.03,32.03,32.03,32.03,32.03,1.0,32.03,0.09993131868131866
33,424,2015-07-27,SZA-2014,32.03,,,32.03,32.03,0.0,0,0.0
34,421,2015-07-28,SZA-2014,28.87,32.0,28.87,32.0,32.0,2.0,60.87,-0.0009366219169528733
35,398,2015-07-29,SZA-2014,32.0,,,32.0,32.0,0.0,0,0.0
36,395,2015-07-30,SZA-2014,28.8,33.0,28.8,33.0,33.0,53.0,1534.8,0.03125
37,392,2015-07-31,SZA-2014,29.7,33.5,29.7,33.5,33.5,181.0,5514.5,0.015151515151515138
38,389,2015-08-03,SZA-2014,34.6,35.0,30.15,34.6,34.6,262.0,8487.1,0.032835820895522394
39,386,2015-08-04,SZA-2014,32.0,35.0,32.0,35.0,35.0,902.0,28870,0.01156069364161838
40,383,2015-08-05,SZA-2014,34.0,34.5,34.0,34.5,34.5,131.0,4454.5,-0.014285714285714235
41,380,2015-08-06,SZA-2014,31.05,36.19,31.05,35.0,35.0,399.0,12401.99,0.01449275362318847
42,457,2015-08-07,SZA-2014,34.0,35.0,34.0,35.0,35.0,398.0,13533,0.0
43,454,2015-08-10,SZA-2014,35.0,,,35.0,35.0,0.0,0,0.0
44,451,2015-08-11,SZA-2014,35.0,,,35.0,35.0,0.0,0,0.0
45,448,2015-08-12,SZA-2014,35.0,,,35.0,35.0,0.0,0,0.0
46,445,2015-08-13,SZA-2014,31.5,34.5,31.5,34.5,34.5,461.0,14639.5,-0.014285714285714235
47,442,2015-08-14,SZA-2014,34.0,34.5,34.0,34.5,34.5,231.0,7854.5,0.0
48,539,2015-08-17,SZA-2014,34.5,,,34.5,34.5,0.0,0,0.0
49,536,2015-08-18,SZA-2014,34.5,,,34.5,34.5,0.0,0,0.0
50,533,2015-08-19,SZA-2014,31.5,34.5,31.5,34.5,34.5,189.0,5956.5,0.0
51,530,2015-08-20,SZA-2014,34.5,34.5,31.05,31.05,31.05,188.0,6482.55,-0.09999999999999998
52,527,2015-08-21,SZA-2014,31.05,,,31.05,31.05,0.0,0,0.0
53,524,2015-08-24,SZA-2014,34.0,34.16,27.95,34.16,34.16,407.0,11418.64,0.10016103059581316
54,521,2015-08-25,SZA-2014,30.74,35.6,30.74,35.6,35.6,403.0,12400.1,0.042154566744730726
55,518,2015-08-26,SZA-2014,33.0,34.0,33.0,34.0,34.0,421.0,13894,-0.0449438202247191
56,508,2015-08-27,SZA-2014,34.0,35.5,30.6,35.5,35.5,733.0,23871.00,0.044117647058823595
57,505,2015-08-28,SZA-2014,35.0,36.5,31.95,36.5,36.5,624.0,20895.95,0.028169014084507005
58,502,2015-08-31,SZA-2014,35.5,36.5,32.85,36.5,36.5,20891.0,590111.75,0.0
59,499,2015-09-01,SZA-2014,35.0,35.0,35.0,35.0,35.0,574.0,20090,-0.04109589041095896
60,490,2015-09-02,SZA-2014,35.0,,,35.0,35.0,0.0,0,0.0
61,487,2015-09-07,SZA-2014,31.5,36.5,31.5,36.5,36.5,1403.0,44204.5,0.04285714285714293
62,484,2015-09-08,SZA-2014,39.97,39.97,32.85,38.0,38.0,651.0,23672.35,0.041095890410958846
63,481,2015-09-09,SZA-2014,38.0,38.0,38.0,38.0,38.0,6.0,228,0.0
64,478,2015-09-10,SZA-2014,40.0,40.0,38.0,38.0,38.0,6.0,236,0.0
65,475,2015-09-11,SZA-2014,35.5,35.5,35.5,35.5,35.5,2.0,71,-0.06578947368421051
66,465,2015-09-14,SZA-2014,36.0,36.0,31.95,36.0,36.0,2004.0,64044,0.014084507042253502
67,462,2015-09-15,SZA-2014,32.4,38.5,32.4,36.0,36.0,27.05,87662.5,0.0
68,515,2015-09-16,SZA-2014,37.0,37.5,32.4,37.5,37.5,4706.0,174118.9,0.04166666666666674
69,512,2015-09-17,SZA-2014,33.75,37.8,33.75,37.5,37.5,5167.0,174405.3,0.0
70,509,2015-09-18,SZA-2014,33.75,38.5,33.75,38.5,38.5,5169.0,174480.75,0.026666666666666616
71,496,2015-09-21,SZA-2014,34.65,38.5,34.65,35.5,35.5,3504.0,121420,-0.07792207792207795
72,493,2015-09-22,SZA-2014,37.0,37.0,36.5,36.5,36.5,3503.0,129609.5,0.028169014084507005
73,470,2015-09-23,SZA-2014,37.5,37.5,37.5,37.5,37.5,3.0,112.5,0.027397260273972712
74,467,2015-09-24,SZA-2014,33.75,39.0,33.75,38.5,38.5,5004.0,168904.5,0.026666666666666616
75,558,2015-09-25,SZA-2014,42.0,42.0,34.8,40.0,40.0,8203.0,321120,0.03896103896103886
76,555,2015-09-28,SZA-2014,36.0,42.0,36.0,39.0,39.0,4702.0,194478,-0.025000000000000022
77,552,2015-09-29,SZA-2014,41.9,41.9,41.9,41.9,41.9,3.0,125.7,0.07435897435897432
78,549,2015-09-30,SZA-2014,37.71,45.0,37.71,45.0,45.0,4704.0,180062,0.07398568019093088
79,546,2015-10-08,SZA-2014,40.5,47.0,40.5,47.0,47.0,470.0,19165,0.04444444444444451
80,543,2015-10-09,SZA-2014,47.0,,,47.0,47.0,0.0,0,0.0
81,540,2015-10-12,SZA-2014,47.0,,,47.0,47.0,0.0,0,0.0
82,597,2015-10-13,SZA-2014,47.0,,,47.0,47.0,0.0,0,0.0
83,592,2015-10-14,SZA-2014,45.0,45.0,45.0,45.0,45.0,30.0,1350,-0.04255319148936165
84,589,2015-10-15,SZA-2014,45.0,45.0,45.0,45.0,45.0,2.0,90,0.0
85,579,2015-10-16,SZA-2014,44.0,44.0,44.0,44.0,44.0,5001.0,220044,-0.022222222222222254
86,576,2015-10-19,SZA-2014,39.6,45.0,39.6,41.0,41.0,3313.0,131257,-0.06818181818181823
87,567,2015-10-20,SZA-2014,36.9,44.0,36.9,42.0,42.0,9995.0,374201.8,0.024390243902439046
88,594,2015-10-21,SZA-2014,45.35,45.35,37.8,45.0,45.0,10786.0,455758.7,0.0714285714285714
89,585,2015-10-22,SZA-2014,40.5,44.5,40.5,44.5,44.5,4103.0,166529.5,-0.011111111111111072
90,582,2015-10-23,SZA-2014,45.0,45.0,45.0,45.0,45.0,2.0,90,0.011235955056179803
91,574,2015-10-26,SZA-2014,45.0,45.0,45.0,45.0,45.0,2.0,90,0.0
92,571,2015-10-27,SZA-2014,45.0,45.0,45.0,45.0,45.0,1.0,45,0.0
93,564,2015-10-28,SZA-2014,44.0,45.0,44.0,45.0,45.0,5002.0,220090,0.0
94,561,2015-10-29,SZA-2014,40.5,45.0,40.5,45.0,45.0,20004.0,810180,0.0
95,623,2015-10-30,SZA-2014,40.5,46.5,40.5,46.5,46.5,29479.0,1193905.5,0.03333333333333344
96,620,2015-11-02,SZA-2014,41.85,43.0,41.85,43.0,43.0,35483.0,1484964.7,-0.07526881720430112
97,612,2015-11-03,SZA-2014,40.46,44.0,38.7,44.0,44.0,37987.0,1496584.92,0.023255813953488413
98,609,2015-11-04,SZA-2014,39.6,45.5,39.6,45.5,45.5,35001.0,1386051.4,0.03409090909090917
99,606,2015-11-05,SZA-2014,40.95,43.66,40.95,43.66,43.66,35002.0,1164837.32,-0.04043956043956054
100,603,2015-11-06,SZA-2014,39.29,45.0,39.29,45.0,45.0,30001.0,1178745,0.030691708657810457
101,600,2015-11-09,SZA-2014,40.5,44.5,40.5,44.5,44.5,31819.0,1295080.1,-0.011111111111111072
102,637,2015-11-10,SZA-2014,40.05,44.5,40.05,44.5,44.5,35231.0,1411010.45,0.0
103,634,2015-11-11,SZA-2014,40.05,45.0,40.05,45.0,45.0,35453.0,1419902.55,0.011235955056179803
104,631,2015-11-12,SZA-2014,40.5,44.5,40.5,44.5,44.5,30001.0,1215044.5,-0.011111111111111072
105,628,2015-11-13,SZA-2014,40.05,45.0,40.05,45.0,45.0,29214.0,1170030.6,0.011235955056179803
106,625,2015-11-16,SZA-2014,40.5,45.0,40.5,45.0,45.0,30789.0,1246959,0.0
107,615,2015-11-17,SZA-2014,40.5,45.5,40.5,45.5,45.5,34920.0,1414270,0.011111111111111072
108,679,2015-11-18,SZA-2014,40.95,45.0,40.95,40.95,40.95,35643.0,1459584.9,-0.09999999999999998
109,676,2015-11-19,SZA-2014,36.86,42.0,36.86,42.0,42.0,36005.0,1327164.86,0.02564102564102555
110,673,2015-11-20,SZA-2014,37.8,42.5,37.8,42.5,42.5,37353.0,1416157.5,0.011904761904761862
111,670,2015-11-23,SZA-2014,38.25,42.5,38.25,42.5,42.5,56000.0,2142008.5,0.0
112,667,2015-11-24,SZA-2014,38.25,42.8,38.25,42.8,42.8,81028.0,3099330.1,0.007058823529411784
113,657,2015-11-25,SZA-2014,38.52,44.0,38.52,44.0,44.0,80998.0,3127453.92,0.028037383177570208
114,654,2015-11-26,SZA-2014,39.6,43.5,39.6,43.5,43.5,69998.0,2789926.8,-0.011363636363636354
115,663,2015-11-27,SZA-2014,39.15,44.8,39.15,44.8,44.8,61999.0,2427266.5,0.029885057471264354
116,660,2015-11-30,SZA-2014,40.32,46.8,40.32,46.8,46.8,56900.0,2294220.96,0.044642857142857206
