,index,Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan),Return
0,2110,2017-07-26,SZA-2017,31.5,,,31.5,31.5,0.0,0,
1,2157,2017-07-27,SZA-2017,31.5,,,31.5,31.5,0.0,0,0.0
2,2146,2017-07-28,SZA-2017,31.5,,,31.5,31.5,0.0,0,0.0
3,2122,2017-07-31,SZA-2017,28.35,28.35,28.35,28.35,28.35,1000.0,28350,-0.09999999999999998
4,2117,2017-08-01,SZA-2017,28.01,28.01,28.01,28.01,28.01,1000.0,28010.00,-0.011992945326278703
5,2246,2017-08-02,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
6,2214,2017-08-03,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
7,2209,2017-08-04,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
8,2182,2017-08-07,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
9,2177,2017-08-08,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
10,2172,2017-08-09,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
11,2167,2017-08-10,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
12,2162,2017-08-11,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
13,2257,2017-08-14,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
14,2240,2017-08-15,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
15,2235,2017-08-16,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
16,2206,2017-08-17,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
17,2253,2017-08-18,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
18,2223,2017-08-21,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
19,2218,2017-08-22,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
20,2189,2017-08-23,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
21,2231,2017-08-24,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
22,2226,2017-08-25,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
23,2201,2017-08-28,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
24,2196,2017-08-29,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
25,2315,2017-08-30,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
26,2290,2017-08-31,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
27,2285,2017-09-01,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
28,2266,2017-09-04,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
29,2310,2017-09-05,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
30,2305,2017-09-06,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
31,2278,2017-09-07,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
32,2262,2017-09-08,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
33,2304,2017-09-11,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
34,2299,2017-09-12,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
35,2294,2017-09-13,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
36,2271,2017-09-14,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
37,2337,2017-09-15,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
38,2332,2017-09-18,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
39,2327,2017-09-19,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
40,2322,2017-09-20,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
41,2431,2017-09-21,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
42,2395,2017-09-22,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
43,2390,2017-09-25,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
44,2351,2017-09-26,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
45,2435,2017-09-27,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
46,2403,2017-09-28,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
47,2398,2017-09-29,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
48,2356,2017-10-09,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
49,2416,2017-10-10,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
50,2411,2017-10-11,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
51,2368,2017-10-12,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
52,2363,2017-10-13,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
53,2426,2017-10-16,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
54,2421,2017-10-17,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
55,2384,2017-10-18,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
56,2348,2017-10-19,SZA-2017,28.01,,,28.01,28.01,0.0,0,0.0
