,Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
0,2018-04-23,TJEA17,"300,000","3,000,000",10.0,0.1641443538998837,3034,5946.422,485.0536,182.9859,5236.04,0.998854909067148,0.9957325770160228,0.9928590031578602,1.0000553884352767
1,2018-05-03,TJEA17,"90,263","1,047,051",11.6,0.15999999999999992,3044,5878.648,481.6919,184.0581,5157.7,0.9976542943790974,1.002318459637224,1.002035558855906,0.9978544301470944
2,2018-05-04,TJEA17,"78,317","803,170",10.26,-0.1155172413793103,3045,5930.895,481.2526,184.7199,5224.71,1.0088875877582737,0.9990880062546205,1.0035956037794587,1.0129922252166663
3,2018-05-11,TJEA17,740,"8,954",12.1,0.1793372319688109,3052,6057.474,481.11699999999996,184.8849,5354.69,1.0042367949962183,1.0025800259190392,0.9943539317835778,1.0020566274304321
4,2018-05-29,TJEA17,"150,000","1,875,000",12.5,0.03305785123966953,3070,5927.368,478.5862,185.5502,5285.7,0.9887304734935932,1.0016194640406988,0.993142480332535,0.9884783190052567
5,2018-06-01,TJEA17,"4,380","56,064",12.8,0.024000000000000018,3073,6003.658,478.1469,185.9414,5376.29,1.0078344962252737,0.99656893773587,0.9971486503951508,1.01094187773829
6,2018-06-05,TJEA17,"13,000","157,240",12.1,-0.05468750000000011,3077,6033.139,477.8668,184.4248,5404.62,0.9988796183251859,0.9991369065291515,1.0030244408102087,1.0007628923247847
7,2018-06-11,TJEA17,"50,000","617,000",12.34,0.01983471074380172,3083,6105.601,477.769,184.38299999999998,5471.29,1.0030683806796339,0.999851414699481,0.9965054239970254,1.0010740254179917
8,2018-06-13,TJEA17,"40,838","539,062",13.2,0.06969205834683945,3085,6094.6,477.1897,185.0634,5459.21,0.9976356366069716,0.9997291119775245,1.0008290515228753,0.996011727637122
9,2018-06-14,TJEA17,"5,000","69,650",13.93,0.05530303030303041,3086,6100.891,476.7544,183.52700000000002,5474.37,1.0010322252485806,0.9990877841663388,0.9916979802597381,1.0027769585709287
10,2018-06-19,TJEA17,"346,493","3,805,825",10.98,-0.21177315147164388,3091,6014.4259999999995,476.4247,178.1473,5436.13,0.993274321317503,1.0003313268253577,0.9880862118979252,0.9960240608446947
11,2018-06-20,TJEA17,"6,671","85,389",12.8,0.16575591985428062,3092,6032.478,476.0342,178.5685,5445.43,1.0030014501799507,0.9991803531596914,1.0023643355807246,1.0017107758644477
12,2018-06-22,TJEA17,"412,555","3,812,441",9.24,-0.2781250000000001,3094,6024.960999999999,476.9355,179.7035,5421.63,1.004274151782894,1.0008072591631365,1.0104785200179935,1.001890453487083
13,2018-06-25,TJEA17,"88,186","1,145,818",12.99,0.4058441558441559,3097,5941.485,477.6958,177.36900000000003,5347.23,0.9861449725566689,1.001594135894686,0.9870091567498688,0.9862771897012521
14,2018-06-27,TJEA17,"550,988","7,692,880",13.96,0.07467282525019248,3099,5915.691999999999,476.6022,179.3836,5312.89,0.9943143302845152,0.9990317862945461,1.007148375389646,0.9913939328346094
15,2018-06-28,TJEA17,"62,304","857,170",13.76,-0.014326647564469996,3100,5926.243,476.1314,178.6685,5346.44,1.0017835614159765,0.9990121740940349,0.9960135709172967,1.0063148305347935
16,2018-06-29,TJEA17,"50,242","581,668",11.58,-0.15843023255813948,3101,5954.146,477.6598,179.9539,5350.83,1.0047083793222789,1.003210038237344,1.0071943291626673,1.00082110712923
17,2019-05-14,TJEA18,"2,827","35,451",12.54,0.08290155440414493,3420,6081.3330000000005,490.25699999999995,166.6676,5677.2,1.0060327226443069,0.9982759242090824,1.0127945620528664,1.0081311785147946
18,2019-05-20,TJEA18,"37,106","465,309",12.54,0.0,3426,6103.9980000000005,489.4526,167.9741,5692.3,0.9946448201051289,0.9993005239741019,1.0030178773705174,0.9932663164011174
19,2019-06-05,TJEA18,"59,424","808,291",13.6,0.08452950558213712,3442,6084.429,498.1817,160.9054,5668.89,1.00880954939038,1.0026108688459527,0.9843699051084575,1.0082848508886917
20,2019-06-13,TJEA18,"116,566","1,624,290",13.93,0.02426470588235285,3450,6206.855,499.2968,163.3491,5804.53,1.0013787631433024,0.9997224866319048,1.0069075409068073,1.0043968631902436
21,2019-06-18,TJEA18,"148,645","2,077,493",13.98,0.0035893754486719938,3455,6248.147,499.7216,164.7385,5857.95,1.0094610512785425,1.0024352687902853,1.0059438793735662,1.0097476471196607
22,2019-06-19,TJEA18,"36,026","500,012",13.88,-0.007153075822603715,3456,6279.33,500.7899,163.7508,5875.45,1.0049907596604242,1.002137790321651,0.9940044373355349,1.002987393200693
23,2019-06-21,TJEA18,"209,485","2,932,790",14.0,0.008645533141210304,3458,6328.012,503.2036,166.0169,5924.54,0.9976468317993964,0.9979161312226528,0.9959500155976291,0.9987996614775628
24,2019-06-26,TJEA18,"217,784","3,002,126",13.78,-0.01571428571428579,3463,6271.536,504.3838,168.8174,5850.9,0.9976463222114265,0.9968939943904135,1.0038795230874438,0.9987658177609577
25,2019-06-27,TJEA18,"259,430","3,820,863",14.73,0.06894049346879537,3464,6296.298000000001,504.7363,168.9168,5874.15,1.00394831505392,1.0006988725649,1.0005888018652105,1.00397374762857
26,2019-07-17,TJEA19,400,"5,240",13.1,-0.11065852002715547,3484,6390.763000000001,503.5834,167.8371,5999.05,0.9954092037412329,1.0025149302207894,0.9992034334518657,0.9934833730789614
27,2019-07-31,TJEA19,400,"5,400",13.5,0.03053435114503822,3498,6362.444,504.1809,166.6751,5993.17,0.9928416462543912,1.0021672040781522,0.9985352229456576,0.9891417008859607
28,2019-08-12,TJEA19,387,"4,992",12.9,-0.0444444444444444,3510,6163.954000000001,513.1366,162.2724,5804.25,0.9917861664748996,1.0034626868940617,0.9924316509275586,0.9882148031742735
29,2019-08-14,TJEA19,"41,764","523,721",12.54,-0.027906976744186185,3512,6074.133000000001,513.5523,162.3572,5719.3,0.9776116700521807,1.0034469337120315,0.9906183722729458,0.9709922990207397
30,2019-08-22,TJEA19,365,"4,818",13.2,0.05263157894736836,3520,6210.0830000000005,512.2655,161.5027,5888.37,0.9982834897531028,0.9980250514729606,0.9951212148285986,0.9995213191222826
31,2019-10-25,TJEA19,170,"2,385",14.03,0.06287878787878798,3584,6494.276,509.4625,168.5602,6107.42,1.0032244246187052,0.9981706368503527,1.0019437304883936,1.0040903964462216
32,2019-12-30,TJEA19,427,"6,576",15.4,0.09764789736279413,3650,6894.184,510.9252,173.0705,6533.91,0.9952012486021146,1.0005124705407769,1.0006313551066048,0.9943509617213739
33,2020-01-02,TJEA19,400,"6,320",15.8,0.025974025974025983,3653,6961.251,512.3369,172.2605,6609.29,1.0074637331198744,1.0013010308182286,1.001490079893398,1.0085022361857736
34,2020-01-03,TJEA19,350,"5,460",15.6,-0.012658227848101332,3654,6924.025,513.3938,173.045,6563.32,0.9946523979669746,1.0020629004079153,1.0045541490939593,0.9930446386828237
35,2020-01-06,TJEA19,415,"6,433",15.5,-0.006410256410256388,3657,6928.356,513.3474,173.6555,6586.54,1.0006255032296967,0.999909621035548,1.0035279840503915,1.003537843652298
36,2020-01-07,TJEA19,300,"4,800",16.0,0.032258064516129004,3658,6922.604,511.9721,173.5155,6568.74,0.9991697886194071,0.9973209175696615,0.9991938061276494,0.9972975188794116
37,2020-01-08,TJEA19,125,"1,963",15.7,-0.018750000000000044,3659,6935.89,510.9523,171.4093,6601.15,1.001919219992939,0.9980080945817164,0.9878616031420824,1.004933975161142
38,2020-01-10,TJEA19,247,"3,952",16.0,0.019108280254777062,3661,6968.134,510.9379,171.6898,6627.87,0.999061892041739,1.0019077779847638,1.003156889152466,0.9971460122404029
39,2020-01-13,TJEA19,255,"4,208",16.5,0.03125,3664,6999.2880000000005,510.4613,170.8311,6674.13,1.0044709243536363,0.9990672056232274,0.9949985380610846,1.0069796178862893
40,2020-01-14,TJEA19,410,"6,806",16.6,0.0060606060606061,3665,7000.342,510.7093,170.9599,6664.66,1.0001505867453946,1.0004858350672226,1.0007539610761742,0.9985810884714562
41,2020-01-15,TJEA19,400,"6,320",15.8,-0.048192771084337394,3666,7010.897,511.885,170.2906,6677.25,1.0015077834768644,1.0023020924036434,0.9960850468443185,1.0018890686096515
42,2020-01-16,TJEA19,405,"6,156",15.2,-0.03797468354430389,3667,7052.536,511.6398,169.4065,6733.35,1.0059391829604685,0.9995209861590005,0.9948082865407719,1.008401662361002
43,2020-01-20,TJEA19,380,"5,700",15.0,-0.013157894736842035,3671,7078.778,510.6836,169.851,6759.51,0.9998292369745878,0.9995922816548862,1.0,1.0
44,2020-01-21,TJEA19,320,"4,848",15.15,0.010000000000000007,3672,7062.013000000001,512.3263,168.5838,6741.71,0.997631653372941,1.0032166687945334,0.9925393433067806,0.9973666730280745
45,2020-02-12,TJEA19,"102,363","1,555,918",15.2,0.003300330033003229,3694,7141.143,513.5717,160.1126,6867.92,1.0056742494667188,0.9985972979221381,1.0104259421117565,1.0064965802458823
46,2020-02-26,TJEA19,200,"3,200",16.0,0.05263157894736836,3708,6629.232,516.8015,156.958,6339.38,0.9952648131477853,0.9984295259173624,0.9922432594746657,0.9962299850550888
47,2020-02-27,TJEA19,300,"4,900",16.33,0.02062499999999989,3709,6392.674,518.3495,154.7179,6060.67,0.9643159267921231,1.0029953473432256,0.985728029154296,0.9560351327732365
48,2020-02-28,TJEA19,240,"3,960",16.5,0.01041028781383968,3710,6287.116999999999,521.688,151.3185,6011.73,0.9834878174610499,1.0064406351313158,0.9780283987825585,0.9919249851914061
49,2020-03-02,TJEA19,350,"5,950",17.0,0.03030303030303028,3713,6496.5869999999995,524.019,154.5201,6288.64,1.033317337660489,1.0044681878824124,1.02115802099545,1.0460616162069822
50,2020-03-03,TJEA19,250,"4,325",17.3,0.01764705882352935,3714,6400.927,526.1759,156.0566,6112.07,0.9852753453467182,1.0041160721271556,1.0099436901736407,0.9719223870343985
51,2020-03-04,TJEA19,275,"4,620",16.8,-0.02890173410404628,3715,6588.023,526.9108,156.1423,6370.35,1.0292295162872502,1.0013966812239026,1.0005491597279448,1.042257369434578
52,2020-03-05,TJEA19,340,"5,593",16.45,-0.02083333333333337,3716,6440.969,528.5738,154.9835,6155.58,0.9776785843036674,1.0031561319297309,0.992578564552975,0.9662859968447572
53,2020-03-06,TJEA19,330,"5,511",16.7,0.015197568389057725,3717,6314.628000000001,534.5859,150.9587,6050.8,0.9803847837181021,1.0113741922130837,0.9740307839221595,0.9829780459355577
54,2020-03-09,TJEA19,280,"4,620",16.5,-0.0119760479041916,3720,5862.356,538.9731,144.6936,5591.74,0.9283770952144765,1.0082067259910896,0.9584979202921065,0.9241323461360481
55,2020-03-10,TJEA19,260,"4,316",16.6,0.0060606060606061,3721,6029.166,531.5222,147.784,5868.11,1.0284544302666028,0.9861757479176604,1.0213582356095916,1.0494246871277992
56,2020-03-11,TJEA19,342,"5,814",17.0,0.02409638554216853,3722,5794.766,528.2103,145.6599,5581.76,0.9611223177467663,0.9937690278976117,0.9856269961565528,0.9512023462409533
57,2020-03-12,TJEA19,350,"5,950",17.0,0.0,3723,5220.98,519.6413,141.1066,5051.97,0.9009820241231483,0.9837772947630897,0.9687401954827649,0.9050854927478071
58,2020-03-16,TJEA19,322,"5,635",17.5,0.02941176470588225,3727,5005.156,515.3382,133.4574,4861.22,0.9049712199192332,1.0024098457243573,0.9582225221861627,0.8802013453198982
59,2020-03-17,TJEA19,305,"5,429",17.8,0.017142857142857126,3728,5211.462,506.6228,132.251,5152.83,1.041218695281426,0.9830879992983248,0.9909604113372507,1.059986999148362
60,2020-03-18,TJEA19,333,"5,661",17.0,-0.0449438202247191,3729,4944.958,495.598,126.8581,4885.76,0.948861950830688,0.9782386422403414,0.9592222365048279,0.9481702287868997
61,2020-03-19,TJEA19,335,"5,762",17.2,0.0117647058823529,3730,4981.854,491.7119,131.0129,4909.13,1.0074613373864856,0.9921587657738732,1.0327515546898465,1.0047832885774168
62,2020-03-20,TJEA19,300,"5,400",18.0,0.046511627906976834,3731,4854.303,494.7105,130.3159,4697.09,0.9743968811611098,1.006098286415277,0.9946799131993872,0.9568070106108414
63,2020-03-23,TJEA19,270,"4,914",18.2,0.011111111111111072,3734,4710.78,496.8553,132.2568,4559.5,0.9704338604326924,1.0043354648829972,1.0148938080464471,0.9707073954299363
64,2020-03-24,TJEA19,285,"5,130",18.0,-0.01098901098901095,3735,5124.2609999999995,498.2149,136.0065,4987.8,1.08777336237311,1.0027364103794405,1.0283516613134447,1.0939357385678254
65,2020-03-25,TJEA19,296,"5,476",18.5,0.027777777777777683,3736,5251.88,499.2641,136.472,5045.35,1.024904859451929,1.0021059185504086,1.0034226305360407,1.0115381530935483
66,2020-03-26,TJEA19,366,"6,698",18.3,-0.010810810810810813,3737,5515.939,506.7601,135.0656,5360.49,1.050278947729194,1.0150140977490671,0.9896945893663167,1.0624614744269474
67,2020-03-27,TJEA19,300,"5,550",18.5,0.010928961748633892,3738,5373.875,510.4101,133.763,5179.92,0.9742448203288687,1.0072026191485872,0.990355797479151,0.9663146466087988
68,2020-03-30,TJEA19,200,"3,800",19.0,0.027027027027026973,3741,5507.08,511.474,132.3753,5354.39,1.024787513665651,1.0020844023266782,0.9896256812421971,1.0336819873666003
