,Return,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
Return,1.0,-0.11,-0.029,-0.118,-0.096
MSCI World Index TR Return,-0.11,1.0,0.104,0.552,0.975
Barclays Global Aggregate Bond Index TR Return,-0.029,0.104,1.0,0.151,0.01
Bloomberg Commodity Index TR Return,-0.118,0.552,0.151,1.0,0.495
S&P 500 Total Return Index Return,-0.096,0.975,0.01,0.495,1.0
