,Return,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
Return,1.0,-0.037,-0.012,-0.041,-0.035
MSCI World Index TR Return,-0.037,1.0,0.003,0.494,0.97
Barclays Global Aggregate Bond Index TR Return,-0.012,0.003,1.0,0.083,-0.078
Bloomberg Commodity Index TR Return,-0.041,0.494,0.083,1.0,0.434
S&P 500 Total Return Index Return,-0.035,0.97,-0.078,0.434,1.0
