,Return,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
Return,1.0,-0.036,0.027,-0.087,-0.039
MSCI World Index TR Return,-0.036,1.0,0.104,0.552,0.975
Barclays Global Aggregate Bond Index TR Return,0.027,0.104,1.0,0.152,0.01
Bloomberg Commodity Index TR Return,-0.087,0.552,0.152,1.0,0.495
S&P 500 Total Return Index Return,-0.039,0.975,0.01,0.495,1.0
