,Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
34,2020-04-21,TJEA19,310,"5,828",18.8,0.010752688172043,3763,5692.446999999999,513.9709,126.9362,5584.44,0.9690754380968253,0.9986220566911369,0.9601474680590507,0.9693525429612914
35,2020-04-22,TJEA19,300,"5,490",18.3,-0.02659574468085102,3764,5798.823,513.2003,129.4404,5712.65,1.0186872183438864,0.9985006933271902,1.0197280208482689,1.0229584345073095
36,2020-04-23,TJEA19,246,"4,551",18.5,0.010928961748633892,3765,5817.275,514.7271,129.641,5710.04,1.0031820250419783,1.0029750567176208,1.001549747992126,0.9995431192178762
37,2020-04-24,TJEA19,256,"4,608",18.0,-0.027027027027026973,3766,5856.72,515.1652,128.4981,5789.65,1.0067806662053969,1.0008511306282495,0.9911841161360989,1.0139421089869773
38,2020-04-27,TJEA19,285,"5,301",18.6,0.03333333333333344,3769,5960.441,515.4144,127.0348,5874.94,1.0177097419716155,1.00048372832637,0.9886122829831726,1.0147314604509772
39,2020-04-28,TJEA19,270,"5,130",19.0,0.021505376344086,3770,5963.01,516.6036,127.2242,5844.18,1.0004310083767292,1.0023072696455513,1.0014909300443657,0.994764201847168
40,2020-04-29,TJEA19,280,"5,404",19.3,0.015789473684210575,3771,6103.314,517.7244,127.7246,5999.74,1.0235290566341495,1.0021695551482799,1.00393321396401,1.0266179344236488
41,2020-04-30,TJEA19,295,"5,605",19.0,-0.015544041450777256,3772,6050.996999999999,520.0118,129.9062,5944.68,0.9914280995537833,1.0044181807927153,1.017080499762771,0.9908229356605454
42,2020-05-06,TJEA19,250,"4,875",19.5,0.02631578947368429,3778,5919.111,515.5634,131.1085,5815.17,0.9948237863805983,0.9962858855534861,0.9863974751065517,0.9930988902892626
43,2020-05-07,TJEA19,249,"4,823",19.37,-0.0066666666666665994,3779,5975.630999999999,515.891,132.2496,5884.14,1.0095487312199416,1.0006354213662179,1.0087034784167312,1.0118603583386212
44,2020-05-08,TJEA19,286,"5,548",19.4,0.0015487867836860847,3780,6081.664000000001,515.6506,132.9422,5984.55,1.0177442348766184,0.9995340100912792,1.0052370668795976,1.0170645158001
45,2020-05-11,TJEA19,268,"5,226",19.5,0.005154639175257714,3783,6078.399,514.3944,131.7972,5985.66,0.9994631403510618,0.997563854284277,0.9913872344522656,1.0001854776048325
46,2020-05-12,TJEA19,251,"5,020",20.0,0.02564102564102555,3784,6000.5740000000005,515.9578,131.306,5863.68,0.9871964640689103,1.0030393021385924,0.9962730619466879,0.9796212948947987
47,2020-05-13,TJEA19,270,"5,535",20.5,0.024999999999999908,3785,5895.943,515.9067,129.3234,5761.7,0.9825631681235828,0.9999009608925381,0.9849009184652642,0.9826081914429163
48,2020-05-14,TJEA19,266,"5,381",20.23,-0.013170731707317085,3786,5901.3240000000005,515.774,130.7416,5829.33,1.0009126614690813,0.9997427829489325,1.010966306175062,1.0117378551469185
49,2020-05-15,TJEA19,260,"5,460",21.0,0.03806228373702414,3787,5927.186,515.3831,131.5352,5852.84,1.0043824063888034,0.9992421099163588,1.0060699884352036,1.004033053541316
50,2020-05-18,TJEA19,"25,000","500,000",20.0,-0.04761904761904767,3790,6106.751,515.2587,134.4572,6037.9,1.0302951518646455,0.9997586261559605,1.0222145859055218,1.031618838034185
51,2020-05-19,TJEA19,"10,000","220,000",22.0,0.10000000000000007,3791,6084.746999999999,516.9711,134.9047,5975.15,0.996396774651529,1.0033233791103382,1.0033281966306007,0.9896073138011561
52,2020-05-20,TJEA19,"2,000","46,000",23.0,0.04545454545454541,3792,6175.826999999999,519.049,135.6881,6075.76,1.014968576343437,1.004019373616823,1.0058070623188073,1.0168380710107696
53,2020-05-21,TJEA19,"1,800","42,300",23.5,0.021739130434782702,3793,6123.533,518.5985,134.4284,6028.93,0.9915324700643332,0.9991320665293643,0.9907162087169031,0.9922923222773776
54,2020-05-22,TJEA19,"2,000","46,000",23.0,-0.021276595744680882,3794,6117.666,518.1732,133.8446,6044.16,0.9990418929725698,0.9991799050710714,0.9956571676818292,1.0025261530653033
55,2020-05-25,TJEA19,"2,000","48,000",24.0,0.04347826086956519,3797,6147.005,517.871,133.8446,6044.16,1.0047957832284404,0.9994167973179625,1.0,1.0
56,2020-05-26,TJEA19,"3,000","72,000",24.0,0.0,3798,6242.87,519.2604,135.1481,6118.54,1.0155953997109162,1.0026829075194401,1.0097389061643127,1.0123060938161796
57,2020-05-27,TJEA19,"1,144","28,600",25.0,0.04166666666666674,3799,6309.743,519.0913,133.697,6209.38,1.0107119001356748,0.9996743445099993,0.989262890118322,1.0148466791097224
58,2020-05-28,TJEA19,"1,800","45,000",25.0,0.0,3800,6344.02,520.5546,133.9122,6197.02,1.005432392412813,1.0028189646021808,1.0016096097892997,0.9980094631025964
