,Return,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
Return,1.0,0.004,-0.112,-0.112,0.029
MSCI World Index TR Return,0.004,1.0,0.104,0.552,0.975
Barclays Global Aggregate Bond Index TR Return,-0.112,0.104,1.0,0.153,0.011
Bloomberg Commodity Index TR Return,-0.112,0.552,0.153,1.0,0.495
S&P 500 Total Return Index Return,0.029,0.975,0.011,0.495,1.0
