,Date,Settlement Price (yuan/ton),Highest Price,Lowest Price,Settlement Volume (ton),Turnover (yuan),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
0,2020-03-23,25.59,27.34,24.62,740.0,18465.42,-0.06400877834674468,3734,4710.78,496.8553,132.2568,4559.5,0.9704338604326924,1.0043354648829972,1.0148938080464471,0.9707073954299363
1,2020-03-24,25.79,27.99,23.64,124.0,3189.42,0.007815552950371174,3735,5124.2609999999995,498.2149,136.0065,4987.8,1.08777336237311,1.0027364103794405,1.0283516613134447,1.0939357385678254
2,2020-03-25,25.51,25.99,25.01,451.0,11487.70,-0.01085692128732052,3736,5251.88,499.2641,136.472,5045.35,1.024904859451929,1.0021059185504086,1.0034226305360407,1.0115381530935483
3,2020-03-26,27.38,27.5,22.96,13248.0,304200.72,0.07330458643669148,3737,5515.939,506.7601,135.0656,5360.49,1.050278947729194,1.0150140977490671,0.9896945893663167,1.0624614744269474
4,2020-03-27,25.59,29.48,24.68,149.0,3705.78,-0.06537618699780856,3738,5373.875,510.4101,133.763,5179.92,0.9742448203288687,1.0072026191485872,0.990355797479151,0.9663146466087988
5,2020-03-30,25.5,27.32,24.05,230.0,5602.59,-0.003516998827667095,3741,5507.08,511.474,132.3753,5354.39,1.024787513665651,1.0020844023266782,0.9896256812421971,1.0336819873666003
6,2020-03-31,25.96,27.49,24.03,1230.0,29773.74,0.01803921568627453,3742,5455.063,509.9988,131.9359,5269.2,0.9905545225418916,0.9971157869217204,0.99668064963781,0.9840896908891581
7,2020-04-01,25.89,27.93,25.01,251.0,6360.44,-0.0026964560862866587,3743,5244.805,510.5404,128.592,5036.64,0.9614563571493125,1.0010619632830509,0.9746551166134465,0.9558642678205421
8,2020-04-02,25.69,27.86,25.0,241.0,6166.41,-0.007724990343762061,3744,5308.507,509.2771,131.2772,5152.47,1.0121457327774817,0.9975255631092075,1.020881547841234,1.022997474506814
9,2020-04-03,25.71,25.72,24.06,321.0,8140.63,0.0007785130400934648,3745,5232.130999999999,508.0991,132.6578,5075.16,0.9856125272133953,0.9976869173972284,1.0105166776866052,0.9849955458255942
10,2020-04-07,25.41,27.55,24.62,555.0,14066.87,-0.011668611435239229,3749,5580.41,508.1802,134.8425,5423.52,1.0072389529527621,1.0024195508227973,1.006393210031802,0.9984076345180656
11,2020-04-08,25.95,27.35,25.5,565.0,14460.92,0.021251475796930208,3750,5713.853,508.6688,134.6888,5609.55,1.023912759098346,1.0009614699667557,0.9988601516584162,1.0343006018231702
