,Date,Settlement Volume (ton),Settlement Price (yuan/ton),Trading Index,Turnover,Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
10,2018-02-06,8506,54.03,BEA,"459,603.20",-0.03520000000000001,2958,5920.369000000001,487.2055,180.2373,5262.02,0.9977715016468947,0.9999587460100618,0.996130705978974,1.0175508483425704
11,2018-02-07,1672,51.58,BEA,"86,240.00",-0.045300000000000014,2959,5926.727,485.7454,178.1611,5235.84,1.00107391954792,0.9970031126495904,0.9884807417776453,0.9950247243454035
12,2018-02-08,33,56.2,BEA,"1,854.60",0.0895999999999999,2960,5768.9890000000005,484.6396,177.8837,5040.06,0.9733853103070211,0.9977234987711668,0.9984429822222696,0.9626077191052439
13,2018-03-14,9000,53.5,BEA,"481,500.00",-0.048000000000000036,2994,6034.973000000001,490.0053,179.5169,5383.27,0.9954300730749559,1.0011124486373577,0.997737378004046,0.9945536002955985
14,2018-03-20,44,56.6,BEA,"2,490.40",0.05790000000000006,3000,5970.101,488.2325,177.6201,5320.2,1.000255169656826,0.9967390714080687,1.002349272419666,1.0015003115452457
15,2018-03-21,37,58.51,BEA,"2,164.90",0.03370000000000006,3001,5965.684,487.9799,179.0364,5310.96,0.9992601465201343,0.9994826235451347,1.0079737597265173,0.9982632231870983
16,2018-03-22,51,59.3,BEA,"3,024.30",0.01350000000000007,3002,5863.847,490.7492,178.4163,5177.52,0.9829295349871028,1.0056750288280316,0.996536458507879,0.9748745989425641
17,2018-04-11,702,53.39,BEA,"37,480.00",-0.0997,3022,5901.1630000000005,492.4578,182.9906,5179.19,0.9964373410024752,1.0026864118138594,1.0050993561541057,0.994519685160329
18,2018-04-12,7100,50.76,BEA,"360,400.00",-0.04930000000000001,3023,5925.33,490.5831,182.6828,5222.55,1.0040952944360289,0.9961931763493237,0.998317946386317,1.0083719655003969
19,2018-04-13,5000,58.92,BEA,"294,600.00",0.16080000000000005,3024,5920.255,490.6302,183.0637,5207.57,0.999143507618985,1.0000960081992225,1.0020850348253916,0.9971316693952187
20,2018-04-19,2452,47.1,BEA,"115,489.20",-0.2006,3030,5998.743,489.6231,184.5403,5280.57,0.9964556949409311,0.9969167487550328,0.9946741307530276,0.9943977010801609
21,2018-04-20,27000,52.24,BEA,"1,410,500.00",0.10909999999999996,3031,5953.2390000000005,487.1324,184.30200000000002,5235.75,0.9924144108190666,0.9949130259581298,0.9987086831440072,0.9915122799243264
22,2018-04-24,9490,47.82,BEA,"453,834.00 ",-0.08460000000000001,3035,5902.4,484.2531,182.761,5166.1,0.9925968927196893,0.9983496669234081,0.9987709435535744,0.9866425772148418
23,2018-04-25,2000,57.4,BEA,"114,800.00 ",0.20029999999999992,3036,5889.723000000001,482.9298,183.1139,5175.59,0.9978522296015182,0.9972673380924149,1.0019309371255356,1.001836975668299
24,2018-04-27,4432,57.65,BEA,"255,514.80",0.00439999999999996,3038,5946.23,483.6274,183.4092,5235.73,1.0018533401401462,1.0013887373340096,0.999856080281036,1.0011702593501235
25,2018-05-03,20,58.2,BEA,"1,164.00",0.009500000000000064,3044,5878.648,481.6919,184.0581,5157.7,0.9976542943790974,1.002318459637224,1.002035558855906,0.9978544301470944
26,2018-05-04,14248,58.71,BEA,"836,448.80",0.008799999999999919,3045,5930.895,481.2526,184.7199,5224.71,1.0088875877582737,0.9990880062546205,1.0035956037794587,1.0129922252166663
27,2018-05-07,14824,58.5,BEA,"867,259.00",-0.0036000000000000476,3048,5952.974,481.1617,184.4055,5242.87,1.0037227096416308,0.9998111179035708,0.9982979635653765,1.0034757910008403
28,2018-05-09,8900,58.63,BEA,"521,820.00",0.00219999999999998,3050,5990.555,479.0849,184.9947,5292.9,1.0071389279116734,0.9989470170243369,1.0058236137178698,1.0098005734966697
29,2018-05-10,18102,58.53,BEA,"1,059,583.80",-0.0017000000000000348,3051,6031.918000000001,479.8789,185.9347,5343.7,1.0069047024858298,1.0016573262901836,1.005081226651358,1.009597763041055
30,2018-05-11,6026,58.83,BEA,"354,509.40",0.005100000000000104,3052,6057.474,481.11699999999996,184.8849,5354.69,1.0042367949962183,1.0025800259190392,0.9943539317835778,1.0020566274304321
31,2018-05-14,385,47.0,BEA,"18,095.00",-0.20109999999999995,3055,6070.04,480.8114,185.5932,5359.66,1.0020744620612485,0.9993648114699751,1.0038310321719082,1.0009281583060832
32,2018-05-15,35644,50.02,BEA,"1,782,841.60",0.06430000000000002,3056,6024.9,477.2541,185.0978,5323.23,0.992563475693735,0.9926014649403072,0.9973307211686636,0.9932029270513427
33,2018-05-16,52330,49.48,BEA,"2,589,200.00",-0.010800000000000032,3057,6034.186,476.2707,185.2277,5346.33,1.0015412703945294,0.9979394624373054,1.000701791161213,1.0043394705845887
34,2018-05-17,44557,53.97,BEA,"2,404,677.80",0.0907,3058,6043.153,475.4707,185.4965,5343.29,1.001486033078861,0.9983202829819261,1.0014511868365261,0.9994313856421134
