,Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
30,2020-04-14,SZA-2015,20.49,,,20.49,20.49,0.0,0.0,0.0,3756,5911.101,515.1297,134.4888,5807.1,1.0256391526154827,1.0029801454091332,0.9947536244962022,1.0306967333138097
31,2020-04-15,SZA-2015,20.49,,,20.49,20.49,0.0,0.0,0.0,3757,5773.9980000000005,515.3392,132.1739,5679.53,0.9768058437844321,1.0004066936928702,0.9827874142679539,0.9780320641972756
32,2020-04-16,SZA-2015,20.49,,,20.49,20.49,0.0,0.0,0.0,3758,5786.441999999999,514.9951,132.364,5712.6,1.002155179132379,0.999332284444886,1.0014382567208806,1.0058226649036102
33,2020-04-17,SZA-2015,22.5,22.5,22.5,22.5,22.5,1.0,22.5,0.0980966325036603,3759,5943.246,515.3022,132.4482,5865.9,1.0270985175346095,1.0005963163533012,1.0006361246260314,1.026835416447852
34,2020-04-20,SZA-2015,22.5,,,22.5,22.5,0.0,0.0,0.0,3762,5874.101,514.6801,132.2049,5761.0,0.9883657852964524,0.9987927472461792,0.9981630554435621,0.9821169811964064
35,2020-04-21,SZA-2015,22.5,,,22.5,22.5,0.0,0.0,0.0,3763,5692.446999999999,513.9709,126.9362,5584.44,0.9690754380968253,0.9986220566911369,0.9601474680590507,0.9693525429612914
36,2020-04-22,SZA-2015,22.5,,,22.5,22.5,0.0,0.0,0.0,3764,5798.823,513.2003,129.4404,5712.65,1.0186872183438864,0.9985006933271902,1.0197280208482689,1.0229584345073095
37,2020-04-23,SZA-2015,22.5,,,22.5,22.5,0.0,0.0,0.0,3765,5817.275,514.7271,129.641,5710.04,1.0031820250419783,1.0029750567176208,1.001549747992126,0.9995431192178762
38,2020-04-24,SZA-2015,22.5,,,22.5,22.5,0.0,0.0,0.0,3766,5856.72,515.1652,128.4981,5789.65,1.0067806662053969,1.0008511306282495,0.9911841161360989,1.0139421089869773
39,2020-04-27,SZA-2015,22.5,,,22.5,22.5,0.0,0.0,0.0,3769,5960.441,515.4144,127.0348,5874.94,1.0177097419716155,1.00048372832637,0.9886122829831726,1.0147314604509772
40,2020-04-28,SZA-2015,20.25,24.75,20.25,24.75,24.75,2000.0,40504.5,0.10000000000000007,3770,5963.01,516.6036,127.2242,5844.18,1.0004310083767292,1.0023072696455513,1.0014909300443657,0.994764201847168
41,2020-04-29,SZA-2015,27.23,27.23,27.23,27.23,27.23,1.0,27.23,0.10020202020202018,3771,6103.314,517.7244,127.7246,5999.74,1.0235290566341495,1.0021695551482799,1.00393321396401,1.0266179344236488
42,2020-04-30,SZA-2015,29.95,29.95,29.95,29.95,29.95,1.0,29.95,0.09988982739625407,3772,6050.996999999999,520.0118,129.9062,5944.68,0.9914280995537833,1.0044181807927153,1.017080499762771,0.9908229356605454
43,2020-05-06,SZA-2015,29.95,,,29.95,29.95,0.0,0.0,0.0,3778,5919.111,515.5634,131.1085,5815.17,0.9948237863805983,0.9962858855534861,0.9863974751065517,0.9930988902892626
44,2020-05-07,SZA-2015,29.95,,,29.95,29.95,0.0,0.0,0.0,3779,5975.630999999999,515.891,132.2496,5884.14,1.0095487312199416,1.0006354213662179,1.0087034784167312,1.0118603583386212
45,2020-05-08,SZA-2015,29.95,,,29.95,29.95,0.0,0.0,0.0,3780,6081.664000000001,515.6506,132.9422,5984.55,1.0177442348766184,0.9995340100912792,1.0052370668795976,1.0170645158001
46,2020-05-11,SZA-2015,29.95,,,29.95,29.95,0.0,0.0,0.0,3783,6078.399,514.3944,131.7972,5985.66,0.9994631403510618,0.997563854284277,0.9913872344522656,1.0001854776048325
47,2020-05-12,SZA-2015,29.95,,,29.95,29.95,0.0,0.0,0.0,3784,6000.5740000000005,515.9578,131.306,5863.68,0.9871964640689103,1.0030393021385924,0.9962730619466879,0.9796212948947987
48,2020-05-13,SZA-2015,29.95,,,29.95,29.95,0.0,0.0,0.0,3785,5895.943,515.9067,129.3234,5761.7,0.9825631681235828,0.9999009608925381,0.9849009184652642,0.9826081914429163
49,2020-05-14,SZA-2015,29.95,,,29.95,29.95,0.0,0.0,0.0,3786,5901.3240000000005,515.774,130.7416,5829.33,1.0009126614690813,0.9997427829489325,1.010966306175062,1.0117378551469185
50,2020-05-15,SZA-2015,29.95,,,29.95,29.95,0.0,0.0,0.0,3787,5927.186,515.3831,131.5352,5852.84,1.0043824063888034,0.9992421099163588,1.0060699884352036,1.004033053541316
51,2020-05-18,SZA-2015,29.95,,,29.95,29.95,0.0,0.0,0.0,3790,6106.751,515.2587,134.4572,6037.9,1.0302951518646455,0.9997586261559605,1.0222145859055218,1.031618838034185
52,2020-05-19,SZA-2015,29.95,,,29.95,29.95,0.0,0.0,0.0,3791,6084.746999999999,516.9711,134.9047,5975.15,0.996396774651529,1.0033233791103382,1.0033281966306007,0.9896073138011561
53,2020-05-20,SZA-2015,29.95,,,29.95,29.95,0.0,0.0,0.0,3792,6175.826999999999,519.049,135.6881,6075.76,1.014968576343437,1.004019373616823,1.0058070623188073,1.0168380710107696
54,2020-05-21,SZA-2015,29.95,,,29.95,29.95,0.0,0.0,0.0,3793,6123.533,518.5985,134.4284,6028.93,0.9915324700643332,0.9991320665293643,0.9907162087169031,0.9922923222773776
55,2020-05-22,SZA-2015,29.95,,,29.95,29.95,0.0,0.0,0.0,3794,6117.666,518.1732,133.8446,6044.16,0.9990418929725698,0.9991799050710714,0.9956571676818292,1.0025261530653033
56,2020-05-25,SZA-2015,29.95,,,29.95,29.95,0.0,0.0,0.0,3797,6147.005,517.871,133.8446,6044.16,1.0047957832284404,0.9994167973179625,1.0,1.0
57,2020-05-26,SZA-2015,32.95,32.95,32.95,32.95,32.95,1.0,32.95,0.10016694490818034,3798,6242.87,519.2604,135.1481,6118.54,1.0155953997109162,1.0026829075194401,1.0097389061643127,1.0123060938161796
58,2020-05-27,SZA-2015,32.95,,,32.95,32.95,0.0,0.0,0.0,3799,6309.743,519.0913,133.697,6209.38,1.0107119001356748,0.9996743445099993,0.989262890118322,1.0148466791097224
59,2020-05-28,SZA-2015,32.95,,,32.95,32.95,0.0,0.0,0.0,3800,6344.02,520.5546,133.9122,6197.02,1.005432392412813,1.0028189646021808,1.0016096097892997,0.9980094631025964
60,2020-05-29,SZA-2015,36.25,36.25,36.25,36.25,36.25,1.0,36.25,0.10015174506828516,3801,6343.31,522.2931,135.5447,6227.81,0.9998880835810732,1.0033397073044785,1.0121908235396027,1.0049685171259735
