,Date,index_x,Unnamed: 0,Settlement Volume (ton),Settlement Price (yuan/ton),Trading Index,Turnover,Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
0,2020-03-11,668,668,300,68.0,BEA,"20,400.00",-0.19530000000000006,3722,5794.766,528.2103,145.6599,5581.76,0.9611223177467663,0.9937690278976117,0.9856269961565528,0.9512023462409533
1,2020-03-12,669,669,1000,81.0,BEA,"81,000.00",0.19120000000000004,3723,5220.98,519.6413,141.1066,5051.97,0.9009820241231483,0.9837772947630897,0.9687401954827649,0.9050854927478071
2,2020-03-13,670,670,600,84.4,BEA,"50,640.00",0.04200000000000004,3724,5530.735,514.0993,139.276,5522.85,1.0593288999383257,0.9893349508593716,0.9870268293616318,1.0932072043183154
3,2020-03-17,671,671,475,86.1,BEA,"40,897.50",0.02010000000000001,3728,5211.462,506.6228,132.251,5152.83,1.041218695281426,0.9830879992983248,0.9909604113372507,1.059986999148362
4,2020-03-18,672,672,6975,83.97,BEA,"585,695.00",-0.024700000000000052,3729,4944.958,495.598,126.8581,4885.76,0.948861950830688,0.9782386422403414,0.9592222365048279,0.9481702287868997
5,2020-03-20,673,673,4700,84.72,BEA,"398,180.00",0.008899999999999908,3731,4854.303,494.7105,130.3159,4697.09,0.9743968811611098,1.006098286415277,0.9946799131993872,0.9568070106108414
6,2020-03-23,674,674,205,85.6,BEA,"17,548.00",0.010399999999999965,3734,4710.78,496.8553,132.2568,4559.5,0.9704338604326924,1.0043354648829972,1.0148938080464471,0.9707073954299363
7,2020-03-24,675,675,5500,87.0,BEA,"478,500.00",0.01639999999999997,3735,5124.2609999999995,498.2149,136.0065,4987.8,1.08777336237311,1.0027364103794405,1.0283516613134447,1.0939357385678254
8,2020-03-25,676,676,230,86.33,BEA,"19,855.10",-0.007700000000000041,3736,5251.88,499.2641,136.472,5045.35,1.024904859451929,1.0021059185504086,1.0034226305360407,1.0115381530935483
9,2020-03-27,677,677,100,86.3,BEA,"8,630.00",-0.00029999999999996696,3738,5373.875,510.4101,133.763,5179.92,0.9742448203288687,1.0072026191485872,0.990355797479151,0.9663146466087988
10,2020-04-01,678,678,105,86.7,BEA,"9,103.50",0.004599999999999938,3743,5244.805,510.5404,128.592,5036.64,0.9614563571493125,1.0010619632830509,0.9746551166134465,0.9558642678205421
11,2020-04-07,679,679,133,87.2,BEA,"11,597.60",0.005800000000000027,3749,5580.41,508.1802,134.8425,5423.52,1.0072389529527621,1.0024195508227973,1.006393210031802,0.9984076345180656
12,2020-04-10,680,680,106,86.8,BEA,"9,200.80",-0.004600000000000049,3752,5808.056,512.4616,135.3908,5691.54,1.0006514164129026,1.0000497623020703,1.0,1.0
13,2020-04-16,681,681,72,85.37,BEA,"6,146.30",-0.01649999999999996,3758,5786.441999999999,514.9951,132.364,5712.6,1.002155179132379,0.999332284444886,1.0014382567208806,1.0058226649036102
