,Date,Open Price,Settlement Price (yuan/ton),Highest Price,Lowest Price,Price Change,Return,Settlement Volume (ton),Turnover (yuan),index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
0,2018-01-03,12.91,12.93,14.0,12.9,0.02,0.0015,8300,107291.0,2924,5991.295,484.6262,180.8937,5289.92,1.0045437816838652,1.0001444620871636,1.0022838905926645,1.0063999634722656
1,2018-01-09,12.93,14.0,14.0,14.0,1.07,0.0828,5,70.0,2930,6094.559,482.4828,179.8963,5367.26,1.0019069666588252,0.9969919731536135,1.0046890175011602,1.0016011405793963
2,2018-01-10,14.0,12.62,15.0,12.61,-1.38,-0.0986,1198,15118.73,2931,6095.9980000000005,483.5477,180.1904,5361.33,1.0002361122437244,1.0022071253109957,1.0016348307330392,0.998895153206664
3,2018-01-11,12.62,12.99,13.0,12.7,0.37,0.029300000000000007,40800,530160.0,2932,6122.974,484.2147,180.3337,5399.46,1.0044251983022303,1.0013793882175428,1.0007952698922915,1.0071120412285757
4,2018-01-12,12.99,13.9,13.9,13.9,0.91,0.0701,447,6213.3,2933,6161.1359999999995,485.8057,181.261,5435.92,1.00623259220111,1.0032857325479791,1.005142133722094,1.0067525271045623
5,2018-01-17,13.9,12.8,12.81,12.8,-1.1,-0.0791,14175,181481.75,2938,6202.460999999999,487.7791,181.3781,5467.85,1.005277720960703,0.999616776657231,1.0039459729931386,1.0094132024826192
6,2018-01-25,12.8,12.7,12.71,12.7,-0.1,-0.0078,1435,18226.5,2946,6300.456999999999,492.866,184.8334,5540.38,1.0009328653120102,1.0048515106637004,0.9999832284207936,1.0006050174913266
7,2018-01-26,12.7,12.9,12.9,12.9,0.2,0.015700000000000002,1,12.9,2947,6341.535,491.3893,185.5373,5606.08,1.0065198445128665,0.9970038509452873,1.0038082943883517,1.0118583923846378
8,2018-01-29,12.9,13.0,13.0,13.0,0.1,0.0078,102970,1358610.0,2950,6300.258000000001,489.2632,185.2076,5568.67,0.9934910080918896,0.9956732879612966,0.9982229988255732,0.9933268879502255
9,2018-01-30,13.0,12.7,12.7,12.7,-0.3,-0.0231,125,1587.5,2951,6243.908,489.6726,184.5091,5508.36,0.9910559218368516,1.0008367684305708,0.9962285564955217,0.9891697658507327
10,2018-01-31,12.7,12.7,12.7,12.7,0.0,0.0,101180,1294986.0,2952,6241.621,490.5078,183.53099999999998,5511.21,0.9996337229824654,1.001705629434851,0.9946989064496006,1.0005173953772086
11,2018-02-01,12.7,12.7,12.7,12.7,0.0,0.0,8000,101600.0,2953,6240.563,489.75699999999995,183.6725,5508.7,0.9998304927518028,0.9984693413641944,1.0007709869177417,0.9995445646237395
12,2018-02-02,12.7,12.95,12.95,12.95,0.25,0.0197,105000,1164750.0,2954,6125.116999999999,486.9252,182.1581,5392.21,0.9815007075483413,0.9942179489011899,0.991754889817474,0.9788534499972771
13,2018-02-05,12.95,13.67,13.67,13.67,0.72,0.0556,800,10936.0,2957,5933.592,487.2256,180.9374,5171.26,0.9687312095426096,1.000616932539125,0.9932986784556932,0.9590242219794852
14,2018-02-06,13.67,14.29,14.5,13.05,0.62,0.0454,1400,20010.0,2958,5920.369000000001,487.2055,180.2373,5262.02,0.9977715016468947,0.9999587460100618,0.996130705978974,1.0175508483425704
15,2018-02-07,14.29,12.87,14.3,12.86,-1.42,-0.0994,288405,3877359.0,2959,5926.727,485.7454,178.1611,5235.84,1.00107391954792,0.9970031126495904,0.9884807417776453,0.9950247243454035
