,level_0,index,Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton),Return
0,424,427,2019-05-14,TJEA18,"2,827","35,451",12.54,
1,425,426,2019-05-20,TJEA18,"37,106","465,309",12.54,0.0
2,426,465,2019-06-05,TJEA18,"59,424","808,291",13.6,0.08452950558213712
3,427,464,2019-06-13,TJEA18,"116,566","1,624,290",13.93,0.024264705882352855
4,428,463,2019-06-18,TJEA18,"148,645","2,077,493",13.98,0.003589375448671994
5,429,462,2019-06-19,TJEA18,"36,026","500,012",13.88,-0.007153075822603716
6,430,461,2019-06-21,TJEA18,"209,485","2,932,790",14.0,0.008645533141210304
7,431,460,2019-06-26,TJEA18,"217,784","3,002,126",13.78,-0.01571428571428579
8,432,459,2019-06-27,TJEA18,"259,430","3,820,863",14.73,0.06894049346879538
