,level_0,index,Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton),Return
45,45,54,2014-03-14,TJEA13,440,"20,910",47.52,0.031473844150206265
46,46,53,2014-03-17,TJEA13,440,"21,216",48.22,0.014730639730639705
47,47,52,2014-03-18,TJEA13,40,"2,004",50.11,0.03919535462463708
48,48,51,2014-03-19,TJEA13,"2,220","101,208",45.59,-0.09020155657553375
49,49,50,2014-03-20,TJEA13,180,"7,660",42.56,-0.06646194340864231
50,50,49,2014-03-21,TJEA13,"2,020","78,458",38.84,-0.08740601503759393
51,51,48,2014-03-24,TJEA13,200,"7,063",35.31,-0.09088568486096804
52,52,47,2014-03-25,TJEA13,840,"29,705",35.36,0.0014160294534124596
53,53,46,2014-03-26,TJEA13,220,"7,305",33.2,-0.06108597285067863
54,54,45,2014-03-27,TJEA13,360,"12,083",33.57,0.011144578313252884
55,55,44,2014-03-28,TJEA13,240,"8,342",34.76,0.03544831694965733
56,56,43,2014-03-31,TJEA13,300,"10,145",33.82,-0.02704257767548901
57,57,42,2014-04-01,TJEA13,200,"7,002",35.01,0.035186280307510254
58,58,41,2014-04-02,TJEA13,780,"25,553",32.76,-0.06426735218508994
59,59,40,2014-04-03,TJEA13,240,"7,472",31.14,-0.049450549450549386
60,60,99,2014-05-07,TJEA13,40,"1,546",38.64,0.24084778420038533
61,61,98,2014-05-08,TJEA13,720,"26,709",37.1,-0.03985507246376807
62,62,97,2014-05-09,TJEA13,"1,120","39,176",34.98,-0.05714285714285727
63,63,96,2014-05-12,TJEA13,"1,040","34,348",33.03,-0.055746140651800946
64,64,95,2014-05-13,TJEA13,380,"12,545",33.01,-0.0006055101422949294
65,65,94,2014-05-14,TJEA13,680,"21,605",31.77,-0.03756437443199023
66,66,93,2014-05-15,TJEA13,"1,720","59,736",34.73,0.09316965690903367
67,67,92,2014-05-16,TJEA13,"1,340","46,876",34.98,0.007198387561186292
68,68,91,2014-05-19,TJEA13,"1,020","34,490",33.81,-0.03344768439108048
69,69,90,2014-05-20,TJEA13,780,"25,458",32.64,-0.034605146406388676
70,70,89,2014-05-21,TJEA13,640,"20,523",32.07,-0.01746323529411764
71,71,88,2014-05-22,TJEA13,400,"12,906",32.27,0.006236357966947326
72,72,87,2014-05-23,TJEA13,820,"25,418",31.0,-0.039355438487759575
73,73,86,2014-05-26,TJEA13,680,"20,663",30.39,-0.019677419354838688
74,74,85,2014-05-27,TJEA13,"1,020","29,054",28.48,-0.06284962158604801
75,75,84,2014-05-28,TJEA13,800,"22,954",28.69,0.0073735955056180025
76,76,83,2014-05-29,TJEA13,880,"24,644",28.01,-0.02370163820146387
77,77,82,2014-05-30,TJEA13,900,"25,266",28.07,0.002142092109960636
78,78,81,2014-06-03,TJEA13,860,"25,124",29.21,0.04061275382971141
79,79,80,2014-06-04,TJEA13,300,"9,002",30.01,0.027387880862718372
80,80,159,2014-06-05,TJEA13,640,"20,150",31.49,0.04931689436854381
81,81,158,2014-06-06,TJEA13,660,"20,522",31.09,-0.012702445220704961
82,82,157,2014-06-09,TJEA13,820,"23,818",29.05,-0.06561595368285622
83,83,156,2014-06-10,TJEA13,700,"20,562",29.37,0.011015490533562877
84,84,155,2014-06-11,TJEA13,800,"24,145",30.18,0.02757916241062297
85,85,154,2014-06-12,TJEA13,820,"24,278",29.61,-0.0188866799204771
86,86,153,2014-06-13,TJEA13,600,"17,870",29.78,0.005741303613644
87,87,152,2014-06-16,TJEA13,480,"13,816",28.78,-0.033579583613163155
88,88,151,2014-06-17,TJEA13,"1,760","55,402",31.48,0.09381514940931202
89,89,150,2014-06-18,TJEA13,820,"28,397",34.63,0.10006353240152488
90,90,149,2014-06-19,TJEA13,"1,520","57,897",38.09,0.09991336991048216
91,91,148,2014-06-20,TJEA13,500,"19,290",38.58,0.012864268836964898
92,92,147,2014-06-23,TJEA13,"18,080","766,787",42.41,0.09927423535510616
93,93,146,2014-06-24,TJEA13,"3,300","136,002",41.21,-0.02829521339306762
94,94,145,2014-06-25,TJEA13,600,"23,711",39.52,-0.04100946372239744
95,95,144,2014-06-26,TJEA13,820,"30,718",37.46,-0.05212550607287458
96,96,143,2014-06-27,TJEA13,"1,980","72,191",36.46,-0.026695141484249896
97,97,142,2014-06-30,TJEA13,"3,920","139,458",35.58,-0.02413603949533738
98,98,141,2014-07-01,TJEA13,"5,420","177,059",32.67,-0.08178752107925791
99,99,140,2014-07-02,TJEA13,820,"25,755",31.41,-0.038567493112947715
100,100,139,2014-07-03,TJEA13,"17,100","506,006",29.59,-0.05794333014963393
101,101,138,2014-07-04,TJEA13,"5,240","144,004",27.48,-0.07130787428185192
102,102,137,2014-07-07,TJEA13,"18,640","494,116",26.51,-0.035298398835516664
103,103,136,2014-07-08,TJEA13,300,"7,560",25.2,-0.04941531497548102
104,104,135,2014-07-09,TJEA13,300,"7,750",25.83,0.02499999999999991
105,105,134,2014-07-10,TJEA13,"4,200","101,352",24.13,-0.06581494386372433
106,106,133,2014-07-11,TJEA13,"4,960","116,365",23.46,-0.0277662660588478
107,107,132,2014-07-14,TJEA13,"1,020","24,313",23.84,0.01619778346121059
108,108,131,2014-07-15,TJEA13,800,"20,148",25.19,0.05662751677852351
109,109,130,2014-07-16,TJEA13,"3,660","88,918",24.3,-0.03533148074632797
110,110,129,2014-07-17,TJEA13,"14,860","327,146",22.02,-0.09382716049382722
111,111,128,2014-07-18,TJEA13,"2,060","42,716",20.74,-0.05812897366030889
112,112,127,2014-07-21,TJEA13,360,"7,440",20.67,-0.0033751205400190942
113,113,126,2014-07-22,TJEA13,"1,280","25,600",20.0,-0.03241412675374944
114,114,125,2014-07-23,TJEA13,440,"9,380",21.32,0.06600000000000006
115,115,124,2014-07-24,TJEA13,460,"9,832",21.37,0.002345215759850028
116,116,123,2014-07-25,TJEA13,440,"10,244",23.28,0.08937763219466532
