,level_0,index,Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton),Return
0,0,39,2014-01-03,TJEA13,"3,260","87,601",26.87,
1,1,38,2014-01-06,TJEA13,"2,040","54,736",26.83,-0.0014886490509863348
2,2,37,2014-01-07,TJEA13,"1,600","42,826",26.77,-0.002236302646291377
3,3,36,2014-01-08,TJEA13,"2,180","57,865",26.54,-0.008591707134852467
4,4,35,2014-01-09,TJEA13,"2,400","63,558",26.48,-0.0022607385079125297
5,5,34,2014-01-10,TJEA13,"2,620","69,317",26.46,-0.0007552870090634656
6,6,33,2014-01-13,TJEA13,"2,820","74,677",26.48,0.0007558578987150177
7,7,32,2014-01-14,TJEA13,"1,900","50,176",26.41,-0.0026435045317220185
8,8,31,2014-01-15,TJEA13,"2,260","59,187",26.19,-0.008330177962892815
9,9,30,2014-01-16,TJEA13,"2,100","55,141",26.26,0.002672775868652222
10,10,29,2014-01-17,TJEA13,"1,880","49,210",26.18,-0.0030464584920031346
11,11,28,2014-01-20,TJEA13,"2,160","56,541",26.18,0.0
12,12,27,2014-01-21,TJEA13,"2,020","52,750",26.11,-0.002673796791443861
13,13,26,2014-01-22,TJEA13,"1,800","47,028",26.13,0.0007659900421295163
14,14,25,2014-01-23,TJEA13,"2,400","62,743",26.14,0.00038270187523914423
15,15,24,2014-01-24,TJEA13,"2,200","57,453",26.12,-0.0007651109410864443
16,16,23,2014-01-27,TJEA13,"1,780","45,962",25.82,-0.011485451761102605
17,17,22,2014-01-28,TJEA13,"1,660","42,620",25.68,-0.005422153369481042
18,18,21,2014-01-29,TJEA13,"1,580","40,258",25.48,-0.007788161993769416
19,19,20,2014-01-30,TJEA13,880,"22,516",25.59,0.004317111459968492
20,20,79,2014-02-07,TJEA13,"1,200","30,750",25.63,0.0015631105900741904
21,21,78,2014-02-10,TJEA13,"1,760","44,962",25.55,-0.0031213421771361105
22,22,77,2014-02-11,TJEA13,"2,000","51,073",25.54,-0.0003913894324854006
23,23,76,2014-02-12,TJEA13,"1,060","27,040",25.51,-0.0011746280344556714
24,24,75,2014-02-13,TJEA13,"1,260","32,535",25.82,0.01215209721677768
25,25,74,2014-02-14,TJEA13,"2,020","52,365",25.92,0.0038729666924866013
26,26,73,2014-02-17,TJEA13,"1,280","34,101",26.64,0.02777777777777768
27,27,72,2014-02-18,TJEA13,"1,120","31,210",27.87,0.0461711711711712
28,28,71,2014-02-19,TJEA13,"1,380","37,417",27.11,-0.027269465374955226
29,29,70,2014-02-20,TJEA13,600,"16,493",27.49,0.014016967908520694
30,30,69,2014-02-21,TJEA13,760,"22,861",30.08,0.09421607857402692
31,31,68,2014-02-24,TJEA13,800,"23,808",29.76,-0.010638297872340274
32,32,67,2014-02-25,TJEA13,940,"27,756",29.53,-0.007728494623655879
33,33,66,2014-02-26,TJEA13,"1,220","35,981",29.49,-0.0013545546901456706
34,34,65,2014-02-27,TJEA13,760,"21,522",28.32,-0.03967446592065105
35,35,64,2014-02-28,TJEA13,700,"18,914",27.02,-0.04590395480225995
36,36,63,2014-03-03,TJEA13,100,"2,972",29.72,0.09992598075499637
37,37,62,2014-03-04,TJEA13,900,"29,421",32.69,0.09993270524899045
38,38,61,2014-03-05,TJEA13,540,"17,036",31.55,-0.034873049862343186
39,39,60,2014-03-06,TJEA13,"1,480","47,457",32.07,0.01648177496038028
40,40,59,2014-03-07,TJEA13,360,"11,951",33.2,0.03523542251325229
41,41,58,2014-03-10,TJEA13,280,"10,212",36.47,0.0984939759036143
42,42,57,2014-03-11,TJEA13,260,"10,424",40.09,0.09925966547847564
43,43,56,2014-03-12,TJEA13,340,"14,772",43.45,0.08381142429533539
44,44,55,2014-03-13,TJEA13,460,"21,193",46.07,0.06029919447640952
