Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton)
2014-07-22,TJEA13,"1,280","25,600",20.00
2014-07-21,TJEA13,360,"7,440",20.67
2014-07-18,TJEA13,"2,060","42,716",20.74
2014-07-17,TJEA13,"14,860","327,146",22.02
2014-07-16,TJEA13,"3,660","88,918",24.30
2014-07-15,TJEA13,800,"20,148",25.19
2014-07-14,TJEA13,"1,020","24,313",23.84
2014-07-11,TJEA13,"4,960","116,365",23.46
2014-07-10,TJEA13,"4,200","101,352",24.13
2014-07-09,TJEA13,300,"7,750",25.83
2014-07-08,TJEA13,300,"7,560",25.20
2014-07-07,TJEA13,"18,640","494,116",26.51
2014-07-04,TJEA13,"5,240","144,004",27.48
2014-07-03,TJEA13,"17,100","506,006",29.59
2014-07-02,TJEA13,820,"25,755",31.41
2014-07-01,TJEA13,"5,420","177,059",32.67
2014-06-30,TJEA13,"3,920","139,458",35.58
2014-06-27,TJEA13,"1,980","72,191",36.46
2014-06-26,TJEA13,820,"30,718",37.46
2014-06-25,TJEA13,600,"23,711",39.52
2014-06-24,TJEA13,"3,300","136,002",41.21
2014-06-23,TJEA13,"18,080","766,787",42.41
2014-06-20,TJEA13,500,"19,290",38.58
2014-06-19,TJEA13,"1,520","57,897",38.09
2014-06-18,TJEA13,820,"28,397",34.63
2014-06-17,TJEA13,"1,760","55,402",31.48
2014-06-16,TJEA13,480,"13,816",28.78
2014-06-13,TJEA13,600,"17,870",29.78
2014-06-12,TJEA13,820,"24,278",29.61
2014-06-11,TJEA13,800,"24,145",30.18
2014-06-10,TJEA13,700,"20,562",29.37
2014-06-09,TJEA13,820,"23,818",29.05
2014-06-06,TJEA13,660,"20,522",31.09
2014-06-05,TJEA13,640,"20,150",31.49
2014-12-03,TJEA14,100,"2,513",25.13
2014-12-02,TJEA14,100,"2,508",25.08
2014-12-01,TJEA14,60,"1,500",25.00
2014-11-28,TJEA14,100,"2,520",25.20
2014-11-27,TJEA14,100,"2,551",25.51
2014-11-26,TJEA14,"1,440","36,784",25.54
2014-11-25,TJEA14,60,"1,500",25.00
2014-11-24,TJEA14,460,"11,324",24.62
