Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton)
2020-07-01,TJEA19,"56,800","1,513,152",26.64
2020-06-30,TJEA19,"59,408","1,556,490",26.20
2020-06-29,TJEA19,"62,760","1,556,448",24.80
2020-06-24,TJEA19,"50,666","1,350,249",26.65
2020-06-23,TJEA19,"43,446","1,160,008",26.70
2020-06-22,TJEA19,"22,500","594,000",26.40
2020-06-19,TJEA19,"22,167","596,292",26.90
2020-06-18,TJEA19,"7,336","192,937",26.30
2020-08-17,TJEA19,"114,935","2,988,310",26.00
2020-08-14,TJEA19,"88,889","2,307,435",25.96
2020-08-13,TJEA19,"86,000","2,237,400",26.02
2020-08-12,TJEA19,"30,000","801,000",26.70
2020-08-11,TJEA19,"87,552","2,330,352",26.62
2020-08-10,TJEA19,"85,187","2,271,195",26.66
2020-08-07,TJEA19,"123,460","3,298,850",26.72
2020-08-06,TJEA19,"235,172","6,232,074",26.50
2020-08-05,TJEA19,"350,000","9,335,500",26.67
2020-08-04,TJEA19,"393,096","10,481,593",26.66
2020-08-03,TJEA19,"70,257","1,874,559",26.68
2020-07-31,TJEA19,"83,205","2,214,380",26.61
2020-07-30,TJEA19,"71,920","1,931,052",26.85
2020-07-29,TJEA19,"43,200","1,156,896",26.78
2020-07-28,TJEA19,"58,240","1,556,173",26.72
2020-07-27,TJEA19,"58,232","1,556,541",26.73
2020-07-24,TJEA19,"72,730","1,945,528",26.75
2020-07-23,TJEA19,"65,335","1,751,123",26.80
2020-07-22,TJEA19,"43,530","1,167,475",26.82
2020-07-20,TJEA19,"468,778","11,953,839",25.50
2020-10-16,TJEA20,"19,200","480,000",25.00
2020-10-15,TJEA20,"16,000","403,200",25.20
2020-10-14,TJEA20,"18,800","479,400",25.50
2020-10-13,TJEA20,"18,652","477,491",25.60
2020-10-12,TJEA20,"1,524","39,624",26.00
2020-09-30,TJEA20,"2,880","73,440",25.50
2020-09-29,TJEA20,"4,578","114,450",25.00
2020-09-28,TJEA20,"4,500","103,500",23.00
2020-09-18,TJEA20,"2,800","58,800",21.00
2020-09-17,TJEA20,"3,052","70,806",23.20
2020-09-16,TJEA20,195,"5,015",25.72
2020-08-31,TJEA19,185,"4,773",25.80
2020-08-28,TJEA19,170,"4,437",26.10
2020-08-27,TJEA19,180,"4,680",26.00
2020-08-26,TJEA19,"19,000","486,400",25.60
2020-08-24,TJEA19,"487,552","12,358,348",25.35
2020-08-21,TJEA19,"98,813","2,619,058",26.51
2020-08-20,TJEA19,"94,000","2,486,300",26.45
2020-08-19,TJEA19,"100,000","2,650,000",26.50
2020-08-18,TJEA19,"102,000","2,652,000",26.00
2020-11-13,TJEA20,"18,760","476,504",25.40
2020-11-12,TJEA20,"18,244","461,573",25.30
2020-11-11,TJEA20,"18,492","465,998",25.20
2020-11-10,TJEA20,"28,518","719,794",25.24
2020-11-09,TJEA20,"16,756","427,278",25.50
2020-11-06,TJEA20,"25,956","651,496",25.10
2020-11-05,TJEA20,"18,268","459,988",25.18
2020-11-04,TJEA20,"17,584","446,634",25.40
2020-11-03,TJEA20,"16,952","427,190",25.20
2020-11-02,TJEA20,"17,800","450,340",25.30
2020-10-30,TJEA20,"17,600","446,160",25.35
2020-10-29,TJEA20,"18,492","468,772",25.35
2020-10-28,TJEA20,"17,520","441,504",25.20
2020-10-27,TJEA20,"27,972","706,293",25.25
2020-10-26,TJEA20,"16,000","400,000",25.00
2020-10-23,TJEA20,"25,920","653,184",25.20
2020-10-22,TJEA20,"25,500","655,350",25.70
2020-10-21,TJEA20,"16,800","433,440",25.80
2020-10-20,TJEA20,"28,200","713,460",25.30
2020-10-19,TJEA20,"18,000","460,800",25.60
2021-01-29,TJEA20,"29,200","794,240",27.20
2021-01-28,TJEA20,"14,800","399,600",27.00
2021-01-27,TJEA20,"30,400","790,400",26.00
2021-01-26,TJEA20,"31,600","796,320",25.20
2021-01-25,TJEA20,"47,280","1,199,966",25.38
2021-01-22,TJEA20,"31,200","783,744",25.12
2020-12-25,TJEA20,"26,000","624,000",24.00
2020-12-24,TJEA20,"28,000","623,560",22.27
2020-12-23,TJEA20,"3,200","64,800",20.25
2020-12-22,TJEA20,"3,400","76,500",22.50
2020-11-27,TJEA20,"21,000","525,000",25.00
2020-11-26,TJEA20,"12,000","304,800",25.40
2020-11-25,TJEA20,"15,800","399,740",25.30
2020-11-24,TJEA20,"14,000","351,400",25.10
2020-11-23,TJEA20,"24,000","600,000",25.00
2020-11-20,TJEA20,"15,800","398,160",25.20
2020-11-19,TJEA20,"15,600","391,560",25.10
2020-11-18,TJEA20,"15,552","392,844",25.26
2020-11-17,TJEA20,"18,648","471,981",25.31
2020-11-16,TJEA20,"18,572","468,757",25.24
2021-03-09,TJEA20,"22,224","498,990",22.45
2021-03-08,TJEA20,"18,180","399,960",22.00
2021-03-05,TJEA20,"30,000","645,000",21.50
2021-03-04,TJEA20,"18,000","392,400",21.80
2021-03-03,TJEA20,"38,072","799,512",21.00
2021-03-02,TJEA20,"20,930","439,530",21.00
2021-03-01,TJEA20,"32,000","704,000",22.00
2021-02-26,TJEA20,"54,000","1,188,000",22.00
2021-02-25,TJEA20,"16,000","384,000",24.00
2021-02-24,TJEA20,"51,000","1,198,500",23.50
2021-02-23,TJEA20,"30,400","790,400",26.00
2021-02-22,TJEA20,"26,400","739,200",28.00
2021-02-10,TJEA20,"28,400","791,792",27.88
2021-02-09,TJEA20,"28,000","784,000",28.00
2021-02-08,TJEA20,"24,000","672,000",28.00
2021-02-05,TJEA20,"42,000","1,176,000",28.00
2021-02-04,TJEA20,"29,140","799,893",27.45
2021-02-03,TJEA20,"14,500","397,300",27.40
2021-02-02,TJEA20,"28,952","792,706",27.38
2021-02-01,TJEA20,"28,800","789,120",27.40
2021-04-26,TJEA20,"13,000","364,000",28.00
2021-04-14,TJEA20,"14,400","396,000",27.50
2021-04-13,TJEA20,"14,000","392,000",28.00
2021-04-12,TJEA20,"10,000","270,000",27.00
2021-04-09,TJEA20,"6,000","153,000",25.50
2021-04-08,TJEA20,"8,000","206,400",25.80
2021-04-07,TJEA20,"15,000","390,000",26.00
2021-04-01,TJEA20,"10,000","250,000",25.00
2021-03-31,TJEA20,"9,400","231,240",24.60
2021-03-30,TJEA20,"1,000","24,250",24.25
2021-03-29,TJEA20,"16,000","384,000",24.00
2021-03-26,TJEA20,"5,000","121,000",24.20
2021-03-24,TJEA20,"2,000","49,000",24.50
2021-03-23,TJEA20,"7,526","180,624",24.00
2021-03-22,TJEA20,"10,000","250,000",25.00
2021-03-19,TJEA20,"4,000","92,000",23.00
2021-03-17,TJEA20,"1,526","36,624",24.00
2021-03-15,TJEA20,"28,000","630,000",22.50
2021-03-12,TJEA20,"32,000","736,000",23.00
2021-03-10,TJEA20,"36,000","792,000",22.00
