,level_0,index,Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton),Return
0,433,458,2019-07-17,TJEA19,400,"5,240",13.1,
1,434,457,2019-07-31,TJEA19,400,"5,400",13.5,0.03053435114503822
2,435,456,2019-08-12,TJEA19,387,"4,992",12.9,-0.0444444444444444
3,436,455,2019-08-14,TJEA19,"41,764","523,721",12.54,-0.027906976744186185
4,437,454,2019-08-22,TJEA19,365,"4,818",13.2,0.05263157894736836
5,438,453,2019-10-25,TJEA19,170,"2,385",14.03,0.06287878787878798
6,439,452,2019-12-30,TJEA19,427,"6,576",15.4,0.09764789736279411
7,440,451,2020-01-02,TJEA19,400,"6,320",15.8,0.025974025974025983
8,441,450,2020-01-03,TJEA19,350,"5,460",15.6,-0.012658227848101333
9,442,449,2020-01-06,TJEA19,415,"6,433",15.5,-0.0064102564102563875
10,443,448,2020-01-07,TJEA19,300,"4,800",16.0,0.032258064516129004
11,444,447,2020-01-08,TJEA19,125,"1,963",15.7,-0.018750000000000044
12,445,446,2020-01-10,TJEA19,247,"3,952",16.0,0.019108280254777066
13,446,485,2020-01-13,TJEA19,255,"4,208",16.5,0.03125
14,447,484,2020-01-14,TJEA19,410,"6,806",16.6,0.0060606060606061
15,448,483,2020-01-15,TJEA19,400,"6,320",15.8,-0.048192771084337394
16,449,482,2020-01-16,TJEA19,405,"6,156",15.2,-0.03797468354430389
17,450,481,2020-01-20,TJEA19,380,"5,700",15.0,-0.013157894736842035
18,451,480,2020-01-21,TJEA19,320,"4,848",15.15,0.010000000000000009
19,452,479,2020-02-12,TJEA19,"102,363","1,555,918",15.2,0.0033003300330032292
20,453,478,2020-02-26,TJEA19,200,"3,200",16.0,0.05263157894736836
21,454,477,2020-02-27,TJEA19,300,"4,900",16.33,0.020624999999999893
22,455,476,2020-02-28,TJEA19,240,"3,960",16.5,0.01041028781383968
23,456,475,2020-03-02,TJEA19,350,"5,950",17.0,0.030303030303030276
24,457,474,2020-03-03,TJEA19,250,"4,325",17.3,0.01764705882352935
25,458,473,2020-03-04,TJEA19,275,"4,620",16.8,-0.028901734104046284
26,459,472,2020-03-05,TJEA19,340,"5,593",16.45,-0.02083333333333337
27,460,471,2020-03-06,TJEA19,330,"5,511",16.7,0.015197568389057725
28,461,470,2020-03-09,TJEA19,280,"4,620",16.5,-0.0119760479041916
29,462,469,2020-03-10,TJEA19,260,"4,316",16.6,0.0060606060606061
30,463,468,2020-03-11,TJEA19,342,"5,814",17.0,0.02409638554216853
31,464,467,2020-03-12,TJEA19,350,"5,950",17.0,0.0
32,465,466,2020-03-16,TJEA19,322,"5,635",17.5,0.02941176470588225
33,466,505,2020-03-17,TJEA19,305,"5,429",17.8,0.017142857142857126
34,467,504,2020-03-18,TJEA19,333,"5,661",17.0,-0.0449438202247191
35,468,503,2020-03-19,TJEA19,335,"5,762",17.2,0.0117647058823529
36,469,502,2020-03-20,TJEA19,300,"5,400",18.0,0.04651162790697683
37,470,501,2020-03-23,TJEA19,270,"4,914",18.2,0.011111111111111072
38,471,500,2020-03-24,TJEA19,285,"5,130",18.0,-0.01098901098901095
39,472,499,2020-03-25,TJEA19,296,"5,476",18.5,0.02777777777777768
40,473,498,2020-03-26,TJEA19,366,"6,698",18.3,-0.010810810810810811
41,474,497,2020-03-27,TJEA19,300,"5,550",18.5,0.010928961748633892
42,475,496,2020-03-30,TJEA19,200,"3,800",19.0,0.027027027027026973
43,476,495,2020-03-31,TJEA19,248,"4,836",19.5,0.026315789473684292
44,477,494,2020-04-01,TJEA19,348,"6,960",20.0,0.02564102564102555
45,478,493,2020-04-02,TJEA19,280,"5,488",19.6,-0.019999999999999907
46,479,492,2020-04-03,TJEA19,240,"4,680",19.5,-0.005102040816326592
47,480,491,2020-04-07,TJEA19,277,"5,540",20.0,0.02564102564102555
48,481,490,2020-04-08,TJEA19,316,"6,478",20.5,0.02499999999999991
49,482,489,2020-04-09,TJEA19,335,"6,633",19.8,-0.03414634146341455
50,483,488,2020-04-10,TJEA19,336,"6,552",19.5,-0.015151515151515138
51,484,487,2020-04-13,TJEA19,187,"3,553",19.0,-0.02564102564102566
52,485,486,2020-04-14,TJEA19,160,"3,072",19.2,0.010526315789473717
53,486,525,2020-04-15,TJEA19,347,"6,420",18.5,-0.03645833333333326
54,487,524,2020-04-16,TJEA19,330,"6,270",19.0,0.027027027027026973
55,488,523,2020-04-17,TJEA19,200,"3,800",19.0,0.0
56,489,522,2020-04-20,TJEA19,130,"2,418",18.6,-0.021052631578947323
57,490,521,2020-04-21,TJEA19,310,"5,828",18.8,0.010752688172043001
58,491,520,2020-04-22,TJEA19,300,"5,490",18.3,-0.02659574468085102
59,492,519,2020-04-23,TJEA19,246,"4,551",18.5,0.010928961748633892
60,493,518,2020-04-24,TJEA19,256,"4,608",18.0,-0.027027027027026973
61,494,517,2020-04-27,TJEA19,285,"5,301",18.6,0.03333333333333344
62,495,516,2020-04-28,TJEA19,270,"5,130",19.0,0.021505376344086002
63,496,515,2020-04-29,TJEA19,280,"5,404",19.3,0.015789473684210575
64,497,514,2020-04-30,TJEA19,295,"5,605",19.0,-0.015544041450777257
65,498,513,2020-05-06,TJEA19,250,"4,875",19.5,0.026315789473684292
66,499,512,2020-05-07,TJEA19,249,"4,823",19.37,-0.006666666666666599
67,500,511,2020-05-08,TJEA19,286,"5,548",19.4,0.0015487867836860847
68,501,510,2020-05-11,TJEA19,268,"5,226",19.5,0.005154639175257714
69,502,509,2020-05-12,TJEA19,251,"5,020",20.0,0.02564102564102555
70,503,508,2020-05-13,TJEA19,270,"5,535",20.5,0.02499999999999991
71,504,507,2020-05-14,TJEA19,266,"5,381",20.23,-0.013170731707317085
72,505,506,2020-05-15,TJEA19,260,"5,460",21.0,0.03806228373702414
73,506,545,2020-05-18,TJEA19,"25,000","500,000",20.0,-0.04761904761904767
74,507,544,2020-05-19,TJEA19,"10,000","220,000",22.0,0.10000000000000009
75,508,543,2020-05-20,TJEA19,"2,000","46,000",23.0,0.045454545454545414
76,509,542,2020-05-21,TJEA19,"1,800","42,300",23.5,0.021739130434782705
77,510,541,2020-05-22,TJEA19,"2,000","46,000",23.0,-0.021276595744680882
78,511,540,2020-05-25,TJEA19,"2,000","48,000",24.0,0.04347826086956519
79,512,539,2020-05-26,TJEA19,"3,000","72,000",24.0,0.0
80,513,538,2020-05-27,TJEA19,"1,144","28,600",25.0,0.04166666666666674
81,514,537,2020-05-28,TJEA19,"1,800","45,000",25.0,0.0
82,515,536,2020-06-01,TJEA19,"2,200","50,600",23.0,-0.07999999999999996
83,516,535,2020-06-02,TJEA19,"1,700","38,250",22.5,-0.021739130434782594
84,517,534,2020-06-03,TJEA19,"3,800","87,400",23.0,0.022222222222222143
85,518,533,2020-06-04,TJEA19,"3,600","81,000",22.5,-0.021739130434782594
