,level_0,index,Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton),Return
0,117,122,2014-07-28,TJEA14,200,"4,404",22.02,
1,118,121,2014-07-29,TJEA14,260,"5,790",22.27,0.011353315168028955
2,119,120,2014-07-30,TJEA14,400,"9,476",23.69,0.06376290974405041
3,120,119,2014-07-31,TJEA14,200,"4,776",23.88,0.008020261713803212
4,121,118,2014-08-01,TJEA14,220,"4,859",22.09,-0.07495812395309875
5,122,117,2014-08-04,TJEA14,360,"8,098",22.49,0.018107741059302684
6,123,116,2014-08-05,TJEA14,300,"6,816",22.72,0.010226767452200969
7,124,115,2014-08-06,TJEA14,300,"6,856",22.86,0.0061619718309859906
8,125,114,2014-08-07,TJEA14,400,"9,045",22.61,-0.010936132983377034
9,126,113,2014-08-08,TJEA14,20,407,20.35,-0.09995577178239712
10,127,112,2014-08-21,TJEA14,20,407,20.35,0.0
11,128,111,2014-09-09,TJEA14,20,448,22.39,0.10024570024570023
12,129,110,2014-09-10,TJEA14,20,492,24.6,0.09870477891916041
13,130,109,2014-09-12,TJEA14,500,"13,500",27.0,0.09756097560975596
14,131,108,2014-09-16,TJEA14,100,"2,970",29.7,0.09999999999999987
15,132,107,2014-09-17,TJEA14,20,653,32.67,0.10000000000000009
16,133,106,2014-09-18,TJEA14,780,"23,469",30.09,-0.07897153351698816
17,134,105,2014-09-26,TJEA14,100,"3,000",30.0,-0.0029910269192422456
18,135,104,2014-10-10,TJEA14,20,542,27.08,-0.09733333333333338
19,136,103,2014-10-31,TJEA14,600,"16,350",27.25,0.006277695716395915
20,137,102,2014-11-03,TJEA14,200,"5,535",27.68,0.01577981651376148
21,138,101,2014-11-04,TJEA14,180,"5,042",28.01,0.011921965317919225
22,139,100,2014-11-05,TJEA14,180,"5,021",27.89,-0.004284184219921494
23,140,179,2014-11-06,TJEA14,680,"18,932",27.84,-0.0017927572606669662
24,141,178,2014-11-07,TJEA14,"1,040","26,680",25.65,-0.07866379310344829
25,142,177,2014-11-10,TJEA14,100,"2,700",27.0,0.052631578947368585
26,143,176,2014-11-11,TJEA14,560,"15,212",27.16,0.00592592592592589
27,144,175,2014-11-12,TJEA14,100,"2,620",26.2,-0.03534609720176729
28,145,174,2014-11-13,TJEA14,120,"3,092",25.77,-0.01641221374045798
29,146,173,2014-11-14,TJEA14,340,"8,720",25.65,-0.00465657741559955
30,147,172,2014-11-17,TJEA14,700,"17,902",25.57,-0.003118908382066188
31,148,171,2014-11-18,TJEA14,440,"11,043",25.1,-0.01838091513492368
32,149,170,2014-11-19,TJEA14,100,"2,503",25.03,-0.002788844621513964
33,150,169,2014-11-20,TJEA14,80,"1,988",24.85,-0.007191370355573268
34,151,168,2014-11-21,TJEA14,100,"2,496",24.96,0.004426559356136783
35,152,167,2014-11-24,TJEA14,460,"11,324",24.62,-0.013621794871794823
36,153,166,2014-11-25,TJEA14,60,"1,500",25.0,0.015434606011372809
37,154,165,2014-11-26,TJEA14,"1,440","36,784",25.54,0.021600000000000064
38,155,164,2014-11-27,TJEA14,100,"2,551",25.51,-0.0011746280344556714
39,156,163,2014-11-28,TJEA14,100,"2,520",25.2,-0.01215209721677779
40,157,162,2014-12-01,TJEA14,60,"1,500",25.0,-0.007936507936507908
41,158,161,2014-12-02,TJEA14,100,"2,508",25.08,0.0031999999999998696
42,159,160,2014-12-03,TJEA14,100,"2,513",25.13,0.001993620414673103
43,160,199,2014-12-04,TJEA14,640,"16,220",25.34,0.008356545961002881
44,161,198,2014-12-05,TJEA14,60,"1,512",25.2,-0.0055248618784530246
45,162,197,2014-12-08,TJEA14,220,"5,537",25.17,-0.0011904761904760752
46,163,196,2014-12-09,TJEA14,100,"2,500",25.0,-0.006754072308303605
47,164,195,2014-12-10,TJEA14,60,"1,506",25.1,0.0040000000000000036
48,165,194,2014-12-11,TJEA14,60,"1,506",25.1,0.0
49,166,193,2014-12-12,TJEA14,100,"2,522",25.22,0.004780876494023811
50,167,192,2014-12-15,TJEA14,580,"14,643",25.25,0.0011895321173671647
51,168,191,2014-12-16,TJEA14,120,"3,051",25.43,0.007128712871287135
52,169,190,2014-12-17,TJEA14,220,"5,598",25.45,0.0007864726700745894
53,170,189,2014-12-18,TJEA14,280,"7,209",25.75,0.011787819253438192
54,171,188,2014-12-19,TJEA14,340,"8,589",25.26,-0.019029126213592207
55,172,187,2014-12-22,TJEA14,220,"5,526",25.12,-0.005542359461599422
56,173,186,2014-12-23,TJEA14,240,"6,040",25.17,0.001990445859872736
57,174,185,2014-12-24,TJEA14,220,"5,543",25.2,0.0011918951132299238
58,175,184,2014-12-25,TJEA14,240,"6,059",25.25,0.001984126984126977
