,level_0,index,Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton),Return
0,393,418,2016-07-29,TJEA16,100,"1,450",14.5,
1,394,417,2016-08-01,TJEA16,100,"1,460",14.6,0.006896551724137945
2,395,416,2016-08-03,TJEA16,120,"1,770",14.75,0.010273972602739656
3,396,415,2016-08-04,TJEA16,80,"1,179",14.74,-0.0006779661016949046
4,397,414,2016-09-14,TJEA16,100,"1,474",14.74,0.0
5,398,413,2016-09-29,TJEA16,100,"1,505",15.05,0.02103120759837185
6,399,412,2017-03-21,TJEA16,"76,000","1,029,800",13.55,-0.09966777408637872
7,400,411,2017-06-05,TJEA16,200,"2,756",13.78,0.01697416974169741
8,401,410,2017-06-13,TJEA16,200,"2,700",13.5,-0.020319303338171224
9,402,409,2017-06-16,TJEA16,980,"13,230",13.5,0.0
10,403,408,2017-06-20,TJEA16,"1,520","18,544",12.2,-0.09629629629629632
11,404,407,2017-06-28,TJEA16,"7,980","88,578",11.1,-0.0901639344262295
12,405,406,2017-06-29,TJEA16,"247,675","2,144,232",8.66,-0.2198198198198198
13,406,445,2017-06-30,TJEA16,"874,273","7,509,125",8.59,-0.008083140877598205
