,level_0,index,Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton),Return
0,575,596,2020-09-16,TJEA20,195,"5,015",25.72,
1,576,595,2020-09-17,TJEA20,"3,052","70,806",23.2,-0.09797822706065318
2,577,594,2020-09-18,TJEA20,"2,800","58,800",21.0,-0.09482758620689657
3,578,593,2020-09-28,TJEA20,"4,500","103,500",23.0,0.09523809523809534
4,579,592,2020-09-29,TJEA20,"4,578","114,450",25.0,0.08695652173913038
5,580,591,2020-09-30,TJEA20,"2,880","73,440",25.5,0.020000000000000018
6,581,590,2020-10-12,TJEA20,"1,524","39,624",26.0,0.019607843137254832
7,582,589,2020-10-13,TJEA20,"18,652","477,491",25.6,-0.01538461538461533
8,583,588,2020-10-14,TJEA20,"18,800","479,400",25.5,-0.00390625
9,584,587,2020-10-15,TJEA20,"16,000","403,200",25.2,-0.01176470588235301
10,585,586,2020-10-16,TJEA20,"19,200","480,000",25.0,-0.007936507936507908
11,586,625,2020-10-19,TJEA20,"18,000","460,800",25.6,0.02400000000000002
12,587,624,2020-10-20,TJEA20,"28,200","713,460",25.3,-0.01171875
13,588,623,2020-10-21,TJEA20,"16,800","433,440",25.8,0.01976284584980248
14,589,622,2020-10-22,TJEA20,"25,500","655,350",25.7,-0.003875968992248069
15,590,621,2020-10-23,TJEA20,"25,920","653,184",25.2,-0.01945525291828798
16,591,620,2020-10-26,TJEA20,"16,000","400,000",25.0,-0.007936507936507908
17,592,619,2020-10-27,TJEA20,"27,972","706,293",25.25,0.010000000000000009
18,593,618,2020-10-28,TJEA20,"17,520","441,504",25.2,-0.001980198019801982
19,594,617,2020-10-29,TJEA20,"18,492","468,772",25.35,0.005952380952380931
20,595,616,2020-10-30,TJEA20,"17,600","446,160",25.35,0.0
21,596,615,2020-11-02,TJEA20,"17,800","450,340",25.3,-0.0019723865877712132
22,597,614,2020-11-03,TJEA20,"16,952","427,190",25.2,-0.0039525691699605625
23,598,613,2020-11-04,TJEA20,"17,584","446,634",25.4,0.007936507936507908
24,599,612,2020-11-05,TJEA20,"18,268","459,988",25.18,-0.008661417322834652
25,600,611,2020-11-06,TJEA20,"25,956","651,496",25.1,-0.003177124702144485
26,601,610,2020-11-09,TJEA20,"16,756","427,278",25.5,0.015936254980079667
27,602,609,2020-11-10,TJEA20,"28,518","719,794",25.24,-0.010196078431372602
28,603,608,2020-11-11,TJEA20,"18,492","465,998",25.2,-0.0015847860538826808
29,604,607,2020-11-12,TJEA20,"18,244","461,573",25.3,0.003968253968253954
30,605,606,2020-11-13,TJEA20,"18,760","476,504",25.4,0.0039525691699604515
31,606,645,2020-11-16,TJEA20,"18,572","468,757",25.24,-0.006299212598425252
32,607,644,2020-11-17,TJEA20,"18,648","471,981",25.31,0.0027733755942946914
33,608,643,2020-11-18,TJEA20,"15,552","392,844",25.26,-0.0019755037534570086
34,609,642,2020-11-19,TJEA20,"15,600","391,560",25.1,-0.006334125098970689
35,610,641,2020-11-20,TJEA20,"15,800","398,160",25.2,0.003984063745019917
36,611,640,2020-11-23,TJEA20,"24,000","600,000",25.0,-0.007936507936507908
37,612,639,2020-11-24,TJEA20,"14,000","351,400",25.1,0.0040000000000000036
38,613,638,2020-11-25,TJEA20,"15,800","399,740",25.3,0.007968127490039834
39,614,637,2020-11-26,TJEA20,"12,000","304,800",25.4,0.0039525691699604515
40,615,636,2020-11-27,TJEA20,"21,000","525,000",25.0,-0.015748031496062964
41,616,635,2020-12-22,TJEA20,"3,400","76,500",22.5,-0.09999999999999998
42,617,634,2020-12-23,TJEA20,"3,200","64,800",20.25,-0.09999999999999998
43,618,633,2020-12-24,TJEA20,"28,000","623,560",22.27,0.09975308641975311
44,619,632,2020-12-25,TJEA20,"26,000","624,000",24.0,0.07768298158958231
