,Date,Trading Index,Open Price,Settlement Price (yuan/ton),Highest Price,Lowest Price,Price Change,Return,Settlement Volume (ton),Turnover (yuan)
1266,2015-10-21,GDEA,15,15,15,15,0,0,1661,24915
1267,2015-10-19,GDEA,15.27,15,15,15,-0.27,-1.77,3549,53235
1268,2015-10-16,GDEA,15.5,15.27,15.5,15,-0.23,-1.48,25260,385654.5
1269,2015-10-15,GDEA,15.98,15.5,15.5,15.5,-0.48,-3,10000,155000
1270,2015-10-13,GDEA,16.5,15.98,15.98,15.98,-0.52,-3.15,2,31.96
1271,2015-09-23,GDEA,15.92,16.5,16.5,16.5,0.58,3.64,30000,495000
1272,2015-09-22,GDEA,15.5,15.92,16.07,14,0.42,2.71,697541,10879530
1273,2015-09-21,GDEA,16.2,15.5,15.5,15.5,-0.7,-4.32,1500,23250
1274,2015-09-18,GDEA,18,16.2,16.2,16.2,-1.8,-10,4700,76140
1275,2015-09-16,GDEA,19.63,18,18,18,-1.63,-8.3,70000,1260000
1276,2015-09-15,GDEA,18.26,19.63,19.63,16.43,1.37,7.5,2401,47128.43
1277,2015-09-14,GDEA,18.53,18.26,20.36,16.68,-0.27,-1.46,1161,21205.48
1278,2015-09-11,GDEA,16.93,18.53,18.6,15.25,1.6,9.45,1020,18905
1279,2015-09-10,GDEA,16.94,16.93,18.63,16.7,-0.01,-0.06,10160,171988
1280,2015-09-09,GDEA,15.53,16.94,17.08,15.6,1.41,9.08,3100,52504
1281,2015-09-07,GDEA,16.2,15.53,16.49,15.5,-0.67,-4.14,252777,3980792.73
1282,2015-09-02,GDEA,18,16.2,16.2,16.2,-1.8,-10,29021,470140.2
1283,2015-09-01,GDEA,19.4,18,18,18,-1.4,-7.22,100000,1800000
1284,2015-08-31,GDEA,17.69,19.4,19.4,19.4,1.71,9.67,399,7740.6
1285,2015-08-28,GDEA,16.08,17.69,17.69,17.69,1.61,10.01,200,3538
1286,2015-08-26,GDEA,16.6,16.08,16.5,14.96,-0.52,-3.13,216100,3462810
1287,2015-08-25,GDEA,18.27,16.6,20,16.5,-1.67,-9.14,10300,171000
1288,2015-08-24,GDEA,17.48,18.27,19.2,16.43,0.79,4.52,299,5463.8
1289,2015-08-21,GDEA,16.41,17.48,18.05,16.35,1.07,6.52,300,5245
1290,2015-08-20,GDEA,15.51,16.41,17.06,16.39,0.9,5.8,8118,133199.42
1291,2015-08-19,GDEA,15.72,15.51,16.46,15.5,-0.21,-1.34,150700,2406192
1292,2015-08-18,GDEA,16.5,15.72,16.47,14.85,-0.78,-4.73,131800,2072170
1293,2015-08-17,GDEA,16.5,16.5,16.5,16.48,0,0,126833,2092691.36
1294,2015-08-14,GDEA,16.5,16.5,16.5,16.5,0,0,25000,412500
1295,2015-08-13,GDEA,16.18,16.5,16.5,16.5,0.32,1.98,5000,82500
1296,2015-08-12,GDEA,16.48,16.18,16.48,16,-0.3,-1.82,150800,2419904
1297,2015-08-06,GDEA,16.5,16.48,16.49,16.48,-0.02,-0.12,28354,467388.62
1298,2015-08-05,GDEA,16.46,16.5,16.5,16.5,0.04,0.24,12160,200640
1299,2015-08-04,GDEA,16.3,16.46,16.48,16.44,0.16,0.98,6030,99272.4
1300,2015-08-03,GDEA,15.2,16.3,16.3,16.3,1.1,7.24,723,11784.9
1301,2015-07-31,GDEA,15.14,15.2,15.2,15.2,0.06,0.4,10,152
1302,2015-07-30,GDEA,14.81,15.14,16.29,14.5,0.33,2.23,51300,776517
1303,2015-07-29,GDEA,16.45,14.81,14.81,14.81,-1.64,-9.97,200,2962
1304,2015-07-28,GDEA,16.45,16.45,16.45,16.45,0,0,1600,26320
1305,2015-07-27,GDEA,16.42,16.45,16.48,16.42,0.03,0.18,6000,98700
1306,2015-07-24,GDEA,15.56,16.42,16.5,16,0.86,5.53,12000,197000
1307,2015-07-23,GDEA,15.84,15.56,16,15,-0.28,-1.77,11900,185200
1308,2015-07-22,GDEA,15.53,15.84,15.88,15.8,0.31,2,4500,71270
1309,2015-07-21,GDEA,16.01,15.53,15.55,15.5,-0.48,-3,5000,77655
1310,2015-07-15,GDEA,16.01,16.01,,,0,0,1800000,27972000
1311,2015-07-14,GDEA,15.52,16.01,17.07,15.2,0.49,3.16,947,15161.1
1312,2015-07-13,GDEA,15.19,15.52,16.7,15.39,0.33,2.17,10000,155210
1313,2015-07-10,GDEA,15.99,15.19,15.19,14.4,-0.8,-5,81810,1242686
1314,2015-07-09,GDEA,15,15.99,15.99,15.99,0.99,6.6,90,1439.1
1315,2015-07-08,GDEA,16,15,15,15,-1,-6.25,7603,114045
1316,2015-07-07,GDEA,15.24,16,16,16,0.76,4.99,300,4800
1317,2015-07-06,GDEA,15.5,15.24,15.5,14.5,-0.26,-1.68,85959,1309905.5
1318,2015-07-03,GDEA,15.44,15.5,15.75,15.5,0.06,0.39,257540,3991880
