,Unnamed: 0,Date,Trading Index,Open Price,Settlement Price (yuan/ton),Highest Price,Lowest Price,Price Change,Return,Settlement Volume (ton),Turnover (yuan)
227,227,2020-07-15,GDEA,27.47,27.05,27.58,25.0,-0.42,-0.015300000000000001,52001,1365707.58
226,226,2020-07-16,GDEA,27.05,27.39,27.48,27.39,0.34,0.0126,202001,5654807.48
225,225,2020-07-17,GDEA,27.39,27.86,28.0,27.06,0.47,0.0172,13190,367423.28
224,224,2020-07-20,GDEA,27.86,28.48,28.48,28.48,0.62,0.0223,177,5040.96
223,223,2020-07-21,GDEA,28.48,27.98,28.17,26.33,-0.5,-0.0176,2201,61594.17
222,222,2020-07-22,GDEA,27.98,28.76,28.76,28.76,0.78,0.0279,180,5176.8
221,221,2020-07-23,GDEA,28.76,28.42,28.5,28.2,-0.34,-0.0118,61300,1810910.0
220,220,2020-07-24,GDEA,28.42,28.23,28.5,27.66,-0.19,-0.0067,226613,4951386.66
219,219,2020-07-27,GDEA,28.23,27.81,28.39,27.02,-0.42,-0.0149,190,5284.5
218,218,2020-07-28,GDEA,27.81,28.42,28.43,28.4,0.61,0.0219,168101,4963910.38
217,217,2020-07-29,GDEA,28.42,28.36,28.39,28.35,-0.06,-0.0021,200117,4603317.67
216,216,2020-07-30,GDEA,28.36,28.02,28.44,28.0,-0.34,-0.012,40234,1127166.63
215,215,2020-07-31,GDEA,28.02,28.35,28.5,28.0,0.33,0.0118,67701,1919191.5
214,214,2020-08-03,GDEA,28.35,28.12,28.48,27.51,-0.23,-0.008100000000000001,499531,7252840.58
213,213,2020-08-04,GDEA,28.12,27.9,28.39,27.8,-0.22,-0.0078000000000000005,1412,39391.44
212,212,2020-08-05,GDEA,27.9,28.0,28.2,28.0,0.1,0.0036,26101,730829.2
211,211,2020-08-06,GDEA,28.0,28.0,28.47,28.0,0.0,0.0,10301,288441.92
210,210,2020-08-07,GDEA,28.0,28.2,28.45,28.0,0.2,0.0070999999999999995,22284,628455.84
209,209,2020-08-10,GDEA,28.2,28.14,28.45,28.1,-0.06,-0.0021,11570,325609.81
208,208,2020-08-11,GDEA,28.14,28.02,28.44,28.0,-0.12,-0.0043,9250,259159.0
207,207,2020-08-12,GDEA,28.02,28.0,28.3,27.99,-0.02,-0.0007000000000000001,22212,621939.52
206,206,2020-08-13,GDEA,28.0,28.29,28.29,28.29,0.29,0.010400000000000001,110,3111.9
205,205,2020-08-14,GDEA,28.29,28.02,28.2,28.02,-0.27,-0.0095,10001,280228.2
204,204,2020-08-17,GDEA,28.02,28.3,28.39,28.2,0.28,0.01,20000,565900.0
203,203,2020-08-18,GDEA,28.3,28.04,28.33,28.04,-0.26,-0.0092,10001,280428.33
202,202,2020-08-19,GDEA,28.04,28.26,28.32,28.2,0.22,0.0078000000000000005,20000,565200.0
201,201,2020-08-20,GDEA,28.26,28.1,28.2,28.1,-0.16,-0.005699999999999999,11010,309382.1
200,200,2020-08-21,GDEA,28.1,28.12,28.45,28.1,0.02,0.0007000000000000001,29736,836087.01
199,199,2020-08-24,GDEA,28.12,28.26,28.27,28.11,0.14,0.005,210501,6264783.25
198,198,2020-08-25,GDEA,28.26,28.06,28.1,28.03,-0.2,-0.0070999999999999995,25903,726870.12
197,197,2020-08-26,GDEA,28.06,27.95,28.14,27.95,-0.11,-0.0039000000000000003,3212,89781.14
196,196,2020-08-27,GDEA,27.95,27.92,28.2,25.6,-0.03,-0.0011,11451,319688.2
195,195,2020-08-28,GDEA,27.92,27.69,28.1,27.5,-0.23,-0.008199999999999999,11001,304633.1
194,194,2020-08-31,GDEA,27.69,27.5,28.0,27.0,-0.19,-0.0069,225400,5935000.0
193,193,2020-09-01,GDEA,27.5,28.09,28.09,28.09,0.59,0.0215,164000,3843260.0
192,192,2020-09-02,GDEA,28.09,27.8,28.8,27.8,-0.29,-0.0103,115001,3218027.8
191,191,2020-09-03,GDEA,27.8,27.81,28.14,27.8,0.01,0.0004,10342,287623.88
190,190,2020-09-04,GDEA,27.81,27.7,28.0,27.7,-0.11,-0.004,10001,277028.0
189,189,2020-09-07,GDEA,27.7,27.81,28.2,27.22,0.11,0.004,33501,931802.2
