,Date,Settlement Volume (ton),Settlement Price (yuan/ton),Trading Index,Turnover,Return
84,2014-05-20,568,53.36,,"30,308.00",0.00039999999999995595
85,2014-05-21,2300,53.36,,"122,730.00",0.0
86,2014-05-22,1000,53.5,,"53,500.00",0.0025999999999999357
87,2014-05-23,4700,53.5,,"251,430.00",0.0
88,2014-05-26,31381,52.99,,"1,662,978.00",-0.009499999999999953
89,2014-05-27,2000,52.0,,"104,000.00",-0.01870000000000005
90,2014-05-28,9405,53.26,,"500,947.50",0.0242
91,2014-05-29,3206,53.1,,"170,250.40",-0.0030000000000000027
92,2014-05-30,3148,53.0,,"166,844.00",-0.0019000000000000128
93,2014-06-03,2753,53.47,,"147,210.20",0.008899999999999908
94,2014-06-04,200,53.8,,"10,760.00",0.006199999999999983
95,2014-06-05,1650,53.3,,"87,950.00",-0.009299999999999975
96,2014-06-06,16228,53.32,,"865,302.40",0.00039999999999995595
97,2014-06-09,36577,53.45,,"1,954,946.80",0.0023999999999999577
98,2014-06-10,400,53.7,,"21,480.00",0.0046999999999999265
99,2014-06-11,20951,53.47,,"1,120,246.60",-0.0042999999999999705
100,2014-06-12,25185,53.5,,"1,347,372.50",0.0005999999999999339
101,2014-06-13,32661,53.33,,"1,741,655.30",-0.0031999999999999806
102,2014-06-16,19156,53.36,,"1,022,125.20",0.0005999999999999339
103,2014-06-17,8238,53.36,,"439,611.60",0.0
104,2014-06-18,30979,53.5,,"1,657,376.50",0.0025999999999999357
105,2014-06-19,21349,53.46,,"1,141,229.50",-0.0007000000000000339
106,2014-06-20,140,53.4,,"7,476.00",-0.0010999999999999899
107,2014-06-23,20531,53.52,,"1,098,725.10",0.0021999999999999797
108,2014-06-24,30955,53.54,,"1,657,292.50",0.00039999999999995595
109,2014-06-25,45444,54.72,,"2,486,769.40",0.02200000000000002
110,2014-06-26,101188,56.87,,"5,754,369.40",0.03929999999999989
111,2014-06-27,18617,66.48,,"1,237,642.00",0.16900000000000004
112,2014-06-30,5021,62.45,,"313,557.50",-0.06059999999999999
113,2014-07-01,37587,66.15,,"2,486,413.50",0.05919999999999992
114,2014-07-02,27956,67.12,,"1,876,435.70",0.014699999999999935
115,2014-07-03,66161,66.77,,"4,417,460.30",-0.005199999999999982
116,2014-07-04,20656,68.18,,"1,408,294.10",0.021099999999999897
117,2014-07-07,11779,68.23,,"803,651.40",0.0006999999999999229
118,2014-07-08,44784,68.99,,"3,089,695.60",0.01110000000000011
119,2014-07-09,26286,69.45,,"1,825,613.50",0.006699999999999928
120,2014-07-10,50819,74.07,,"3,763,961.60",0.0665
121,2014-07-11,50737,74.04,,"3,756,601.10",-0.00039999999999995595
122,2014-07-14,7966,76.71,,"611,042.00",0.03610000000000002
123,2014-07-15,5610,76.11,,"426,970.00",-0.007800000000000029
124,2014-07-16,465,77.0,,"35,805.00",0.011700000000000044
125,2014-07-21,300,73.0,,"21,900.00",-0.051899999999999946
126,2014-07-22,200,72.5,,"14,500.00",-0.006800000000000028
127,2014-07-23,2000,72.0,,"144,000.00",-0.006900000000000017
128,2014-07-25,8000,74.9,,"599,200.00",0.0403
129,2014-07-29,1500,60.0,,"90,000.00",-0.19889999999999997
130,2014-07-30,2000,58.0,,"116,000.00",-0.033299999999999996
131,2014-08-06,400,58.1,,"23,240.00",0.0017000000000000348
132,2014-08-08,600,58.0,,"34,800.00",-0.0017000000000000348
133,2014-08-11,300,57.0,,"17,100.00",-0.017199999999999993
134,2014-08-13,200,57.0,,"11,400.00",0.0
135,2014-08-19,3903,55.0,,"214,665.00",-0.03510000000000002
136,2014-08-20,2400,50.0,,"120,000.00",-0.09089999999999998
137,2014-08-21,7000,48.0,,"336,000.00",-0.040000000000000036
138,2014-08-26,1700,54.6,,"92,820.00",0.13749999999999996
139,2014-08-29,500,53.0,,"26,500.00",-0.029299999999999993
140,2014-09-02,450,53.5,,"24,075.00",0.009400000000000075
141,2014-09-05,1000,53.0,,"53,000.00",-0.009299999999999975
142,2014-09-09,600,53.0,,"31,800.00",0.0
143,2014-09-11,400,53.5,,"21,400.00",0.009400000000000075
144,2014-09-12,600,53.6,,"32,160.00",0.0019000000000000128
145,2014-09-15,100,50.0,,"5,000.00",-0.06720000000000004
146,2014-09-16,600,53.4,,"32,040.00",0.06800000000000006
147,2014-09-18,10000,51.0,,"510,000.00",-0.04490000000000005
148,2014-09-24,200,52.0,,"10,400.00",0.019600000000000062
149,2014-09-26,10000,51.0,,"510,000.00",-0.019199999999999995
150,2014-09-30,3650,51.0,,"186,150.00",0.0
151,2014-10-09,500,52.5,,"26,250.00",0.029400000000000093
152,2014-10-15,1000,52.0,,"52,000.00",-0.009499999999999953
153,2014-10-17,1500,52.1,,"78,150.00",0.0019000000000000128
154,2014-10-22,600,52.5,,"31,500.00",0.00770000000000004
155,2014-10-23,50,52.5,,"2,625.00",0.0
156,2014-10-24,500,52.0,,"26,000.00",-0.009499999999999953
157,2014-10-28,1300,52.12,,"67,760.00",0.0022999999999999687
158,2014-10-29,9000,50.0,,"450,000.00",-0.04069999999999996
159,2014-10-30,1000,51.0,,"51,000.00",0.020000000000000018
160,2014-11-03,700,51.0,,"35,700.00",0.0
161,2014-11-04,9000,50.0,,"450,000.00",-0.01959999999999995
162,2014-11-14,800,52.0,,"41,600.00",0.040000000000000036
163,2014-11-17,3800,52.05,,"197,800.00",0.0009999999999998899
164,2014-11-18,1000,53.0,,"53,000.00",0.018299999999999983
165,2014-11-19,3000,52.0,,"156,000.00",-0.018900000000000028
166,2014-11-20,3700,52.0,,"192,400.00",0.0
167,2014-11-21,500,52.3,,"26,150.00",0.005800000000000027
168,2014-11-25,1000,52.0,,"52,000.00",-0.005700000000000038
169,2014-11-27,500,52.5,,"26,250.00",0.009600000000000053
170,2014-11-28,2000,52.4,,"104,800.00",-0.0019000000000000128
171,2014-12-01,600,52.5,,"31,500.00",0.0019000000000000128
172,2014-12-03,1500,52.93,,"79,400.00",0.008199999999999985
