Date,Settlement Volume (ton),Settlement Price (yuan/ton),Turnover (yuan)
2015-07-31,70,42.00,"2,940.00"
2015-07-23,91,41.91,"3,814.00(BEA)"
2015-07-21,100,42.00,"4,200.00(BEA)"
2015-07-16,23,42.00,966.00(BEA)
2015-07-08,1000,35.00,"35,000.00(BEA)"
2015-07-03,1152,38.90,"44,812.80(BEA)"
2015-07-03,527,37.00,"19,499.00（林业碳汇）"
2015-06-29,29177,39.47,"1,151,527.50"
2015-06-26,11000,40.66,"447,250.00"
2015-06-25,19944,38.83,"774,473.00"
2015-11-09,500,40.00,"20,000.00 (BEA)"
2015-11-06,500,41.00,"20,500.00(BEA)"
2015-11-05,120,43.00,"5,160.00(BEA)"
2015-10-30,100,45.00,"4,500(BEA)"
2015-10-22,105,44.50,"4,672.00(BEA)"
2015-10-14,100,43.00,"4,300.00(BEA)"
2015-10-09,145,41.09,"5,958.00(BEA)"
2015-09-28,200,39.70,"7,940.00(BEA)"
2015-09-21,120,43.00,"5,160.00(BEA)"
2015-09-14,8500,46.50,"395,250.00(BEA)"
2015-09-10,100,45.00,"4,500.00"
2015-09-09,8600,45.76,"393,500.00 (BEA)"
2015-08-27,21,49.14,"1,032.00(BEA)"
2015-08-25,1,60.00,60.00（BEA)
2015-08-24,1,50.00,50.00(BEA)
2016-04-18,4508,33.56,"151,266.80(BEA)"
2016-04-15,2600,38.30,"99,580.00（BEA）"
2016-04-14,7787,36.89,"287,240.90(BEA)"
2016-04-12,7682,38.38,"294,827.80(BEA)"
2016-04-11,1619,34.50,"55,855.50（BEA）"
2016-04-08,1800,43.13,"77,640（BEA）"
2016-04-07,16034,39.96,"640,660.80 (BEA)"
2016-04-06,1510,38.99,"58,872.00 (BEA)"
2016-04-05,100,48.70,"4,870.00 (BEA)"
2016-04-01,100,40.70,"4,070.00（BEA）"
2016-03-31,32320,33.94,"1,029,104.00(BEA)"
2016-03-30,1191,33.99,"40,478.80 (BEA)"
2016-03-29,29949,39.97,"1,196,934.80 (BEA)"
2016-03-28,6410,36.91,"236,624.00（BEA）"
2016-03-25,1451,37.75,"54,774.10"
2016-05-25,65351,51.99,"3,397,581.40(BEA)"
2016-05-24,3460,10.05,"34,786.50（CCER）"
2016-05-24,18261,50.39,"920,141.90（BEA）"
2016-05-23,127317,47.44,"6,039,684.80（BEA）"
2016-05-20,1000,18.00,"18,000.00（CCER）"
2016-05-20,68293,41.96,"2,865,608.50（BEA）"
2016-05-19,13523,42.11,"569,396.30（BEA）"
2016-05-18,15349,53.05,"814,214.40(BEA)"
2016-05-17,5391,10.63,"57,320.00(CCER)"
2016-05-17,23757,51.98,"1,234,845.80(BEA)"
2016-05-16,1975,23.28,"45,978.80（CCER）"
2016-05-16,25642,50.96,"1,306,672.00(BEA)"
2016-05-13,52270,51.29,"2,680,795.80 (BEA)"
2016-05-13,6169,18.00,"111,038.00 (CCER)"
2016-05-12,18500,49.71,"919,672.00(BEA))"
2016-06-07,1566,12.00,"18,792(CCER)"
2016-06-07,114270,50.25,"5,742,224.80(BEA)"
2016-06-06,1100,18.00,"19,800.00（CCER）"
2016-06-06,92382,52.03,"4,806,460.00(BEA)"
2016-06-03,62126,51.42,"3,194,807.40（BEA）"
2016-06-02,5,12.70,63.50（CCER）
2016-06-02,84104,50.64,"4,259,336.70（BEA）"
2016-06-01,314,28.00,"8,792.00(CCER)"
2016-06-01,62685,53.38,"3,346,131.60(BEA)"
2016-05-31,42143,51.00,"2,149,090.90(BEA)"
2016-05-30,429,9.80,"4,204.20(CCER)"
2016-05-30,52198,51.16,"2,670,556.00(BEA)"
2016-05-27,429,11.00,"4,719.00（CCER）"
2016-05-27,74068,52.19,"3,865,955.70（BEA）"
2016-05-26,41557,52.20,"2,169,194.90（BEA）"
2016-05-11,65283,46.15,"3,013,021.50(BEA)"
2016-05-10,1448,19.00,"227,512.00(CCER)"
2016-05-10,4463,46.37,"206,929.00(BEA)"
2016-05-09,12096,47.32,"572,429.40（BEA）"
2016-05-06,390,18.00,"7,020.00（CCER）"
2016-05-06,18754,44.57,"835,944.00（BEA）"
2016-05-05,10234,45.09,"461,454.00(BEA)"
2016-05-04,10370,51.02,"529,118.00(BEA)"
2016-05-03,400,49.20,"19,680.00（BEA）"
2016-04-29,1900,49.70,"94,430.00（BEA）"
2016-04-28,7000,50.86,"356,000.00(BEA)"
2016-04-25,90,47.50,"4,275.00(BEA)"
2016-04-21,3340,39.94,133.416.00(BEA)
2016-04-20,120,43.90,"5,268.00(BEA)"
2016-04-19,87761,36.82,"3,231,385.70(BEA)"
2016-02-26,8000,33.65,"269,200.00（BEA）"
2016-02-25,1000,37.40,"37,400（BEA）"
2016-02-22,5000,37.40,"187,000.00（BEA）"
2016-02-19,5000,37.40,"187,000.00(BEA)"
2016-02-17,1,46.70,46.70(BEA)
2016-02-15,101,39.00,"3,939.40(BEA)"
2016-02-05,1700,32.80,"55,760.00(BEA)"
2016-02-01,110,41.01,"4,511.00 (BEA)"
2016-01-26,100,38.90,"3,890.00(BEA)"
2016-01-25,4350,32.40,"140,940.00 (BEA)"
2016-01-21,115,40.47,"4,654.50(BEA)"
2016-01-18,1150,37.74,"43,400.00(BEA)"
2016-01-15,300,35.00,"10,500.00（BEA）"
2016-01-14,31,43.69,"1,354.30（BEA）"
2016-01-07,1,53.60,53.60（BEA）
2016-03-24,25142,36.79,"925,031.60(BEA)"
2016-03-23,209,37.20,"7,774.80(BEA)"
2016-03-22,3,46.47,139.40(BEA)
2016-03-18,300,47.00,"14,100.00（BEA）"
2016-03-17,7000,40.41,"282,900.00（BEA）"
2016-03-16,260,50.20,"13,052.00（BEA）"
2016-03-11,300,51.00,"15,300.00 (BEA)"
2016-03-10,256,48.20,"12,339.20(BEA)"
2016-03-09,200,46.00,"9,200(BEA)"
2016-03-08,200,41.50,"8,300(BEA)"
2016-03-04,4850,34.64,"167,980.00（BEA）"
2016-03-03,100,39.00,"3,900.00（BEA）"
2016-03-02,9000,32.56,"293,000.00（BEA）"
2016-03-01,6540,33.29,"217,692.00（BEA）"
2016-02-29,400,38.00,"15,200.00（BEA）"
2016-08-29,1500,52.00,"78,000.00(BEA)"
2016-08-26,58,52.60,3050.80(BEA)
2016-08-25,60,54.00,3240.00(BEA)
2016-08-24,16514,53.78,"888,109.80(BEA)"
2016-08-23,60,52.90,"3,174.00(BEA)"
2016-08-22,55,52.60,"2,893.00(BEA)"
2016-08-19,56,53.00,"2,968.00(BEA)"
2016-08-18,64,53.20,"3,404.80(BEA)"
2016-08-17,18744,47.17,"884,083.20（BEA）"
2016-08-16,1650,44.00,"72,600.00(BEA)"
2016-08-15,2371,54.98,"130,366.20(BEA)"
2016-08-12,167,54.73,"9,140.60(BEA)"
2016-08-11,27,52.80,"1,425.60(BEA)"
2016-08-10,50,53.10,"2,655.00（BEA）"
2016-08-09,48,53.50,"2,568.00(BEA)"
2016-06-24,19246,54.77,"1,054,144.80 (BEA)"
2016-06-23,21672,54.00,"1,170,231.00 (BEA)"
2016-06-22,71338,53.06,"3,784,904.60 (BEA)"
2016-06-21,37963,54.71,"2,077,079.60 (BEA)"
2016-06-20,12955,53.66,"695,101.00 (BEA)"
2016-06-19,8625,52.83,"455,625.00(BEA)"
2016-06-18,8980,51.19,"459,698.80(BEA)"
2016-06-17,52022,50.21,"2,611,793.00 (BEA)"
2016-06-16,46075,48.68,"2,242,912.40 (BEA)"
2016-06-15,47456,45.67,"2,167,198.20 (BEA)"
2016-06-14,129272,50.83,"6,571,130.60 (BEA)"
2016-06-13,152,22.00,"3,344.00(CCER)"
2016-06-13,120421,51.16,"6,160,916.90(BEA)"
2016-06-12,121208,50.73,"6,148,783.10（BEA）"
2016-06-08,113015,50.94,"5,756,672.00(BEA)"
2016-07-18,3800,53.56,"203,520.00(BEA)"
2016-07-13,82,53.00,"4,346.00(BEA)"
2016-07-12,2350,52.46,"123,270.00(BEA)"
2016-07-11,97,53.00,"5,141.00(BEA)"
2016-07-07,51,52.84,"2,694.60(BEA)"
2016-07-06,6452,49.50,"319,362.40(BEA)"
2016-07-06,6452,49.50,"319,362.40(BEA)"
2016-07-04,79,47.35,"3,740.90(BEA)"
2016-07-01,101,44.87,"4,531.60(BEA)"
2016-06-30,2077,39.45,"81,932.40（BEA）"
2016-06-29,32282,47.53,"1,534,473.70（BEA）"
2016-06-28,16053,52.13,"836,908.50（BEA）"
2016-06-27,7646,55.55,"424,729.00（BEA）"
2016-06-26,4041,64.42,"260,323.20（BEA）"
2016-06-25,17435,55.79,"972,647.00(BEA)"
2016-08-08,52,53.00,"2,756.00(BEA)"
2016-08-05,50,53.80,"2,690.00（BEA）"
2016-08-04,146,53.34,"7,787.60（BEA）"
2016-08-03,138,53.34,"7,360.80（BEA）"
2016-08-02,195,53.06,"10,346.80（BEA）"
2016-08-01,61,53.33,"3,253.10（BEA）"
2016-07-29,73,53.94,"3,937.90（BEA）"
2016-07-28,111,53.41,"5,928.00（BEA）"
2016-07-27,151,53.73,"8,113.10（BEA）"
2016-07-26,177,53.94,"9,547.00（BEA）"
2016-07-25,157,53.83,"8,451.40（BEA）"
2016-07-22,171,53.73,9187.10(BEA)
2016-07-21,191,53.93,10301.10(BEA)
2016-07-20,231,51.43,"11,879.30(BEA)"
2016-07-19,1,42.90,42.90(BEA)
2014-12-15,300,52.50,"15,750.00"
2014-12-12,2100,52.29,"109,800.00"
2014-12-11,1300,52.12,"67,750.00"
2014-12-10,800,52.80,"42,240.00"
2014-12-09,300,52.50,"15,750.00"
2014-12-08,10700,52.35,"560,100.00"
2014-12-05,3500,53.00,"185,500.00"
2014-12-03,1500,52.93,"79,400.00"
2014-12-01,600,52.5,"31,500.00"
2014-11-28,2000,52.40,"104,800.00"
2014-11-27,500,52.50,"26,250.00"
2014-11-25,1000,52.00,"52,000.00"
2014-11-21,500,52.30,"26,150.00"
2014-11-20,3700,52.00,"192,400.00"
2014-11-19,3000,52.00,"156,000.00"
2014-11-18,1000,53.00,"53,000.00"
2014-11-17,3800,52.05,"197,800.00"
2014-11-14,800,52.00,"41,600.00"
2014-11-04,9000,50.00,"450,000.00"
2014-11-03,700,51.00,"35,700.00"
2014-10-30,1000,51.00,"51,000.00"
2014-10-29,9000,50.00,"450,000.00"
2014-10-28,1300,52.12,"67,760.00"
2014-10-24,500,52.00,"26,000.00"
2014-10-23,50,52.50,"2,625.00"
2014-10-22,600,52.50,"31,500.00"
2014-10-17,1500,52.10,"78,150.00"
2014-10-15,1000,52.00,"52,000.00"
2014-10-09,500,52.50,"26,250.00"
2014-09-30,3650,51.00,"186,150.00"
2017-02-27,2,55.00,110.00(BEA)
2017-02-22,11,51.73,569.00(BEA)
2017-02-21,68,50.57,"3,438.70(BEA)"
2017-02-20,58,51.46,"2,984.40(BEA)"
2017-02-16,56,52.30,"2,928.80（BEA）"
2017-02-15,40,61.60,"2,464.00（BEA）"
2017-02-13,70,51.26,"3,588.00（BEA）"
2017-02-10,64,51.20,"3,276.80(BEA)"
2017-02-07,105,50.06,"5,256.00(BEA)"
2017-02-03,98,51.00,"4,998.00(BEA)"
2017-01-26,3100,50.35,"156,100.00(BEA)"
2017-01-25,260,50.80,"13,208.00(BEA)"
2017-01-24,9500,49.21,"467,500.00(BEA)"
2017-01-23,16012,48.66,"779,120.00(BEA)"
2017-01-19,5796,50.25,"291,227.60(BEA)"
2017-01-18,14530,52.17,"758,000.00（BEA）"
2017-01-17,5320,50.88,"270,666.00（BEA）"
2017-01-16,1200,49.50,"59,400.00（BEA）"
2017-01-11,6,49.50,297.00(BEA)
2017-01-06,6,50.50,303.00(BEA)
2017-01-05,29108,48.88,"1422,742.00(BEA)"
2017-01-04,3004,44.30,"133,077.20(BEA)"
2017-01-03,9160,51.36,"470,416.00(BEA)"
2016-12-30,16,55.40,886.40(BEA)
2016-12-29,8,54.20,433.60(BEA)
2016-12-27,120,53.30,"6,396.00(BEA)"
2016-12-26,90,53.33,"4,800.00(BEA)"
2016-12-21,72,52.30,"3,765.60（BEA）"
2016-12-20,670,48.85,"32,730.00（BEA）"
2016-12-15,58,51.80,"3,004.40(BEA)"
2017-03-28,1900,52.24,"99,260.00(BEA)"
2017-03-27,40487,51.71,"2,093,752.40（BEA）"
2017-03-24,1000,8.00,"8,000.00（CCER）"
2017-03-24,3200,51.47,"164,700.00（BEA）"
2017-03-23,50,10.00,500.00(CCER)
2017-03-17,92,51.90,"4,774.80（BEA）"
2017-03-16,64,53.30,"3,411.20(BEA)"
2017-03-15,86,52.60,"4,523.60(BEA)"
2017-03-14,3700,51.83,"191,760.00（BEA）"
2017-03-10,2500,50.96,"127,400.00(BEA)"
2017-03-09,7920,48.98,"387,957.00（BEA）"
2017-03-08,58,51.40,"2,981.20(BEA)"
2017-03-07,18000,52.30,"941,400.00（BEA）"
2017-03-06,82,52.30,"4,288.60（BEA）"
2017-02-28,8068,54.98,"443,556.40(BEA)"
2016-12-14,66,51.90,"3,425.40(BEA)"
2016-12-13,56,52.30,"2,928.80(BEA)"
2016-12-09,60,50.50,"3,030.00(BEA）"
2016-12-07,56,52.60,"2,945.60(BEA)"
2016-12-06,54,54.20,"2,926.80(BEA)"
2016-12-02,16000,56.50,"904,000.00(BEA)"
2016-12-01,303,61.22,"18,550.40（BEA）"
2016-11-30,8180,51.99,"425,302.40(BEA)"
2016-11-29,460,69.00,"31,740.00(BEA)"
2016-11-28,580,60.20,"34,916.00(BEA)"
2016-11-25,62,50.20,"3,112.40(BEA)"
2016-11-23,3212,50.84,"163,292.00（BEA）"
2016-11-22,58,50.80,"2,946.40（BEA）"
2016-11-16,1950,49.54,"96,610.00(BEA)"
2016-11-15,5400,49.83,"269,080.00(BEA)"
2016-11-14,64,50.20,"3,212.80(BEA)"
2016-11-11,58,51.10,"2,963.80(BEA)"
2016-11-09,66,50.60,"3,339.60(BEA)"
2016-11-07,66,51.20,"3,379.20(BEA)"
2016-11-04,64,51.60,"3,302.40（BEA）"
2016-11-03,1123,49.68,"55,793.80(BEA)"
2016-11-02,62,50.80,"3,149.60（BEA）"
2016-10-31,62,52.00,"3,224.00(BEA)"
2016-10-27,62,52.10,"3,230.20(BEA)"
2016-10-26,58,52.60,3050.80(BEA)
2016-10-25,106,53.20,"5,639.20(BEA)"
2016-10-18,52,51.30,"2,667.60(BEA)"
2016-10-17,54,53.10,"2,867.40（BEA）"
2016-10-13,62,51.80,"3,211.60（BEA）"
2016-10-11,360,50.48,"18,174.00（BEA）"
2017-05-11,20596,50.19,"1,033,767.20(BEA)"
2017-05-10,2910,47.72,"138,858.00(BEA)"
2017-05-08,2000,52.32,"104,640.00(BEA)"
2017-05-05,1316,14.00,"18,424.00(CCER)"
2017-05-05,17342,50.29,"872,187.70(BEA)"
2017-05-04,100,13.00,"1,300.00(CCER)"
2017-05-04,10993,51.76,"568,971.60(BEA)"
2017-05-03,7001,51.54,"360,839.60(BEA)"
2017-05-02,11580,50.36,"583,200.00(BEA)"
2017-04-28,21346,49.98,"1,066,955.20（BEA）"
2017-04-27,39035,49.46,"1,930,531.70（BEA）"
2017-04-26,122968,44.96,"5,528,479.20(BEA)"
2017-04-25,32279,42.35,"1,367,117.90(BEA)"
2017-04-24,12500,51.16,"639,500.00（BEA）"
2017-04-21,25116,49.16,"1,234,691.60(BEA)"
2017-04-20,50,10.00,500.00(CCER)
2017-04-20,33745,50.00,"1,687,407.50(BEA)"
2017-04-19,13250,51.12,"677,350.00(BEA)"
2017-04-18,15141,53.80,"814,651.90(BEA)"
2017-04-17,1210,52.81,"63,903.00(BEA)"
2017-04-14,4550,52.85,"240,490.00(BEA)"
2017-04-13,38459,49.66,"1,909,940.00（BEA）"
2017-04-12,37477,47.83,"1,792,593.00(BEA)"
2017-04-11,26285,47.17,"1,239,866.50(BEA)"
2017-04-10,228,52.59,"11,991.60(BEA)"
2017-04-07,3000,53.52,"160,550.00（BEA）"
2017-04-06,17970,53.09,"954,094.00（BEA）"
2017-04-05,1100,53.00,"58,350.00（BEA）"
2017-03-30,4100,52.14,"213,790.00（BEA）"
2017-03-29,21286,52.40,"1,115,375.20（BEA）"
2016-10-10,56,52.40,"2,934.40（BEA）"
2016-09-30,56,53.00,"2,968.00（BEA）"
2016-09-28,60,52.10,"3,126.00（BEA）"
2016-09-27,62,52.60,"3,261.20(BEA)"
2016-09-23,300,50.00,"15,000.00(BEA)"
2016-09-20,57,52.95,"3,018.00(BEA)"
2016-09-19,58,53.80,"3,120.40(BEA)"
2016-09-12,60,53.60,"3,216.00(BEA)"
2016-09-07,58,53.00,"3,074.00（BEA）"
2016-09-06,1500,55.30,"82,950.00（BEA）"
2016-09-05,56,52.20,"2,923.20（BEA）"
2016-09-02,60,53.00,"3,180.00(BEA)"
2016-09-01,110,53.18,5.850.00(BEA)
2016-08-31,84,52.10,"4,376.40（BEA）"
2016-08-30,62,52.60,"3,261.20(BEA)"
2017-05-26,99040,52.81,"5,230,709.00（BEA）"
2017-05-25,4418,6.95,"30,706.00（CCER）"
2017-05-25,122883,52.58,"6,461,513.90（BEA）"
2017-05-24,21899,19.00,"416,081.00（CCER）"
2017-05-24,37219,51.28,"1,908,760.00（BEA）"
2017-05-23,2572,13.84,"35,604.00(CCER)"
2017-05-23,41216,50.01,"2,061,306.00(BEA)"
2017-05-22,16607,50.63,"840,765.60(BEA)"
2017-05-19,40398,51.03,"2,061,493.50（BEA）"
2017-05-18,8162,55.56,"453,503.60(BEA)"
2017-05-17,8507,59.78,"508,584.20（BEA）"
2017-05-16,508,15.90,"8,077.20（CCER）"
2017-05-16,36318,50.75,"1,843,214.40（BEA）"
2017-05-15,11500,51.79,"595,600.00（BEA）"
2017-05-12,12855,51.09,"656,771.00(BEA)"
2017-06-08,115860,49.93,"5,784,845.60(BEA)"
2017-06-07,1267,4.00,"5,068.00（CCER）"
2017-06-07,94837,48.56,"4,605,394.10（BEA）"
2017-06-06,867,5.00,"4,335.00（CCER）"
2017-06-06,154960,46.71,"7,238,609.60(BEA)"
2017-06-05,1672,4.94,"8,252.20（CCER）"
2017-06-05,539,25.00,"13,475.00(林业碳汇)"
2017-06-05,72801,46.62,"3,393,862.20(BEA)"
2017-06-02,12000,5.40,"64,800.00（CCER）"
2017-06-02,80173,46.81,"3,752,861.50(BEA)"
2017-06-01,27733,49.43,"1,370,933.60（BEA）"
2017-06-01,11567,14.47,"167,356.80（CCER）"
2017-05-31,94272,52.53,"4,952,504.20(BEA)"
2017-05-26,3130,11.59,"36,277.50（CCER）"
2017-05-26,940,24,"22,560.00（林业碳汇）"
2017-06-23,25000,17.95,"448,850.00(CCER)"
2017-06-23,1362,51.11,"69,618.60(BEA)"
2017-06-22,1031,18.94,"19,529.00（林业碳汇）"
2017-06-22,3292,51.14,"168,343.60（BEA）"
2017-06-21,20,20.00,400.00（林业碳汇）
2017-06-21,9249,51.35,"474,955.70(BEA)"
2017-06-20,19467,51.39,"1,000,361.60（BEA）"
2017-06-19,6216,51.15,"317,966.40(BEA)"
2017-06-15,52333,56.63,"2,963,821.90(BEA)"
2017-06-14,46970,52.55,"2,468,332.80(BEA)"
2017-06-13,122042,51.33,"6,264,216.10(BEA)"
2017-06-12,80504,51.22,"4,123,161.60(BEA)"
2017-06-11,21109,50.60,"1,068,128.50(BEA)"
2017-06-10,22420,51.80,"1,161,251.40（BEA）"
2017-06-09,126633,47.55,"6,021,921.60(BEA)"
2019-04-30,1970,75.59,"148,904.00（BEA）"
2019-04-29,25138,74.34,"1,868,818.00(BEA)"
2019-04-26,4800,75.03,"360,160.00(BEA)"
2019-04-25,1200,6.50,"7,800.00（CCER）"
2019-04-25,26784,73.81,"1,976,808.00（BEA）"
2019-04-24,2,8.70,17.40（CCER）
2019-04-24,13996,77.49,"1,084,482.90（BEA）"
2019-04-23,16255,73.72,"1,198,268.00（BEA）"
2019-04-22,12486,73.67,"919,815.40（BEA）"
2019-04-19,39769,72.43,"2,880,287.20（BEA）"
2019-04-16,2001,15.50,"31,008.50(CCER)"
2019-04-15,21,12.13,254.70(CCER)
2019-04-11,2176,74.02,"161,076.20（BEA）"
2019-04-10,11868,74.12,"879,635.10（BEA）"
2019-04-08,18,74.44,"1,340.00（BEA）"
2019-05-30,1283,82.41,"105,732.00(BEA)"
2019-05-24,29300,82.49,"2,417,010.00(BEA)"
2019-05-22,46268,82.05,"3,796,070.80(BEA)"
2019-05-21,715,83.88,59977.50(BEA)
2019-05-20,24656,77.12,1901584.00(BEA)
2019-05-17,34526,73.66,"2,543,033.00（BEA）"
2019-05-16,450,8.06,"3,625.00（CCER）"
2019-05-16,30856,69.48,"2,143,752.00（BEA）"
2019-05-15,9618,62.51,"601,217.40（BEA）"
2019-05-14,119,6.50,773.50（CCER）
2019-05-14,4378,77.88,"340,962.60（BEA）"
2019-05-13,200,77.10,"15,420.00（BEA）"
2019-05-10,183,75.75,"13,861.80 (BEA)"
2019-05-09,8027,75.47,"605,758.50 (BEA)"
2019-05-08,14215,75.37,"1,071,407.50(BEA)"
2019-06-19,22651,83.21,"1,884,744.50 (BEA)"
2019-06-18,6969,86.92,"605,728.20(BEA)"
2019-06-17,1738,7.20,"12,513.60（CCER）"
2019-06-17,200,87.00,"17,400.00(BEA)"
2019-06-14,300,87.33,"26,200.00 (BEA)"
2019-06-13,11918,81.86,"975,628.50（BEA）"
2019-06-12,200,81.90,"16,380.00(BEA)"
2019-06-11,9941,81.09,"806,160.40（BEA）"
2019-06-10,20375,9.08,"185,000.00（CCER）"
2019-06-10,1481,81.04,"120,013.90（BEA）"
2019-06-06,200,78.00,"15,600(BEA)"
2019-06-05,40778,77.37,"3,154,850.30(BEA)"
2019-06-04,1102,77.36,"85,254.80（BEA）"
2019-06-03,6053,71.82,"434,745.40(BEA)"
2019-05-31,1,65.90,65.90(BEA)
2019-07-08,1060,14.00,"14,840.00(CCER)"
2019-07-08,10956,86.79,"950,856.50(BEA)"
2019-07-05,123,86.90,"10,688.70(BEA)"
2019-07-04,47682,84.90,"4,048,343.20(BEA)"
2019-07-03,22493,84.46,"1,899,865.40(BEA)"
2019-07-02,16075,87.04,"1,399,160.60(BEA)"
2019-07-01,48292,87.21,"4,211,759.10(BEA)"
2019-06-28,11600,87.30,"1,012,680.00(BEA)"
2019-06-27,15581,87.26,"1,359,574.70(BEA)"
2019-06-27,674,7.20,"4,852.80(CCER)"
2019-06-26,238,87.20,"20,753.60(BEA)"
2019-06-25,12295,82.14,"1,009,912.00(BEA)"
2019-06-24,29611,81.96,"2,427,019.80(BEA)"
2019-06-21,69492,87.47,"6,078,594.60(BEA)"
2019-06-20,28468,84.56,"2,407,248.80（BEA）"
2019-07-22,37761,87.34,"3,297,917.80(BEA)"
2019-07-19,9317,87.20,"812,446.60(BEA)"
2019-07-18,210,10.10,"2,121.00(林业碳汇)"
2019-07-18,36830,87.21,"3,211,864.00(BEA)"
2019-07-17,652,45.00,"29,340.00(PCER)"
2019-07-17,652,10.50,"6,846.00(CCER)"
2019-07-17,64180,87.17,"5,594,578.50(BEA)"
2019-07-16,24859,86.87,"2,159,388.50(BEA)"
2019-07-15,1000,15.00,"15,000.00(CCER)"
2019-07-15,13890,86.94,"1,207,635.00(BEA)"
2019-07-12,20527,86.08,"1,766,863.70(BEA)"
2019-07-11,10,12.20,122.00(CCER)
2019-07-11,13217,86.71,"1,146,019.80(BEA)"
2019-07-10,10,9.4,94.00(CCER)
2019-07-09,54968,86.71,"4,766,212.80(BEA)"
2020-02-18,1,84.50,84.50(BEA)
2020-01-09,350,84.50,"29,575.00(BEA)"
2020-01-08,300,80.10,"24,030.00（BEA）"
2020-01-07,400,76.20,"30,480.00（BEA）"
2020-01-06,487,73.10,"35,600.00（BEA）"
2019-12-31,1024,70,"71,680.00(BEA)"
2019-12-30,1000,68.70,68700.00(BEA)
2019-12-27,873,75.00,"65,475.00(BEA)"
2019-12-25,4242,82.80,"351,238.00（BEA）"
2019-12-23,5910,75.82,"448,070.00（BEA）"
2019-12-20,80,77.00,"6,160.00（BEA）"
2019-12-19,84,76.00,"6,384.00（BEA）"
2019-12-18,6620,75.15,"497,510.00（BEA）"
2019-12-17,3619,71.26,"257,902.00（BEA）"
2019-12-16,28000,61.93,"1,734,000.00（BEA）"
2019-08-06,32629,87.17,"2,844,150.00(BEA)"
2019-08-05,1436,12.73,"18,286.00(CCER)"
2019-08-05,84378,87.48,"7,381,772.40(BEA)"
2019-08-02,22928,87.20,"1,999,291.40(BEA)"
2019-08-01,1383,10.00,"13,830.00(CCER)"
2019-08-01,25061,83.92,"2,103,194.50(BEA)"
2019-07-31,200,87.40,"17,480.00(BEA)"
2019-07-30,38803,87.24,"3,384,986.80(BEA)"
2019-07-29,7404,11.24,"83,254.70(CCER)"
2019-07-29,7556,87.08,"657,946.00(BEA)"
2019-07-26,118,12.90,"1,522.20(CCER)"
2019-07-26,32464,86.86,"2,819,969.60(BEA)"
2019-07-25,36533,86.14,"3,146,963.40(BEA)"
2019-07-24,36998,87.25,"3,228,260.20(BEA)"
2019-07-23,30787,87.43,"2,691,742.60(BEA)"
2019-09-12,5158,87.20,"449,777.60(BEA）"
2019-09-11,54199,86.18,"4,670,939.20(BEA)"
2019-09-10,216,86.90,"18,770.00(BEA)"
2019-09-06,6780,86.40,"585,822.00(BEA)"
2019-09-05,11887,86.76,"1,031,340.40(BEA)"
2019-09-04,200,86.50,"17,300.00"
2019-09-03,77,85.58,"6,589.70(BEA)"
2019-09-02,310,11.50,"3,565.00(林业碳汇)"
2019-09-02,11816,83.66,"988,483.80(BEA)"
2019-08-30,72419,82.81,"5,996,851.20(BEA)"
2019-08-29,137749,86.95,"11,977,090.20(BEA)"
2019-08-28,116973,87.01,"10,177,588.30(BEA)"
2019-08-27,79328,87.00,"6,901,925.90(BEA)"
2019-08-26,103584,86.96,"9,007,843.30(BEA)"
2019-08-23,23340,86.95,"2,029,430.00(BEA)"
2020-05-13,109,88.00,"9,592.00(BEA)"
2020-05-12,4680,74.34,"347,916.00(BEA)"
2020-05-07,10000,20.00,"200,000.00（CCER）"
2020-04-23,15000,40.00,"600,000.00（林业碳汇）"
2020-04-22,5,34.40,172.00(林业碳汇)
2020-04-22,184,85.43,"15,720.00(BEA)"
2020-04-21,5,28.70,143.50（林业碳汇）
2020-04-20,5,23.90,119.50(林业碳汇)
2020-04-17,5,19.90,99.50（林业碳汇）
2020-04-17,111,86.17,"9,565.20（BEA）"
2020-04-16,5,16.60,83.00（林业碳汇）
2020-04-16,72,85.37,"6,146.30（BEA）"
2020-04-14,5,13.80,69.00（林业碳汇）
2020-04-10,106,86.80,"9,200.80(BEA)"
2020-04-09,100,12.30,"1,230.00(CCER)"
2020-04-08,4899,13.30,"65,156.00（CCER）"
2020-04-07,2001,12.83,"25,664.00（CCER）"
2020-04-07,133,87.20,"11,597.60（BEA）"
2020-04-03,3000,13.58,"40,750.00（CCER）"
2020-04-01,105,86.70,"9,103.50（BEA）"
2020-03-27,100,86.30,"8,630.00（BEA）"
2020-03-25,230,86.33,"19,855.10(BEA)"
2020-03-24,5500,87.00,"478,500.00（BEA）"
2020-03-23,205,85.60,"17,548.00（BEA）"
2020-03-20,4700,84.72,"398,180.00(BEA)"
2020-03-18,6975,83.97,"585,695.00（BEA）"
2020-03-17,475,86.10,"40,897.50(BEA)"
2020-03-13,600,84.40,"50,640.00（BEA）"
2020-03-12,1000,81.00,"81,000.00(BEA)"
2020-03-11,300,68.00,"20,400.00(BEA)"
2020-07-07,220,22.00,"4,840.00（CCER）"
2020-07-07,1548,100.00,"154,800.00（BEA）"
2020-07-06,3095,92.94,"287,664.00（BEA）"
2020-07-02,1421,93.79,"133,274.40（BEA）"
2020-06-30,100,93.00,"9,300.00（BEA）"
2020-06-29,5861,88.83,"520,630.00（BEA）"
2020-06-24,1200,20,"24,000.00(CCER)"
