Date,Settlement Volume (ton),Settlement Price (yuan/ton),Turnover (yuan)
2018-06-21,21036,44.01,"925,865.60（BEA）"
2018-06-20,6,18.20,109.20（CCER）
2018-06-20,2500,12.10,"30,250.00（林业碳汇）"
2018-06-20,27565,48.14,"1,326,961.40（BEA）"
2018-06-19,48597,40.71,"1,978,185.70（BEA）"
2018-06-15,175876,36.04,"6,339,281.30（BEA）"
2018-06-14,1000,14.00,"14,000.00（CCER）"
2018-06-14,263,34.18,"8,989.20（BEA）"
2018-06-13,20,11.70,234.00（CCER）
2018-06-13,23676,40.48,"958,343.20（BEA）"
2018-06-12,2,9.00,18.00（CCER）
2018-06-12,14250,44.90,"639,825.00（BEA）"
2018-06-11,10,6.90,69.00（CCER）
2018-06-11,29853,56.14,"1,675,867.80（BEA）"
2018-05-21,11500,57.11,"656,740.00（BEA）"
2018-05-18,1950,7.50,"14,625.00（CCER）"
2018-05-18,31045,57.11,"1,773,100.80（BEA）"
2018-05-17,44557,53.97,"2,404,677.80（BEA）"
2018-05-16,50,6.80,340.00（CCER）
2018-05-16,52330,49.48,"2,589,200.00（BEA）"
2018-05-15,35644,50.02,"1,782,841.60（BEA）"
2018-05-14,385,47.00,"18,095.00（BEA）"
2018-05-11,6026,58.83,"354,509.40（BEA）"
2018-05-10,18102,58.53,"1,059,583.80（BEA）"
2018-05-09,8900,58.63,"521,820.00（BEA）"
2018-05-07,14824,58.50,"867,259.00(BEA)"
2018-05-04,14248,58.71,"836,448.80（BEA）"
2018-05-03,20,58.20,"1,164.00（BEA）"
2018-04-27,4432,57.65,"255,514.80（BEA）"
2017-08-15,100,39.40,"3,940.00（CCER）"
2017-08-11,3,49.00,147.00（BEA）
2017-08-10,3188,48.53,"154,719.20（BEA）"
2018-06-08,400,15.10,"6,040.00（林业碳汇）"
2018-06-08,965,5.30,"5,,114.50（CCER）"
2018-06-08,30206,65.83,"1,988,611.90（BEA）"
2018-06-07,28598,65.91,"1,884,870.00（BEA）"
2018-06-06,32463,64.95,"2,108,437.90（BEA）"
2018-06-05,1330,64.07,"85,211.00（BEA）"
2018-06-04,8572,63.42,"543,600.00（BEA）"
2018-06-01,11600,62.47,"724,600.00（BEA）"
2018-05-31,21998,61.68,"1,356,877.80（BEA）"
2018-05-30,14000,61.05,"854,700.00（BEA）"
2018-05-28,32805,60.12,"1,972,268.50（BEA）"
2018-05-25,33449,59.85,"2,001,902.30（BEA）"
2018-05-24,500,59.60,"29,,800.00（BEA）"
2018-05-23,200,59.20,"11,840.00（BEA）"
2018-05-22,8749,58.73,"513,829.30（BEA）"
2018-11-30,401,50.89,"20,405.00(BEA)"
2018-11-29,225,51.29,"11,540.00（BEA）"
2018-11-28,14426,50.33,"726,012.00（BEA）"
2018-11-27,7502,50.16,"376,277.00（BEA）"
2018-11-23,559,43.59,"24,366.80（BEA）"
2018-11-22,994,41.40,"41,151.60（BEA）"
2018-11-21,1999,35.00,"69,960.20（BEA）"
2018-11-20,486,37.80,"18,370.80（BEA）"
2018-11-19,498,41.30,"20,567.40（BEA）"
2018-11-16,212,45.47,"9,639.60（BEA）"
2018-11-15,8,47.00,376.00（BEA）
2018-11-07,500,47.10,"23,550.00（BEA）"
2018-11-05,44000,49.42,"2,174,400.00(BEA)"
2018-11-02,116534,43.90,"5,116,179.60（BEA）"
2018-11-01,30497,43.80,"1,335,768.60（BEA）"
2018-12-18,300,9.30,"2,790.00（林业碳汇）"
2018-12-18,2500,42.00,"105,000.00（BEA）"
2018-12-17,200,11.60,"2,320.00（林业碳汇）"
2018-12-17,1559,49.98,"77,915.90（BEA）"
2018-12-14,8450,14.50,"122,525.00（林业碳汇）"
2018-12-14,1000,50.10,"50,100.00（BEA）"
2018-12-13,1700,12.10,"20,570.00（林业碳汇）"
2018-12-13,9740,49.09,"478,106.00（BEA）"
2018-12-12,13003,52.37,"681,020.00（BEA）"
2018-12-11,5351,50.04,"267,742.50（BEA）"
2018-12-10,9001,45.55,"410,035.00（BEA）"
2018-12-06,14516,58.78,"853,187.60(BEA)"
2018-12-05,1626,57.59,"93,644.40（BEA）"
2018-12-04,5819,55.46,"322,724.70（BEA）"
2018-12-03,3731,51.64,"192,654.60（BEA）"
2014-01-22,100,50.20,"5,020.00"
2014-01-21,200,50.00,"10,000.00"
2014-01-20,200,50.10,"10,020.00"
2014-01-17,200,50.10,"10,020.00"
2014-01-16,200,50.10,"10,020.00"
2014-01-14,200,53.00,"10,600.00"
2014-01-13,500,50.00,"25,000.00"
2014-01-10,100,50.80,"5,080.00"
2014-01-09,200,50.65,"10,130.00"
2014-01-08,400,50.75,"20,300.00"
2014-01-07,500,50.00,"25,000.00"
2014-01-02,50,51.50,"2,575.00"
2013-12-24,1000,50.00,"50,000.00"
2013-12-19,100,55.00,"5,500.00"
2013-12-17,100,51.00,"5,100.00"
2018-10-31,46996,51.69,"2,429,199.20（BEA）"
2018-10-30,500,50.20,"25,100.00（BEA）"
2018-10-29,500,61.20,"30,600.00(BEA)"
2018-10-09,9170,74.60,"684,082.00(BEA)"
2018-10-08,229,64.00,"14,656.00(BEA)"
2018-09-28,2000,55.60,"111,200.00（BEA）"
2018-09-27,3500,46.30,"162,050.00(BEA)"
2018-09-26,9999,38.60,"385,961.40（BEA）"
2018-09-25,24406,32.22,"786,356.20（BEA）"
2018-09-21,20069,31.11,"624,417.60（BEA）"
2018-09-20,110535,30.32,"3,351,254.30（BEA）"
2018-09-19,5295,30.44,"161,171.00（BEA）"
2018-09-18,13833,36.15,"500,085.50（BEA）"
2018-09-17,1,41.00,41.00（BEA）
2018-09-14,15,51.20,768.00(BEA)
2019-04-04,100,73.00,"7,300.00(BEA)"
2019-04-02,3313,70.28,"232,829.40(BEA)"
2019-03-29,2357,69.82,"164,575.00(BEA)"
2019-03-28,3442,69.29,"238,504.00(BEA)"
2019-03-27,2,68.10,136.20(BEA)
2019-03-22,2,67.50,135.00（BEA）
2019-03-18,10,67.94,679.40（BEA）
2019-03-13,8,67.00,536.00（BEA）
2019-03-11,50,68.40,"3,420.00（BEA）"
2019-03-08,100,66.50,"6,650.00（BEA）"
2019-03-07,100,65.00,"6,500.00（BEA）"
2019-03-06,150,63.67,"9,550.00（BEA）"
2019-03-05,140,61.79,"8,650.00（BEA）"
2019-02-25,10,60.50,606.50（BEA）
2019-02-22,1172,60.79,"71,244.80(BEA)"
2019-01-29,17500,60.50,"1,058,750.00(BEA)"
2019-01-25,6000,74.00,"444,000.00（BEA）"
2019-01-18,500,60.10,"30,050.00（BEA）"
2019-01-04,1000,75.10,"75,100.00 (BEA）"
2019-01-03,818,71.00,"58,078.00 (BEA)"
2019-01-02,457,65.06,"29,731.20 (BEA)"
2018-12-28,6783,57.03,"386,834.00（BEA）"
2018-12-27,4460,58.73,"261,950.00（BEA）"
2018-12-26,52,51.54,"2,680.00（BEA）"
2018-12-25,100,50.00,"5,000.00（BEA）"
2018-12-24,240,45.50,"10,920.00（BEA）"
2018-12-21,30003,40.00,"1,200,120.00（BEA）"
2018-12-21,29998,40.00,"1,199,930.00（BEA）"
2018-12-19,7950,8.40,"66,753.00（林业碳汇）"
2018-12-19,600,42.00,"25,200.00（BEA）"
2018-02-01,96,56.40,"5,414.40(BEA)"
2018-01-31,140,58.00,"8,120.00(BEA)"
2018-01-30,120,55.00,"6,600.00（BEA）"
2018-01-26,25740,50.27,"1,293,960.00（BEA）"
2018-01-25,200,49.60,"9,920.00（BEA）"
2018-01-24,600,41.30,"24,780.00(BEA)"
2018-01-15,2880,51.58,"148,548.00(BEA)"
2018-01-11,1130,51.80,"58,534.00(BEA)"
2018-01-10,1000,43.20,"43,200.00(BEA)"
2017-12-29,15,54.00,810.00(BEA)
2017-11-17,9100,57.71,"525,160.00(BEA)"
2017-11-16,200,54.50,"10,900.00（BEA）"
2017-11-15,200,51.50,"10,300.00（BEA）"
2017-11-06,200,48.70,"9,740.00（BEA）"
2017-11-03,1000,40.60,"40,600.00（BEA）"
2014-02-26,1000,52.41,"52,410.00"
2014-02-25,1000,52.04,"52,040.00"
2014-02-24,500,52.14,"26,070.00"
2014-02-21,850,51.81,"44,035.00"
2014-02-20,650,51.75,"33,640.00"
2014-02-19,350,51.70,"18,095.00"
2014-02-18,700,51.40,"35,990.00"
2014-02-17,550,51.50,"28,325.00"
2014-02-14,500,51.10,"25,550.00"
2014-02-13,500,51.80,"25,900.00"
2014-02-12,400,51.00,"20,400.00"
2014-02-11,300,51.00,"15,300.00"
2014-01-30,100,50.80,"5,080.00"
2014-01-29,100,51.00,"5,100.00"
2014-01-28,100,50.50,"5,050.00"
2014-03-19,900,56.31,"50,680.00"
2014-03-18,1000,56.48,"56,480.00"
2014-03-17,1000,56.17,"56,170.00"
2014-03-14,500,54.00,"27,000.00"
2014-03-13,1100,55.76,"61,340.00"
2014-03-12,900,55.96,"50,360.00"
2014-03-11,2200,54.56,"120,040.00"
2014-03-10,1700,54.16,"92,080.00"
2014-03-07,900,55.18,"49,660.00"
2014-03-06,700,55.20,"38,640.00"
2014-03-05,2300,53.07,"122,050.00"
2014-03-04,1400,52.63,"73,680.00"
2014-03-03,1150,52.56,"60,440.00"
2014-02-28,1200,52.82,"63,380.00"
2014-02-27,1300,51.78,"67,320.00"
2014-04-11,900,57.26,"51,530.00"
2014-04-10,1100,57.00,"62,700.00"
2014-04-09,1200,53.15,"63,780.00"
2014-04-08,900,57.02,"51,320.00"
2014-04-04,1000,57.18,"57,180.00"
2014-04-03,1400,53.39,"74,750.00"
2014-04-02,700,57.00,"39,900.00"
2014-04-01,1200,52.38,"62,850.00"
2014-03-31,1250,54.85,"68,560.00"
2014-03-28,1000,56.86,"56,860.00"
2014-03-27,800,56.85,"45,480.00"
2014-03-26,1000,56.51,"56,510.00"
2014-03-25,600,56.95,"34,170.00"
2014-03-21,1100,54.97,"60,470.00"
2014-03-20,1200,56.39,"67,670.00"
2014-05-27,2000,52.00,"104,000.00"
2014-05-26,31381,52.99,"1,662,978.00"
2014-05-23,4700,53.50,"251,430.00"
2014-05-22,1000,53.50,"53,500.00"
2014-05-21,2300,53.36,"122,730.00"
2014-05-20,568,53.36,"30,308.00"
2014-05-19,4345,53.34,"231,773.00"
2014-05-16,1400,52.79,"73,900.00"
2014-05-15,1900,53.50,"101,650.00"
2014-05-14,900,52.60,"47,340.00"
2014-05-13,900,53.50,"48,150.00"
2014-05-12,2400,53.50,"128,400.00"
2014-05-09,1800,53.17,"95,700.00"
2014-05-08,2400,53.03,"127,280.00"
2014-05-07,4300,52.56,"226,000.00"
2014-06-18,30979,53.50,"1,657,376.50"
2014-06-17,8238,53.36,"439,611.60"
2014-06-16,19156,53.36,"1,022,125.20"
2014-06-13,32661,53.33,"1,741,655.30"
2014-06-12,25185,53.50,"1,347,372.50"
2014-06-11,20951,53.47,"1,120,246.60"
2014-06-10,400,53.70,"21,480.00"
2014-06-09,36577,53.45,"1,954,946.80"
2014-06-06,16228,53.32,"865,302.40"
2014-06-05,1650,53.30,"87,950.00"
2014-06-04,200,53.80,"10,760.00"
2014-06-03,2753,53.47,"147,210.20"
2014-05-30,3148,53.00,"166,844.00"
2014-05-29,3206,53.10,"170,250.40"
2014-05-28,9405,53.26,"500,947.50"
2014-07-09,26286,69.45,"1,825,613.50"
2014-07-08,44784,68.99,"3,089,695.60"
2014-07-07,11779,68.23,"803,651.40"
2014-07-04,20656,68.18,"1,408,294.10"
2014-07-03,66161,66.77,"4,417,460.30"
2014-07-02,27956,67.12,"1,876,435.70"
2014-07-01,37587,66.15,"2,486,413.50"
2014-06-30,5021,62.45,"313,557.50"
2014-06-27,18617,66.48,"1,237,642.00"
2014-06-26,101188,56.87,"5,754,369.40"
2014-06-25,45444,54.72,"2,486,769.40"
2014-06-24,30955,53.54,"1,657,292.50"
2014-06-23,20531,53.52,"1,098,725.10"
2014-06-20,140,53.40,"7,476.00"
2014-06-19,21349,53.46,"1,141,229.50"
2014-08-13,200,57.00,"11,400.00"
2014-08-11,300,57.00,"17,100.00"
2014-08-08,600,58.00,"34,800.00"
2014-08-06,400,58.10,"23,240.00"
2014-07-30,2000,58.00,"116,000.00"
2014-07-29,1500,60.00,"90,000.00"
2014-07-25,8000,74.90,"599,200.00"
2014-07-23,2000,72.00,"144,000.00"
2014-07-22,200,72.50,"14,500.00"
2014-07-21,300,73.00,"21,900.00"
2014-07-16,465,77.00,"35,805.00"
2014-07-15,5610,76.11,"426,970.00"
2014-07-14,7966,76.71,"611,042.00"
2014-07-11,50737,74.04,"3,756,601.10"
2014-07-10,50819,74.07,"3,763,961.60"
2014-05-06,1220,52.83,"64,450.00"
2014-05-05,1700,53.32,"90,640.00"
2014-04-30,1200,53.15,"63,780.00"
2014-04-29,2200,53.48,"117,650.00"
2014-04-28,700,53.00,"37,100.00"
2014-04-25,1100,53.64,"59,000.00"
2014-04-24,600,54.00,"32,400.00"
2014-04-23,600,53.50,"32,100.00"
2014-04-22,600,54.00,"32,400.00"
2014-04-21,400,53.00,"21,200.00"
